Country,Month,Year,Events,Fatalities
Anguilla,January,2018,0,0
Anguilla,February,2018,0,0
Anguilla,March,2018,0,0
Anguilla,April,2018,0,0
Anguilla,May,2018,0,0
Anguilla,June,2018,0,0
Anguilla,July,2018,0,0
Anguilla,August,2018,0,0
Anguilla,September,2018,0,0
Anguilla,October,2018,0,0
Anguilla,November,2018,0,0
Anguilla,December,2018,0,0
Anguilla,January,2019,0,0
Anguilla,February,2019,0,0
Anguilla,March,2019,0,0
Anguilla,April,2019,0,0
Anguilla,May,2019,0,0
Anguilla,June,2019,0,0
Anguilla,July,2019,0,0
Anguilla,August,2019,0,0
Anguilla,September,2019,0,0
Anguilla,October,2019,0,0
Anguilla,November,2019,0,0
Anguilla,December,2019,0,0
Anguilla,January,2020,0,0
Anguilla,February,2020,0,0
Anguilla,March,2020,0,0
Anguilla,April,2020,0,0
Anguilla,May,2020,0,0
Anguilla,June,2020,0,0
Anguilla,July,2020,0,0
Anguilla,August,2020,0,0
Anguilla,September,2020,0,0
Anguilla,October,2020,0,0
Anguilla,November,2020,0,0
Anguilla,December,2020,0,0
Anguilla,January,2021,0,0
Anguilla,February,2021,0,0
Anguilla,March,2021,0,0
Anguilla,April,2021,0,0
Anguilla,May,2021,0,0
Anguilla,June,2021,0,0
Anguilla,July,2021,0,0
Anguilla,August,2021,0,0
Anguilla,September,2021,0,0
Anguilla,October,2021,0,0
Anguilla,November,2021,0,0
Anguilla,December,2021,0,0
Anguilla,January,2022,0,0
Anguilla,February,2022,0,0
Anguilla,March,2022,0,0
Anguilla,April,2022,0,0
Anguilla,May,2022,0,0
Anguilla,June,2022,0,0
Anguilla,July,2022,0,0
Anguilla,August,2022,0,0
Anguilla,September,2022,0,0
Anguilla,October,2022,0,0
Anguilla,November,2022,0,0
Anguilla,December,2022,0,0
Anguilla,January,2023,1,0
Anguilla,February,2023,0,0
Anguilla,March,2023,0,0
Anguilla,April,2023,0,0
Anguilla,May,2023,0,0
Anguilla,June,2023,0,0
Anguilla,July,2023,0,0
Anguilla,August,2023,0,0
Anguilla,September,2023,0,0
Anguilla,October,2023,0,0
Anguilla,November,2023,0,0
Anguilla,December,2023,0,0
Anguilla,January,2024,0,0
Anguilla,February,2024,0,0
Anguilla,March,2024,0,0
Anguilla,April,2024,0,0
Anguilla,May,2024,0,0
Anguilla,June,2024,0,0
Anguilla,July,2024,0,0
Anguilla,August,2024,0,0
Anguilla,September,2024,0,0
Anguilla,October,2024,0,0
Anguilla,November,2024,0,0
Anguilla,December,2024,0,0
Anguilla,January,2025,0,0
Anguilla,February,2025,0,0
Anguilla,March,2025,0,0
Anguilla,April,2025,0,0
Anguilla,May,2025,0,0
Anguilla,June,2025,0,0
Anguilla,July,2025,0,0
Anguilla,August,2025,0,0
Anguilla,September,2025,0,0
Anguilla,October,2025,0,0
Anguilla,November,2025,0,0
Anguilla,December,2025,0,0
Anguilla,January,2026,0,0
Anguilla,February,2026,0,0
Anguilla,March,2026,0,0
Anguilla,April,2026,0,0
