Country,Month,Year,Events,Fatalities
Armenia,January,2018,1,0
Armenia,February,2018,0,0
Armenia,March,2018,0,0
Armenia,April,2018,5,0
Armenia,May,2018,1,0
Armenia,June,2018,0,0
Armenia,July,2018,1,0
Armenia,August,2018,5,0
Armenia,September,2018,2,0
Armenia,October,2018,4,1
Armenia,November,2018,0,0
Armenia,December,2018,2,1
Armenia,January,2019,3,0
Armenia,February,2019,1,0
Armenia,March,2019,2,0
Armenia,April,2019,1,0
Armenia,May,2019,0,0
Armenia,June,2019,0,0
Armenia,July,2019,0,0
Armenia,August,2019,0,0
Armenia,September,2019,0,0
Armenia,October,2019,1,0
Armenia,November,2019,0,0
Armenia,December,2019,0,0
Armenia,January,2020,1,0
Armenia,February,2020,0,0
Armenia,March,2020,1,0
Armenia,April,2020,0,0
Armenia,May,2020,2,0
Armenia,June,2020,0,0
Armenia,July,2020,0,0
Armenia,August,2020,0,0
Armenia,September,2020,0,0
Armenia,October,2020,6,5
Armenia,November,2020,2,1
Armenia,December,2020,1,0
Armenia,January,2021,1,0
Armenia,February,2021,0,0
Armenia,March,2021,1,0
Armenia,April,2021,1,0
Armenia,May,2021,0,0
Armenia,June,2021,0,0
Armenia,July,2021,0,0
Armenia,August,2021,0,0
Armenia,September,2021,0,0
Armenia,October,2021,2,0
Armenia,November,2021,1,0
Armenia,December,2021,0,0
Armenia,January,2022,1,0
Armenia,February,2022,0,0
Armenia,March,2022,0,0
Armenia,April,2022,0,0
Armenia,May,2022,2,1
Armenia,June,2022,0,0
Armenia,July,2022,1,0
Armenia,August,2022,0,0
Armenia,September,2022,8,10
Armenia,October,2022,1,0
Armenia,November,2022,0,0
Armenia,December,2022,0,0
Armenia,January,2023,0,0
Armenia,February,2023,0,0
Armenia,March,2023,0,0
Armenia,April,2023,3,1
Armenia,May,2023,0,0
Armenia,June,2023,0,0
Armenia,July,2023,3,0
Armenia,August,2023,6,0
Armenia,September,2023,1,0
Armenia,October,2023,0,0
Armenia,November,2023,0,0
Armenia,December,2023,0,0
Armenia,January,2024,0,0
Armenia,February,2024,0,0
Armenia,March,2024,0,0
Armenia,April,2024,3,0
Armenia,May,2024,0,0
Armenia,June,2024,0,0
Armenia,July,2024,1,0
Armenia,August,2024,0,0
Armenia,September,2024,0,0
Armenia,October,2024,0,0
Armenia,November,2024,0,0
Armenia,December,2024,0,0
Armenia,January,2025,0,0
Armenia,February,2025,0,0
Armenia,March,2025,0,0
Armenia,April,2025,1,0
Armenia,May,2025,0,0
Armenia,June,2025,0,0
Armenia,July,2025,0,0
Armenia,August,2025,2,1
Armenia,September,2025,0,0
Armenia,October,2025,1,1
Armenia,November,2025,0,0
Armenia,December,2025,0,0
Armenia,January,2026,0,0
Armenia,February,2026,0,0
Armenia,March,2026,1,0
Armenia,April,2026,1,0
