Country,Month,Year,Events,Fatalities
Austria,January,2020,1,0
Austria,February,2020,0,0
Austria,March,2020,2,0
Austria,April,2020,0,0
Austria,May,2020,0,0
Austria,June,2020,1,0
Austria,July,2020,1,1
Austria,August,2020,1,0
Austria,September,2020,0,0
Austria,October,2020,0,0
Austria,November,2020,1,5
Austria,December,2020,0,0
Austria,January,2021,0,0
Austria,February,2021,0,0
Austria,March,2021,0,0
Austria,April,2021,0,0
Austria,May,2021,0,0
Austria,June,2021,0,0
Austria,July,2021,1,0
Austria,August,2021,0,0
Austria,September,2021,1,0
Austria,October,2021,0,0
Austria,November,2021,0,0
Austria,December,2021,0,0
Austria,January,2022,1,0
Austria,February,2022,0,0
Austria,March,2022,0,0
Austria,April,2022,0,0
Austria,May,2022,0,0
Austria,June,2022,0,0
Austria,July,2022,0,0
Austria,August,2022,1,0
Austria,September,2022,0,0
Austria,October,2022,2,0
Austria,November,2022,0,0
Austria,December,2022,0,0
Austria,January,2023,0,0
Austria,February,2023,0,0
Austria,March,2023,0,0
Austria,April,2023,0,0
Austria,May,2023,1,0
Austria,June,2023,1,0
Austria,July,2023,0,0
Austria,August,2023,0,0
Austria,September,2023,0,0
Austria,October,2023,1,0
Austria,November,2023,1,0
Austria,December,2023,0,0
Austria,January,2024,0,0
Austria,February,2024,0,0
Austria,March,2024,0,0
Austria,April,2024,0,0
Austria,May,2024,0,0
Austria,June,2024,0,0
Austria,July,2024,0,0
Austria,August,2024,0,0
Austria,September,2024,1,0
Austria,October,2024,0,0
Austria,November,2024,0,0
Austria,December,2024,0,0
Austria,January,2025,0,0
Austria,February,2025,1,1
Austria,March,2025,0,0
Austria,April,2025,0,0
Austria,May,2025,0,0
Austria,June,2025,0,0
Austria,July,2025,0,0
Austria,August,2025,0,0
Austria,September,2025,0,0
Austria,October,2025,0,0
Austria,November,2025,1,1
Austria,December,2025,0,0
Austria,January,2026,0,0
Austria,February,2026,0,0
Austria,March,2026,0,0
Austria,April,2026,0,0
