Country,Month,Year,Events,Fatalities
Azerbaijan,January,2018,1,0
Azerbaijan,February,2018,1,1
Azerbaijan,March,2018,4,3
Azerbaijan,April,2018,2,0
Azerbaijan,May,2018,1,0
Azerbaijan,June,2018,1,0
Azerbaijan,July,2018,1,0
Azerbaijan,August,2018,1,0
Azerbaijan,September,2018,1,1
Azerbaijan,October,2018,1,0
Azerbaijan,November,2018,0,0
Azerbaijan,December,2018,0,0
Azerbaijan,January,2019,1,0
Azerbaijan,February,2019,0,0
Azerbaijan,March,2019,0,0
Azerbaijan,April,2019,0,0
Azerbaijan,May,2019,1,0
Azerbaijan,June,2019,0,0
Azerbaijan,July,2019,0,0
Azerbaijan,August,2019,0,0
Azerbaijan,September,2019,1,0
Azerbaijan,October,2019,2,1
Azerbaijan,November,2019,1,0
Azerbaijan,December,2019,2,0
Azerbaijan,January,2020,1,0
Azerbaijan,February,2020,1,0
Azerbaijan,March,2020,0,0
Azerbaijan,April,2020,4,0
Azerbaijan,May,2020,0,0
Azerbaijan,June,2020,1,0
Azerbaijan,July,2020,1,0
Azerbaijan,August,2020,0,0
Azerbaijan,September,2020,7,10
Azerbaijan,October,2020,73,132
Azerbaijan,November,2020,11,12
Azerbaijan,December,2020,1,1
Azerbaijan,January,2021,5,2
Azerbaijan,February,2021,5,5
Azerbaijan,March,2021,4,2
Azerbaijan,April,2021,2,1
Azerbaijan,May,2021,1,0
Azerbaijan,June,2021,3,5
Azerbaijan,July,2021,7,4
Azerbaijan,August,2021,3,0
Azerbaijan,September,2021,6,1
Azerbaijan,October,2021,1,1
Azerbaijan,November,2021,5,2
Azerbaijan,December,2021,9,3
Azerbaijan,January,2022,4,0
Azerbaijan,February,2022,6,1
Azerbaijan,March,2022,1,0
Azerbaijan,April,2022,4,1
Azerbaijan,May,2022,3,0
Azerbaijan,June,2022,2,0
Azerbaijan,July,2022,2,0
Azerbaijan,August,2022,2,0
Azerbaijan,September,2022,2,2
Azerbaijan,October,2022,6,1
Azerbaijan,November,2022,10,0
Azerbaijan,December,2022,1,0
Azerbaijan,January,2023,2,1
Azerbaijan,February,2023,1,0
Azerbaijan,March,2023,15,2
Azerbaijan,April,2023,9,5
Azerbaijan,May,2023,5,1
Azerbaijan,June,2023,13,0
Azerbaijan,July,2023,9,0
Azerbaijan,August,2023,9,0
Azerbaijan,September,2023,15,14
Azerbaijan,October,2023,4,2
Azerbaijan,November,2023,2,0
Azerbaijan,December,2023,4,0
Azerbaijan,January,2024,1,0
Azerbaijan,February,2024,3,0
Azerbaijan,March,2024,1,0
Azerbaijan,April,2024,6,0
Azerbaijan,May,2024,2,1
Azerbaijan,June,2024,2,1
Azerbaijan,July,2024,1,0
Azerbaijan,August,2024,4,0
Azerbaijan,September,2024,0,0
Azerbaijan,October,2024,1,0
Azerbaijan,November,2024,0,0
Azerbaijan,December,2024,0,0
Azerbaijan,January,2025,1,5
Azerbaijan,February,2025,1,0
Azerbaijan,March,2025,1,0
Azerbaijan,April,2025,2,0
Azerbaijan,May,2025,3,0
Azerbaijan,June,2025,2,0
Azerbaijan,July,2025,1,0
Azerbaijan,August,2025,1,0
Azerbaijan,September,2025,0,0
Azerbaijan,October,2025,1,0
Azerbaijan,November,2025,2,0
Azerbaijan,December,2025,2,0
Azerbaijan,January,2026,2,0
Azerbaijan,February,2026,1,0
Azerbaijan,March,2026,2,0
Azerbaijan,April,2026,2,1
