Country,Month,Year,Events,Fatalities
Bahamas,January,2018,0,0
Bahamas,February,2018,0,0
Bahamas,March,2018,0,0
Bahamas,April,2018,0,0
Bahamas,May,2018,0,0
Bahamas,June,2018,0,0
Bahamas,July,2018,0,0
Bahamas,August,2018,0,0
Bahamas,September,2018,0,0
Bahamas,October,2018,0,0
Bahamas,November,2018,0,0
Bahamas,December,2018,0,0
Bahamas,January,2019,0,0
Bahamas,February,2019,0,0
Bahamas,March,2019,0,0
Bahamas,April,2019,0,0
Bahamas,May,2019,0,0
Bahamas,June,2019,0,0
Bahamas,July,2019,0,0
Bahamas,August,2019,1,0
Bahamas,September,2019,0,0
Bahamas,October,2019,0,0
Bahamas,November,2019,0,0
Bahamas,December,2019,0,0
Bahamas,January,2020,2,1
Bahamas,February,2020,0,0
Bahamas,March,2020,0,0
Bahamas,April,2020,0,0
Bahamas,May,2020,0,0
Bahamas,June,2020,0,0
Bahamas,July,2020,0,0
Bahamas,August,2020,0,0
Bahamas,September,2020,0,0
Bahamas,October,2020,0,0
Bahamas,November,2020,0,0
Bahamas,December,2020,0,0
Bahamas,January,2021,0,0
Bahamas,February,2021,0,0
Bahamas,March,2021,0,0
Bahamas,April,2021,0,0
Bahamas,May,2021,0,0
Bahamas,June,2021,0,0
Bahamas,July,2021,0,0
Bahamas,August,2021,0,0
Bahamas,September,2021,0,0
Bahamas,October,2021,0,0
Bahamas,November,2021,1,1
Bahamas,December,2021,1,1
Bahamas,January,2022,0,0
Bahamas,February,2022,0,0
Bahamas,March,2022,0,0
Bahamas,April,2022,0,0
Bahamas,May,2022,0,0
Bahamas,June,2022,0,0
Bahamas,July,2022,0,0
Bahamas,August,2022,0,0
Bahamas,September,2022,0,0
Bahamas,October,2022,1,0
Bahamas,November,2022,0,0
Bahamas,December,2022,0,0
Bahamas,January,2023,2,0
Bahamas,February,2023,1,0
Bahamas,March,2023,2,0
Bahamas,April,2023,0,0
Bahamas,May,2023,0,0
Bahamas,June,2023,0,0
Bahamas,July,2023,1,0
Bahamas,August,2023,0,0
Bahamas,September,2023,1,0
Bahamas,October,2023,0,0
Bahamas,November,2023,1,0
Bahamas,December,2023,1,0
Bahamas,January,2024,0,0
Bahamas,February,2024,0,0
Bahamas,March,2024,0,0
Bahamas,April,2024,0,0
Bahamas,May,2024,1,0
Bahamas,June,2024,0,0
Bahamas,July,2024,0,0
Bahamas,August,2024,0,0
Bahamas,September,2024,0,0
Bahamas,October,2024,0,0
Bahamas,November,2024,0,0
Bahamas,December,2024,0,0
Bahamas,January,2025,0,0
Bahamas,February,2025,0,0
Bahamas,March,2025,0,0
Bahamas,April,2025,0,0
Bahamas,May,2025,0,0
Bahamas,June,2025,0,0
Bahamas,July,2025,0,0
Bahamas,August,2025,1,0
Bahamas,September,2025,0,0
Bahamas,October,2025,0,0
Bahamas,November,2025,0,0
Bahamas,December,2025,0,0
Bahamas,January,2026,0,0
Bahamas,February,2026,0,0
Bahamas,March,2026,0,0
Bahamas,April,2026,0,0
