Country,Month,Year,Events,Fatalities
Barbados,January,2018,0,0
Barbados,February,2018,0,0
Barbados,March,2018,0,0
Barbados,April,2018,0,0
Barbados,May,2018,0,0
Barbados,June,2018,0,0
Barbados,July,2018,0,0
Barbados,August,2018,0,0
Barbados,September,2018,0,0
Barbados,October,2018,0,0
Barbados,November,2018,0,0
Barbados,December,2018,0,0
Barbados,January,2019,0,0
Barbados,February,2019,0,0
Barbados,March,2019,0,0
Barbados,April,2019,0,0
Barbados,May,2019,0,0
Barbados,June,2019,0,0
Barbados,July,2019,0,0
Barbados,August,2019,0,0
Barbados,September,2019,0,0
Barbados,October,2019,0,0
Barbados,November,2019,0,0
Barbados,December,2019,0,0
Barbados,January,2020,1,1
Barbados,February,2020,0,0
Barbados,March,2020,1,1
Barbados,April,2020,0,0
Barbados,May,2020,0,0
Barbados,June,2020,0,0
Barbados,July,2020,0,0
Barbados,August,2020,0,0
Barbados,September,2020,0,0
Barbados,October,2020,0,0
Barbados,November,2020,0,0
Barbados,December,2020,0,0
Barbados,January,2021,0,0
Barbados,February,2021,0,0
Barbados,March,2021,0,0
Barbados,April,2021,0,0
Barbados,May,2021,0,0
Barbados,June,2021,0,0
Barbados,July,2021,0,0
Barbados,August,2021,0,0
Barbados,September,2021,0,0
Barbados,October,2021,0,0
Barbados,November,2021,0,0
Barbados,December,2021,0,0
Barbados,January,2022,0,0
Barbados,February,2022,0,0
Barbados,March,2022,0,0
Barbados,April,2022,0,0
Barbados,May,2022,0,0
Barbados,June,2022,0,0
Barbados,July,2022,0,0
Barbados,August,2022,0,0
Barbados,September,2022,0,0
Barbados,October,2022,0,0
Barbados,November,2022,0,0
Barbados,December,2022,0,0
Barbados,January,2023,0,0
Barbados,February,2023,0,0
Barbados,March,2023,0,0
Barbados,April,2023,0,0
Barbados,May,2023,0,0
Barbados,June,2023,0,0
Barbados,July,2023,0,0
Barbados,August,2023,0,0
Barbados,September,2023,0,0
Barbados,October,2023,0,0
Barbados,November,2023,0,0
Barbados,December,2023,0,0
Barbados,January,2024,0,0
Barbados,February,2024,0,0
Barbados,March,2024,0,0
Barbados,April,2024,0,0
Barbados,May,2024,0,0
Barbados,June,2024,0,0
Barbados,July,2024,0,0
Barbados,August,2024,0,0
Barbados,September,2024,0,0
Barbados,October,2024,0,0
Barbados,November,2024,0,0
Barbados,December,2024,0,0
Barbados,January,2025,0,0
Barbados,February,2025,0,0
Barbados,March,2025,0,0
Barbados,April,2025,0,0
Barbados,May,2025,0,0
Barbados,June,2025,0,0
Barbados,July,2025,0,0
Barbados,August,2025,0,0
Barbados,September,2025,0,0
Barbados,October,2025,0,0
Barbados,November,2025,0,0
Barbados,December,2025,0,0
Barbados,January,2026,0,0
Barbados,February,2026,0,0
Barbados,March,2026,0,0
Barbados,April,2026,0,0
