Country,Month,Year,Events,Fatalities
Belgium,January,2020,0,0
Belgium,February,2020,0,0
Belgium,March,2020,0,0
Belgium,April,2020,0,0
Belgium,May,2020,0,0
Belgium,June,2020,1,0
Belgium,July,2020,2,0
Belgium,August,2020,0,0
Belgium,September,2020,0,0
Belgium,October,2020,0,0
Belgium,November,2020,0,0
Belgium,December,2020,0,0
Belgium,January,2021,0,0
Belgium,February,2021,0,0
Belgium,March,2021,1,1
Belgium,April,2021,0,0
Belgium,May,2021,0,0
Belgium,June,2021,0,0
Belgium,July,2021,1,0
Belgium,August,2021,0,0
Belgium,September,2021,0,0
Belgium,October,2021,0,0
Belgium,November,2021,0,0
Belgium,December,2021,1,0
Belgium,January,2022,0,0
Belgium,February,2022,1,0
Belgium,March,2022,0,0
Belgium,April,2022,0,0
Belgium,May,2022,1,0
Belgium,June,2022,0,0
Belgium,July,2022,0,0
Belgium,August,2022,0,0
Belgium,September,2022,0,0
Belgium,October,2022,0,0
Belgium,November,2022,0,0
Belgium,December,2022,1,1
Belgium,January,2023,0,0
Belgium,February,2023,1,0
Belgium,March,2023,0,0
Belgium,April,2023,0,0
Belgium,May,2023,0,0
Belgium,June,2023,1,0
Belgium,July,2023,0,0
Belgium,August,2023,1,1
Belgium,September,2023,1,0
Belgium,October,2023,3,2
Belgium,November,2023,0,0
Belgium,December,2023,0,0
Belgium,January,2024,0,0
Belgium,February,2024,0,0
Belgium,March,2024,1,0
Belgium,April,2024,0,0
Belgium,May,2024,0,0
Belgium,June,2024,0,0
Belgium,July,2024,0,0
Belgium,August,2024,0,0
Belgium,September,2024,0,0
Belgium,October,2024,0,0
Belgium,November,2024,2,0
Belgium,December,2024,0,0
Belgium,January,2025,0,0
Belgium,February,2025,1,0
Belgium,March,2025,2,0
Belgium,April,2025,0,0
Belgium,May,2025,1,0
Belgium,June,2025,0,0
Belgium,July,2025,0,0
Belgium,August,2025,0,0
Belgium,September,2025,1,0
Belgium,October,2025,0,0
Belgium,November,2025,1,0
Belgium,December,2025,1,0
Belgium,January,2026,0,0
Belgium,February,2026,0,0
Belgium,March,2026,0,0
Belgium,April,2026,0,0
