Country,Month,Year,Events,Fatalities
Bhutan,January,2020,0,0
Bhutan,February,2020,0,0
Bhutan,March,2020,0,0
Bhutan,April,2020,1,0
Bhutan,May,2020,0,0
Bhutan,June,2020,0,0
Bhutan,July,2020,0,0
Bhutan,August,2020,0,0
Bhutan,September,2020,0,0
Bhutan,October,2020,0,0
Bhutan,November,2020,0,0
Bhutan,December,2020,0,0
Bhutan,January,2021,0,0
Bhutan,February,2021,1,0
Bhutan,March,2021,0,0
Bhutan,April,2021,0,0
Bhutan,May,2021,0,0
Bhutan,June,2021,0,0
Bhutan,July,2021,0,0
Bhutan,August,2021,0,0
Bhutan,September,2021,0,0
Bhutan,October,2021,0,0
Bhutan,November,2021,0,0
Bhutan,December,2021,0,0
Bhutan,January,2022,0,0
Bhutan,February,2022,0,0
Bhutan,March,2022,0,0
Bhutan,April,2022,1,0
Bhutan,May,2022,0,0
Bhutan,June,2022,0,0
Bhutan,July,2022,0,0
Bhutan,August,2022,0,0
Bhutan,September,2022,0,0
Bhutan,October,2022,0,0
Bhutan,November,2022,0,0
Bhutan,December,2022,0,0
Bhutan,January,2023,0,0
Bhutan,February,2023,0,0
Bhutan,March,2023,0,0
Bhutan,April,2023,0,0
Bhutan,May,2023,0,0
Bhutan,June,2023,0,0
Bhutan,July,2023,0,0
Bhutan,August,2023,0,0
Bhutan,September,2023,0,0
Bhutan,October,2023,0,0
Bhutan,November,2023,0,0
Bhutan,December,2023,0,0
Bhutan,January,2024,0,0
Bhutan,February,2024,0,0
Bhutan,March,2024,0,0
Bhutan,April,2024,0,0
Bhutan,May,2024,0,0
Bhutan,June,2024,0,0
Bhutan,July,2024,0,0
Bhutan,August,2024,1,0
Bhutan,September,2024,0,0
Bhutan,October,2024,0,0
Bhutan,November,2024,0,0
Bhutan,December,2024,0,0
Bhutan,January,2025,0,0
Bhutan,February,2025,0,0
Bhutan,March,2025,0,0
Bhutan,April,2025,0,0
Bhutan,May,2025,0,0
Bhutan,June,2025,0,0
Bhutan,July,2025,0,0
Bhutan,August,2025,0,0
Bhutan,September,2025,0,0
Bhutan,October,2025,0,0
Bhutan,November,2025,1,1
Bhutan,December,2025,0,0
Bhutan,January,2026,0,0
Bhutan,February,2026,0,0
Bhutan,March,2026,0,0
Bhutan,April,2026,0,0
