Country,Month,Year,Events,Fatalities
Bolivia,January,2018,0,0
Bolivia,February,2018,0,0
Bolivia,March,2018,1,0
Bolivia,April,2018,2,9
Bolivia,May,2018,1,1
Bolivia,June,2018,1,1
Bolivia,July,2018,0,0
Bolivia,August,2018,0,0
Bolivia,September,2018,0,0
Bolivia,October,2018,0,0
Bolivia,November,2018,3,3
Bolivia,December,2018,1,0
Bolivia,January,2019,0,0
Bolivia,February,2019,1,0
Bolivia,March,2019,0,0
Bolivia,April,2019,1,0
Bolivia,May,2019,1,1
Bolivia,June,2019,0,0
Bolivia,July,2019,0,0
Bolivia,August,2019,1,0
Bolivia,September,2019,5,3
Bolivia,October,2019,1,0
Bolivia,November,2019,7,3
Bolivia,December,2019,2,1
Bolivia,January,2020,1,0
Bolivia,February,2020,0,0
Bolivia,March,2020,0,0
Bolivia,April,2020,1,0
Bolivia,May,2020,3,0
Bolivia,June,2020,2,0
Bolivia,July,2020,1,0
Bolivia,August,2020,3,1
Bolivia,September,2020,9,0
Bolivia,October,2020,3,0
Bolivia,November,2020,2,0
Bolivia,December,2020,2,0
Bolivia,January,2021,1,0
Bolivia,February,2021,2,0
Bolivia,March,2021,3,1
Bolivia,April,2021,2,0
Bolivia,May,2021,1,0
Bolivia,June,2021,0,0
Bolivia,July,2021,3,0
Bolivia,August,2021,3,3
Bolivia,September,2021,4,0
Bolivia,October,2021,3,0
Bolivia,November,2021,2,2
Bolivia,December,2021,0,0
Bolivia,January,2022,1,0
Bolivia,February,2022,0,0
Bolivia,March,2022,1,0
Bolivia,April,2022,5,2
Bolivia,May,2022,2,0
Bolivia,June,2022,6,3
Bolivia,July,2022,2,0
Bolivia,August,2022,1,0
Bolivia,September,2022,2,1
Bolivia,October,2022,4,0
Bolivia,November,2022,0,0
Bolivia,December,2022,4,0
Bolivia,January,2023,3,0
Bolivia,February,2023,1,0
Bolivia,March,2023,3,0
Bolivia,April,2023,2,0
Bolivia,May,2023,1,0
Bolivia,June,2023,4,0
Bolivia,July,2023,1,0
Bolivia,August,2023,1,0
Bolivia,September,2023,11,1
Bolivia,October,2023,2,1
Bolivia,November,2023,3,2
Bolivia,December,2023,8,4
Bolivia,January,2024,3,2
Bolivia,February,2024,1,0
Bolivia,March,2024,1,0
Bolivia,April,2024,1,0
Bolivia,May,2024,10,6
Bolivia,June,2024,1,0
Bolivia,July,2024,5,2
Bolivia,August,2024,6,1
Bolivia,September,2024,6,1
Bolivia,October,2024,2,0
Bolivia,November,2024,5,0
Bolivia,December,2024,3,0
Bolivia,January,2025,3,0
Bolivia,February,2025,4,2
Bolivia,March,2025,4,1
Bolivia,April,2025,5,6
Bolivia,May,2025,2,2
Bolivia,June,2025,7,5
Bolivia,July,2025,9,3
Bolivia,August,2025,8,1
Bolivia,September,2025,9,2
Bolivia,October,2025,6,1
Bolivia,November,2025,5,2
Bolivia,December,2025,3,0
Bolivia,January,2026,4,2
Bolivia,February,2026,10,1
Bolivia,March,2026,4,0
Bolivia,April,2026,1,1
