Country,Month,Year,Events,Fatalities
Botswana,January,1997,0,0
Botswana,February,1997,0,0
Botswana,March,1997,0,0
Botswana,April,1997,0,0
Botswana,May,1997,0,0
Botswana,June,1997,0,0
Botswana,July,1997,0,0
Botswana,August,1997,0,0
Botswana,September,1997,0,0
Botswana,October,1997,0,0
Botswana,November,1997,0,0
Botswana,December,1997,0,0
Botswana,January,1998,0,0
Botswana,February,1998,0,0
Botswana,March,1998,0,0
Botswana,April,1998,0,0
Botswana,May,1998,0,0
Botswana,June,1998,0,0
Botswana,July,1998,0,0
Botswana,August,1998,0,0
Botswana,September,1998,0,0
Botswana,October,1998,0,0
Botswana,November,1998,0,0
Botswana,December,1998,0,0
Botswana,January,1999,0,0
Botswana,February,1999,0,0
Botswana,March,1999,0,0
Botswana,April,1999,0,0
Botswana,May,1999,0,0
Botswana,June,1999,0,0
Botswana,July,1999,0,0
Botswana,August,1999,0,0
Botswana,September,1999,0,0
Botswana,October,1999,0,0
Botswana,November,1999,0,0
Botswana,December,1999,0,0
Botswana,January,2000,0,0
Botswana,February,2000,0,0
Botswana,March,2000,0,0
Botswana,April,2000,0,0
Botswana,May,2000,0,0
Botswana,June,2000,0,0
Botswana,July,2000,0,0
Botswana,August,2000,0,0
Botswana,September,2000,0,0
Botswana,October,2000,0,0
Botswana,November,2000,0,0
Botswana,December,2000,0,0
Botswana,January,2001,0,0
Botswana,February,2001,0,0
Botswana,March,2001,0,0
Botswana,April,2001,0,0
Botswana,May,2001,0,0
Botswana,June,2001,0,0
Botswana,July,2001,0,0
Botswana,August,2001,0,0
Botswana,September,2001,0,0
Botswana,October,2001,0,0
Botswana,November,2001,0,0
Botswana,December,2001,0,0
Botswana,January,2002,0,0
Botswana,February,2002,0,0
Botswana,March,2002,0,0
Botswana,April,2002,0,0
Botswana,May,2002,0,0
Botswana,June,2002,0,0
Botswana,July,2002,0,0
Botswana,August,2002,0,0
Botswana,September,2002,0,0
Botswana,October,2002,0,0
Botswana,November,2002,0,0
Botswana,December,2002,0,0
Botswana,January,2003,0,0
Botswana,February,2003,0,0
Botswana,March,2003,0,0
Botswana,April,2003,0,0
Botswana,May,2003,0,0
Botswana,June,2003,0,0
Botswana,July,2003,0,0
Botswana,August,2003,0,0
Botswana,September,2003,0,0
Botswana,October,2003,0,0
Botswana,November,2003,0,0
Botswana,December,2003,0,0
Botswana,January,2004,0,0
Botswana,February,2004,0,0
Botswana,March,2004,0,0
Botswana,April,2004,0,0
Botswana,May,2004,0,0
Botswana,June,2004,0,0
Botswana,July,2004,0,0
Botswana,August,2004,0,0
Botswana,September,2004,0,0
Botswana,October,2004,1,0
Botswana,November,2004,0,0
Botswana,December,2004,0,0
Botswana,January,2005,0,0
Botswana,February,2005,0,0
Botswana,March,2005,0,0
Botswana,April,2005,0,0
Botswana,May,2005,0,0
Botswana,June,2005,0,0
Botswana,July,2005,0,0
Botswana,August,2005,0,0
Botswana,September,2005,0,0
Botswana,October,2005,0,0
Botswana,November,2005,0,0
Botswana,December,2005,0,0
Botswana,January,2006,0,0
Botswana,February,2006,0,0
Botswana,March,2006,0,0
Botswana,April,2006,0,0
Botswana,May,2006,0,0
Botswana,June,2006,0,0
Botswana,July,2006,0,0
Botswana,August,2006,0,0
Botswana,September,2006,0,0
Botswana,October,2006,0,0
Botswana,November,2006,0,0
Botswana,December,2006,0,0
Botswana,January,2007,0,0
Botswana,February,2007,1,0
Botswana,March,2007,0,0
Botswana,April,2007,0,0
Botswana,May,2007,0,0
Botswana,June,2007,0,0
Botswana,July,2007,0,0
Botswana,August,2007,0,0
Botswana,September,2007,0,0
Botswana,October,2007,0,0
Botswana,November,2007,0,0
Botswana,December,2007,0,0
Botswana,January,2008,0,0
Botswana,February,2008,0,0
Botswana,March,2008,0,0
Botswana,April,2008,0,0
Botswana,May,2008,1,1
Botswana,June,2008,0,0
Botswana,July,2008,0,0
Botswana,August,2008,0,0
Botswana,September,2008,0,0
Botswana,October,2008,0,0
Botswana,November,2008,0,0
Botswana,December,2008,0,0
Botswana,January,2009,0,0
Botswana,February,2009,0,0
Botswana,March,2009,0,0
Botswana,April,2009,0,0
Botswana,May,2009,0,0
Botswana,June,2009,0,0
Botswana,July,2009,0,0
Botswana,August,2009,0,0
Botswana,September,2009,0,0
Botswana,October,2009,0,0
Botswana,November,2009,0,0
Botswana,December,2009,0,0
Botswana,January,2010,0,0
Botswana,February,2010,0,0
Botswana,March,2010,0,0
Botswana,April,2010,0,0
Botswana,May,2010,0,0
Botswana,June,2010,0,0
Botswana,July,2010,0,0
Botswana,August,2010,0,0
Botswana,September,2010,1,0
Botswana,October,2010,0,0
Botswana,November,2010,0,0
Botswana,December,2010,0,0
Botswana,January,2011,0,0
Botswana,February,2011,0,0
Botswana,March,2011,0,0
Botswana,April,2011,0,0
Botswana,May,2011,0,0
Botswana,June,2011,0,0
Botswana,July,2011,0,0
Botswana,August,2011,0,0
Botswana,September,2011,0,0
Botswana,October,2011,0,0
Botswana,November,2011,1,0
Botswana,December,2011,0,0
Botswana,January,2012,0,0
Botswana,February,2012,0,0
Botswana,March,2012,0,0
Botswana,April,2012,0,0
Botswana,May,2012,0,0
Botswana,June,2012,0,0
Botswana,July,2012,0,0
Botswana,August,2012,0,0
Botswana,September,2012,0,0
Botswana,October,2012,0,0
Botswana,November,2012,0,0
Botswana,December,2012,0,0
Botswana,January,2013,0,0
Botswana,February,2013,0,0
Botswana,March,2013,0,0
Botswana,April,2013,0,0
Botswana,May,2013,0,0
Botswana,June,2013,0,0
Botswana,July,2013,0,0
Botswana,August,2013,0,0
Botswana,September,2013,0,0
Botswana,October,2013,0,0
Botswana,November,2013,0,0
Botswana,December,2013,0,0
Botswana,January,2014,0,0
Botswana,February,2014,0,0
Botswana,March,2014,1,0
Botswana,April,2014,0,0
Botswana,May,2014,0,0
Botswana,June,2014,0,0
Botswana,July,2014,0,0
Botswana,August,2014,0,0
Botswana,September,2014,0,0
Botswana,October,2014,0,0
Botswana,November,2014,0,0
Botswana,December,2014,0,0
Botswana,January,2015,0,0
Botswana,February,2015,0,0
Botswana,March,2015,0,0
Botswana,April,2015,0,0
Botswana,May,2015,0,0
Botswana,June,2015,0,0
Botswana,July,2015,1,0
Botswana,August,2015,0,0
Botswana,September,2015,0,0
Botswana,October,2015,0,0
Botswana,November,2015,0,0
Botswana,December,2015,0,0
Botswana,January,2016,0,0
Botswana,February,2016,0,0
Botswana,March,2016,1,0
Botswana,April,2016,0,0
Botswana,May,2016,0,0
Botswana,June,2016,0,0
Botswana,July,2016,0,0
Botswana,August,2016,0,0
Botswana,September,2016,1,1
Botswana,October,2016,0,0
Botswana,November,2016,0,0
Botswana,December,2016,0,0
Botswana,January,2017,0,0
Botswana,February,2017,0,0
Botswana,March,2017,0,0
Botswana,April,2017,0,0
Botswana,May,2017,1,0
Botswana,June,2017,0,0
Botswana,July,2017,0,0
Botswana,August,2017,0,0
Botswana,September,2017,0,0
Botswana,October,2017,0,0
Botswana,November,2017,0,0
Botswana,December,2017,0,0
Botswana,January,2018,0,0
Botswana,February,2018,0,0
Botswana,March,2018,0,0
Botswana,April,2018,0,0
Botswana,May,2018,0,0
Botswana,June,2018,0,0
Botswana,July,2018,0,0
Botswana,August,2018,0,0
Botswana,September,2018,0,0
Botswana,October,2018,2,2
