Country,Month,Year,Events,Fatalities
Brazil,January,2018,389,391
Brazil,February,2018,375,355
Brazil,March,2018,401,371
Brazil,April,2018,444,435
Brazil,May,2018,267,301
Brazil,June,2018,301,315
Brazil,July,2018,317,324
Brazil,August,2018,453,372
Brazil,September,2018,168,145
Brazil,October,2018,248,253
Brazil,November,2018,251,231
Brazil,December,2018,197,189
Brazil,January,2019,326,300
Brazil,February,2019,130,131
Brazil,March,2019,231,226
Brazil,April,2019,167,159
Brazil,May,2019,205,215
Brazil,June,2019,209,181
Brazil,July,2019,187,188
Brazil,August,2019,226,215
Brazil,September,2019,200,194
Brazil,October,2019,279,273
Brazil,November,2019,244,256
Brazil,December,2019,259,241
Brazil,January,2020,394,337
Brazil,February,2020,295,263
Brazil,March,2020,327,301
Brazil,April,2020,295,258
Brazil,May,2020,248,223
Brazil,June,2020,219,202
Brazil,July,2020,250,208
Brazil,August,2020,251,216
Brazil,September,2020,268,212
Brazil,October,2020,300,264
Brazil,November,2020,327,247
Brazil,December,2020,254,225
Brazil,January,2021,324,276
Brazil,February,2021,255,236
Brazil,March,2021,278,257
Brazil,April,2021,268,263
Brazil,May,2021,281,247
Brazil,June,2021,295,262
Brazil,July,2021,277,228
Brazil,August,2021,296,263
Brazil,September,2021,329,290
Brazil,October,2021,333,301
Brazil,November,2021,372,318
Brazil,December,2021,383,341
Brazil,January,2022,390,329
Brazil,February,2022,333,296
Brazil,March,2022,383,346
Brazil,April,2022,418,355
Brazil,May,2022,477,407
Brazil,June,2022,393,341
Brazil,July,2022,435,374
Brazil,August,2022,472,392
Brazil,September,2022,476,394
Brazil,October,2022,462,389
Brazil,November,2022,480,406
Brazil,December,2022,416,367
Brazil,January,2023,437,411
Brazil,February,2023,361,333
Brazil,March,2023,415,374
Brazil,April,2023,394,361
Brazil,May,2023,460,394
Brazil,June,2023,391,341
Brazil,July,2023,456,401
Brazil,August,2023,501,381
Brazil,September,2023,448,376
Brazil,October,2023,424,399
Brazil,November,2023,400,365
Brazil,December,2023,364,327
Brazil,January,2024,406,348
Brazil,February,2024,344,319
Brazil,March,2024,401,359
Brazil,April,2024,376,333
Brazil,May,2024,340,305
Brazil,June,2024,354,315
Brazil,July,2024,351,305
Brazil,August,2024,448,365
Brazil,September,2024,469,380
Brazil,October,2024,444,360
Brazil,November,2024,409,354
Brazil,December,2024,414,356
Brazil,January,2025,427,395
Brazil,February,2025,352,314
Brazil,March,2025,372,321
Brazil,April,2025,342,294
Brazil,May,2025,355,312
Brazil,June,2025,361,313
Brazil,July,2025,442,376
Brazil,August,2025,484,405
Brazil,September,2025,473,409
Brazil,October,2025,444,355
Brazil,November,2025,439,374
Brazil,December,2025,449,383
Brazil,January,2026,467,397
Brazil,February,2026,426,351
Brazil,March,2026,366,272
Brazil,April,2026,242,182
