Country,Month,Year,Events,Fatalities
British Indian Ocean Territory,January,2018,0,0
British Indian Ocean Territory,February,2018,0,0
British Indian Ocean Territory,March,2018,0,0
British Indian Ocean Territory,April,2018,0,0
British Indian Ocean Territory,May,2018,0,0
British Indian Ocean Territory,June,2018,0,0
British Indian Ocean Territory,July,2018,0,0
British Indian Ocean Territory,August,2018,0,0
British Indian Ocean Territory,September,2018,0,0
British Indian Ocean Territory,October,2018,0,0
British Indian Ocean Territory,November,2018,0,0
British Indian Ocean Territory,December,2018,0,0
British Indian Ocean Territory,January,2019,0,0
British Indian Ocean Territory,February,2019,0,0
British Indian Ocean Territory,March,2019,0,0
British Indian Ocean Territory,April,2019,0,0
British Indian Ocean Territory,May,2019,0,0
British Indian Ocean Territory,June,2019,0,0
British Indian Ocean Territory,July,2019,0,0
British Indian Ocean Territory,August,2019,0,0
British Indian Ocean Territory,September,2019,0,0
British Indian Ocean Territory,October,2019,0,0
British Indian Ocean Territory,November,2019,0,0
British Indian Ocean Territory,December,2019,0,0
British Indian Ocean Territory,January,2020,0,0
British Indian Ocean Territory,February,2020,0,0
British Indian Ocean Territory,March,2020,0,0
British Indian Ocean Territory,April,2020,0,0
British Indian Ocean Territory,May,2020,0,0
British Indian Ocean Territory,June,2020,0,0
British Indian Ocean Territory,July,2020,0,0
British Indian Ocean Territory,August,2020,0,0
British Indian Ocean Territory,September,2020,0,0
British Indian Ocean Territory,October,2020,0,0
British Indian Ocean Territory,November,2020,0,0
British Indian Ocean Territory,December,2020,0,0
British Indian Ocean Territory,January,2021,0,0
British Indian Ocean Territory,February,2021,0,0
British Indian Ocean Territory,March,2021,0,0
British Indian Ocean Territory,April,2021,0,0
British Indian Ocean Territory,May,2021,0,0
British Indian Ocean Territory,June,2021,0,0
British Indian Ocean Territory,July,2021,0,0
British Indian Ocean Territory,August,2021,0,0
British Indian Ocean Territory,September,2021,0,0
British Indian Ocean Territory,October,2021,0,0
British Indian Ocean Territory,November,2021,0,0
British Indian Ocean Territory,December,2021,0,0
British Indian Ocean Territory,January,2022,0,0
British Indian Ocean Territory,February,2022,0,0
British Indian Ocean Territory,March,2022,0,0
British Indian Ocean Territory,April,2022,0,0
British Indian Ocean Territory,May,2022,0,0
British Indian Ocean Territory,June,2022,0,0
British Indian Ocean Territory,July,2022,0,0
British Indian Ocean Territory,August,2022,0,0
British Indian Ocean Territory,September,2022,0,0
British Indian Ocean Territory,October,2022,0,0
British Indian Ocean Territory,November,2022,0,0
British Indian Ocean Territory,December,2022,0,0
British Indian Ocean Territory,January,2023,0,0
British Indian Ocean Territory,February,2023,0,0
British Indian Ocean Territory,March,2023,0,0
British Indian Ocean Territory,April,2023,0,0
British Indian Ocean Territory,May,2023,0,0
British Indian Ocean Territory,June,2023,0,0
British Indian Ocean Territory,July,2023,0,0
British Indian Ocean Territory,August,2023,0,0
British Indian Ocean Territory,September,2023,0,0
British Indian Ocean Territory,October,2023,0,0
British Indian Ocean Territory,November,2023,0,0
British Indian Ocean Territory,December,2023,0,0
British Indian Ocean Territory,January,2024,0,0
British Indian Ocean Territory,February,2024,0,0
British Indian Ocean Territory,March,2024,0,0
British Indian Ocean Territory,April,2024,0,0
British Indian Ocean Territory,May,2024,0,0
British Indian Ocean Territory,June,2024,0,0
British Indian Ocean Territory,July,2024,0,0
British Indian Ocean Territory,August,2024,0,0
British Indian Ocean Territory,September,2024,0,0
British Indian Ocean Territory,October,2024,0,0
British Indian Ocean Territory,November,2024,0,0
British Indian Ocean Territory,December,2024,0,0
British Indian Ocean Territory,January,2025,0,0
British Indian Ocean Territory,February,2025,0,0
British Indian Ocean Territory,March,2025,0,0
British Indian Ocean Territory,April,2025,0,0
British Indian Ocean Territory,May,2025,0,0
British Indian Ocean Territory,June,2025,0,0
British Indian Ocean Territory,July,2025,0,0
British Indian Ocean Territory,August,2025,0,0
British Indian Ocean Territory,September,2025,0,0
British Indian Ocean Territory,October,2025,0,0
British Indian Ocean Territory,November,2025,0,0
British Indian Ocean Territory,December,2025,0,0
British Indian Ocean Territory,January,2026,0,0
British Indian Ocean Territory,February,2026,0,0
British Indian Ocean Territory,March,2026,0,0
British Indian Ocean Territory,April,2026,0,0
