Country,Month,Year,Events,Fatalities
Cambodia,January,2010,3,1
Cambodia,February,2010,2,0
Cambodia,March,2010,8,7
Cambodia,April,2010,3,1
Cambodia,May,2010,1,0
Cambodia,June,2010,1,1
Cambodia,July,2010,5,5
Cambodia,August,2010,4,0
Cambodia,September,2010,2,0
Cambodia,October,2010,2,0
Cambodia,November,2010,2,2
Cambodia,December,2010,0,0
Cambodia,January,2011,3,2
Cambodia,February,2011,1,0
Cambodia,March,2011,2,0
Cambodia,April,2011,2,1
Cambodia,May,2011,3,1
Cambodia,June,2011,3,2
Cambodia,July,2011,1,0
Cambodia,August,2011,1,0
Cambodia,September,2011,1,1
Cambodia,October,2011,1,1
Cambodia,November,2011,1,0
Cambodia,December,2011,2,0
Cambodia,January,2012,2,1
Cambodia,February,2012,3,0
Cambodia,March,2012,2,0
Cambodia,April,2012,2,1
Cambodia,May,2012,3,1
Cambodia,June,2012,0,0
Cambodia,July,2012,3,2
Cambodia,August,2012,2,0
Cambodia,September,2012,2,1
Cambodia,October,2012,1,1
Cambodia,November,2012,2,1
Cambodia,December,2012,1,1
Cambodia,January,2013,2,0
Cambodia,February,2013,4,1
Cambodia,March,2013,3,0
Cambodia,April,2013,1,1
Cambodia,May,2013,5,2
Cambodia,June,2013,5,0
Cambodia,July,2013,1,0
Cambodia,August,2013,4,1
Cambodia,September,2013,2,1
Cambodia,October,2013,3,1
Cambodia,November,2013,0,0
Cambodia,December,2013,1,0
Cambodia,January,2014,1,1
Cambodia,February,2014,3,2
Cambodia,March,2014,3,0
Cambodia,April,2014,6,3
Cambodia,May,2014,3,0
Cambodia,June,2014,1,0
Cambodia,July,2014,4,2
Cambodia,August,2014,2,0
Cambodia,September,2014,1,0
Cambodia,October,2014,5,1
Cambodia,November,2014,2,0
Cambodia,December,2014,3,0
Cambodia,January,2015,0,0
Cambodia,February,2015,0,0
Cambodia,March,2015,0,0
Cambodia,April,2015,0,0
Cambodia,May,2015,0,0
Cambodia,June,2015,0,0
Cambodia,July,2015,0,0
Cambodia,August,2015,0,0
Cambodia,September,2015,1,0
Cambodia,October,2015,1,0
Cambodia,November,2015,2,1
Cambodia,December,2015,1,3
Cambodia,January,2016,0,0
Cambodia,February,2016,2,0
Cambodia,March,2016,0,0
Cambodia,April,2016,0,0
Cambodia,May,2016,0,0
Cambodia,June,2016,0,0
Cambodia,July,2016,1,1
Cambodia,August,2016,1,1
Cambodia,September,2016,2,1
Cambodia,October,2016,1,0
Cambodia,November,2016,0,0
Cambodia,December,2016,0,0
Cambodia,January,2017,1,0
Cambodia,February,2017,0,0
Cambodia,March,2017,3,0
Cambodia,April,2017,1,0
Cambodia,May,2017,0,0
Cambodia,June,2017,2,0
Cambodia,July,2017,2,1
Cambodia,August,2017,1,0
Cambodia,September,2017,0,0
Cambodia,October,2017,0,0
Cambodia,November,2017,0,0
Cambodia,December,2017,1,1
Cambodia,January,2018,0,0
Cambodia,February,2018,0,0
Cambodia,March,2018,2,8
Cambodia,April,2018,0,0
Cambodia,May,2018,1,0
Cambodia,June,2018,0,0
Cambodia,July,2018,1,0
Cambodia,August,2018,0,0
Cambodia,September,2018,1,1
Cambodia,October,2018,0,0
Cambodia,November,2018,1,1
Cambodia,December,2018,0,0
Cambodia,January,2019,4,1
Cambodia,February,2019,2,1
Cambodia,March,2019,0,0
Cambodia,April,2019,1,1
Cambodia,May,2019,2,1
Cambodia,June,2019,1,0
Cambodia,July,2019,0,0
Cambodia,August,2019,1,0
Cambodia,September,2019,2,0
Cambodia,October,2019,0,0
Cambodia,November,2019,0,0
Cambodia,December,2019,2,1
Cambodia,January,2020,1,0
Cambodia,February,2020,0,0
Cambodia,March,2020,1,0
Cambodia,April,2020,1,1
Cambodia,May,2020,2,1
Cambodia,June,2020,1,0
Cambodia,July,2020,3,0
Cambodia,August,2020,2,0
Cambodia,September,2020,2,0
Cambodia,October,2020,2,0
Cambodia,November,2020,3,1
Cambodia,December,2020,2,0
Cambodia,January,2021,1,0
Cambodia,February,2021,2,0
Cambodia,March,2021,1,0
Cambodia,April,2021,2,1
Cambodia,May,2021,2,1
Cambodia,June,2021,1,0
Cambodia,July,2021,0,0
Cambodia,August,2021,0,0
Cambodia,September,2021,0,0
Cambodia,October,2021,0,0
Cambodia,November,2021,0,0
Cambodia,December,2021,0,0
Cambodia,January,2022,0,0
Cambodia,February,2022,0,0
Cambodia,March,2022,0,0
Cambodia,April,2022,2,1
Cambodia,May,2022,1,0
Cambodia,June,2022,0,0
Cambodia,July,2022,1,0
Cambodia,August,2022,0,0
Cambodia,September,2022,0,0
Cambodia,October,2022,1,0
Cambodia,November,2022,0,0
Cambodia,December,2022,0,0
Cambodia,January,2023,0,0
Cambodia,February,2023,0,0
Cambodia,March,2023,0,0
Cambodia,April,2023,0,0
Cambodia,May,2023,0,0
Cambodia,June,2023,0,0
Cambodia,July,2023,0,0
Cambodia,August,2023,0,0
Cambodia,September,2023,1,0
Cambodia,October,2023,0,0
Cambodia,November,2023,0,0
Cambodia,December,2023,0,0
Cambodia,January,2024,0,0
Cambodia,February,2024,0,0
Cambodia,March,2024,1,0
Cambodia,April,2024,0,0
Cambodia,May,2024,0,0
Cambodia,June,2024,0,0
Cambodia,July,2024,0,0
Cambodia,August,2024,0,0
Cambodia,September,2024,0,0
Cambodia,October,2024,0,0
Cambodia,November,2024,0,0
Cambodia,December,2024,0,0
Cambodia,January,2025,0,0
Cambodia,February,2025,0,0
Cambodia,March,2025,0,0
Cambodia,April,2025,0,0
Cambodia,May,2025,0,0
Cambodia,June,2025,0,0
Cambodia,July,2025,2,0
Cambodia,August,2025,0,0
Cambodia,September,2025,0,0
Cambodia,October,2025,0,0
Cambodia,November,2025,0,0
Cambodia,December,2025,0,0
Cambodia,January,2026,0,0
Cambodia,February,2026,0,0
Cambodia,March,2026,0,0
Cambodia,April,2026,0,0
