Country,Month,Year,Events,Fatalities
Canada,January,2021,0,0
Canada,February,2021,2,1
Canada,March,2021,0,0
Canada,April,2021,1,0
Canada,May,2021,1,1
Canada,June,2021,2,4
Canada,July,2021,2,1
Canada,August,2021,2,1
Canada,September,2021,2,0
Canada,October,2021,0,0
Canada,November,2021,0,0
Canada,December,2021,2,0
Canada,January,2022,0,0
Canada,February,2022,1,0
Canada,March,2022,4,0
Canada,April,2022,1,0
Canada,May,2022,0,0
Canada,June,2022,1,0
Canada,July,2022,3,0
Canada,August,2022,0,0
Canada,September,2022,0,0
Canada,October,2022,0,0
Canada,November,2022,0,0
Canada,December,2022,0,0
Canada,January,2023,0,0
Canada,February,2023,0,0
Canada,March,2023,1,3
Canada,April,2023,0,0
Canada,May,2023,1,0
Canada,June,2023,2,1
Canada,July,2023,0,0
Canada,August,2023,0,0
Canada,September,2023,0,0
Canada,October,2023,1,0
Canada,November,2023,3,0
Canada,December,2023,0,0
Canada,January,2024,1,0
Canada,February,2024,0,0
Canada,March,2024,0,0
Canada,April,2024,0,0
Canada,May,2024,1,0
Canada,June,2024,0,0
Canada,July,2024,0,0
Canada,August,2024,0,0
Canada,September,2024,0,0
Canada,October,2024,1,0
Canada,November,2024,0,0
Canada,December,2024,1,0
Canada,January,2025,0,0
Canada,February,2025,0,0
Canada,March,2025,1,0
Canada,April,2025,0,0
Canada,May,2025,0,0
Canada,June,2025,1,0
Canada,July,2025,0,0
Canada,August,2025,0,0
Canada,September,2025,1,0
Canada,October,2025,1,0
Canada,November,2025,0,0
Canada,December,2025,0,0
Canada,January,2026,0,0
Canada,February,2026,1,7
Canada,March,2026,1,0
Canada,April,2026,0,0
