Country,Month,Year,Events,Fatalities
Christmas Island,January,2021,0,0
Christmas Island,February,2021,0,0
Christmas Island,March,2021,0,0
Christmas Island,April,2021,0,0
Christmas Island,May,2021,0,0
Christmas Island,June,2021,0,0
Christmas Island,July,2021,0,0
Christmas Island,August,2021,0,0
Christmas Island,September,2021,0,0
Christmas Island,October,2021,0,0
Christmas Island,November,2021,0,0
Christmas Island,December,2021,0,0
Christmas Island,January,2022,0,0
Christmas Island,February,2022,0,0
Christmas Island,March,2022,0,0
Christmas Island,April,2022,0,0
Christmas Island,May,2022,0,0
Christmas Island,June,2022,0,0
Christmas Island,July,2022,0,0
Christmas Island,August,2022,0,0
Christmas Island,September,2022,0,0
Christmas Island,October,2022,0,0
Christmas Island,November,2022,0,0
Christmas Island,December,2022,0,0
Christmas Island,January,2023,0,0
Christmas Island,February,2023,0,0
Christmas Island,March,2023,0,0
Christmas Island,April,2023,0,0
Christmas Island,May,2023,0,0
Christmas Island,June,2023,0,0
Christmas Island,July,2023,0,0
Christmas Island,August,2023,0,0
Christmas Island,September,2023,0,0
Christmas Island,October,2023,0,0
Christmas Island,November,2023,0,0
Christmas Island,December,2023,0,0
Christmas Island,January,2024,0,0
Christmas Island,February,2024,0,0
Christmas Island,March,2024,0,0
Christmas Island,April,2024,0,0
Christmas Island,May,2024,0,0
Christmas Island,June,2024,0,0
Christmas Island,July,2024,0,0
Christmas Island,August,2024,0,0
Christmas Island,September,2024,0,0
Christmas Island,October,2024,0,0
Christmas Island,November,2024,0,0
Christmas Island,December,2024,0,0
Christmas Island,January,2025,0,0
Christmas Island,February,2025,0,0
Christmas Island,March,2025,0,0
Christmas Island,April,2025,0,0
Christmas Island,May,2025,0,0
Christmas Island,June,2025,0,0
Christmas Island,July,2025,0,0
Christmas Island,August,2025,0,0
Christmas Island,September,2025,0,0
Christmas Island,October,2025,0,0
Christmas Island,November,2025,0,0
Christmas Island,December,2025,0,0
Christmas Island,January,2026,0,0
Christmas Island,February,2026,0,0
Christmas Island,March,2026,0,0
Christmas Island,April,2026,0,0
