Country,Month,Year,Events,Fatalities
Comoros,January,2020,1,0
Comoros,February,2020,0,0
Comoros,March,2020,0,0
Comoros,April,2020,1,0
Comoros,May,2020,1,0
Comoros,June,2020,0,0
Comoros,July,2020,0,0
Comoros,August,2020,0,0
Comoros,September,2020,0,0
Comoros,October,2020,0,0
Comoros,November,2020,2,1
Comoros,December,2020,1,1
Comoros,January,2021,0,0
Comoros,February,2021,0,0
Comoros,March,2021,0,0
Comoros,April,2021,0,0
Comoros,May,2021,0,0
Comoros,June,2021,0,0
Comoros,July,2021,1,0
Comoros,August,2021,0,0
Comoros,September,2021,1,0
Comoros,October,2021,1,0
Comoros,November,2021,2,0
Comoros,December,2021,0,0
Comoros,January,2022,0,0
Comoros,February,2022,2,0
Comoros,March,2022,0,0
Comoros,April,2022,0,0
Comoros,May,2022,0,0
Comoros,June,2022,1,0
Comoros,July,2022,0,0
Comoros,August,2022,2,2
Comoros,September,2022,1,0
Comoros,October,2022,1,0
Comoros,November,2022,0,0
Comoros,December,2022,0,0
Comoros,January,2023,0,0
Comoros,February,2023,2,1
Comoros,March,2023,0,0
Comoros,April,2023,0,0
Comoros,May,2023,2,0
Comoros,June,2023,1,0
Comoros,July,2023,1,0
Comoros,August,2023,2,0
Comoros,September,2023,1,0
Comoros,October,2023,0,0
Comoros,November,2023,0,0
Comoros,December,2023,0,0
Comoros,January,2024,2,1
Comoros,February,2024,0,0
Comoros,March,2024,0,0
Comoros,April,2024,1,0
Comoros,May,2024,0,0
Comoros,June,2024,0,0
Comoros,July,2024,0,0
Comoros,August,2024,0,0
Comoros,September,2024,2,1
Comoros,October,2024,0,0
Comoros,November,2024,0,0
Comoros,December,2024,0,0
Comoros,January,2025,0,0
Comoros,February,2025,2,0
Comoros,March,2025,0,0
Comoros,April,2025,0,0
Comoros,May,2025,0,0
Comoros,June,2025,1,1
Comoros,July,2025,1,0
Comoros,August,2025,0,0
Comoros,September,2025,0,0
Comoros,October,2025,1,0
Comoros,November,2025,0,0
Comoros,December,2025,0,0
Comoros,January,2026,0,0
Comoros,February,2026,0,0
Comoros,March,2026,1,0
Comoros,April,2026,0,0
