Country,Month,Year,Events,Fatalities
Cuba,January,2018,0,0
Cuba,February,2018,0,0
Cuba,March,2018,0,0
Cuba,April,2018,0,0
Cuba,May,2018,0,0
Cuba,June,2018,0,0
Cuba,July,2018,0,0
Cuba,August,2018,0,0
Cuba,September,2018,0,0
Cuba,October,2018,0,0
Cuba,November,2018,0,0
Cuba,December,2018,0,0
Cuba,January,2019,0,0
Cuba,February,2019,2,0
Cuba,March,2019,0,0
Cuba,April,2019,2,1
Cuba,May,2019,0,0
Cuba,June,2019,0,0
Cuba,July,2019,1,0
Cuba,August,2019,1,0
Cuba,September,2019,0,0
Cuba,October,2019,2,1
Cuba,November,2019,0,0
Cuba,December,2019,0,0
Cuba,January,2020,1,0
Cuba,February,2020,0,0
Cuba,March,2020,2,0
Cuba,April,2020,3,0
Cuba,May,2020,3,0
Cuba,June,2020,6,1
Cuba,July,2020,5,0
Cuba,August,2020,12,1
Cuba,September,2020,12,0
Cuba,October,2020,8,1
Cuba,November,2020,8,0
Cuba,December,2020,2,0
Cuba,January,2021,5,0
Cuba,February,2021,5,0
Cuba,March,2021,7,0
Cuba,April,2021,8,0
Cuba,May,2021,7,0
Cuba,June,2021,6,0
Cuba,July,2021,28,0
Cuba,August,2021,2,0
Cuba,September,2021,3,0
Cuba,October,2021,0,0
Cuba,November,2021,12,0
Cuba,December,2021,4,0
Cuba,January,2022,2,0
Cuba,February,2022,8,0
Cuba,March,2022,8,0
Cuba,April,2022,4,0
Cuba,May,2022,7,0
Cuba,June,2022,4,0
Cuba,July,2022,11,0
Cuba,August,2022,1,0
Cuba,September,2022,6,0
Cuba,October,2022,9,0
Cuba,November,2022,4,0
Cuba,December,2022,8,0
Cuba,January,2023,6,0
Cuba,February,2023,9,1
Cuba,March,2023,7,1
Cuba,April,2023,5,0
Cuba,May,2023,8,3
Cuba,June,2023,4,0
Cuba,July,2023,5,0
Cuba,August,2023,2,0
Cuba,September,2023,5,1
Cuba,October,2023,4,0
Cuba,November,2023,6,0
Cuba,December,2023,2,0
Cuba,January,2024,3,0
Cuba,February,2024,2,0
Cuba,March,2024,8,1
Cuba,April,2024,6,0
Cuba,May,2024,2,0
Cuba,June,2024,4,0
Cuba,July,2024,2,0
Cuba,August,2024,1,0
Cuba,September,2024,2,0
Cuba,October,2024,5,0
Cuba,November,2024,5,2
Cuba,December,2024,1,0
Cuba,January,2025,5,2
Cuba,February,2025,4,0
Cuba,March,2025,8,1
Cuba,April,2025,4,0
Cuba,May,2025,3,0
Cuba,June,2025,7,1
Cuba,July,2025,4,0
Cuba,August,2025,4,0
Cuba,September,2025,5,1
Cuba,October,2025,1,0
Cuba,November,2025,1,0
Cuba,December,2025,2,0
Cuba,January,2026,1,0
Cuba,February,2026,4,7
Cuba,March,2026,7,0
Cuba,April,2026,4,0
