Country,Month,Year,Events,Fatalities
Cyprus,January,2018,0,0
Cyprus,February,2018,0,0
Cyprus,March,2018,0,0
Cyprus,April,2018,0,0
Cyprus,May,2018,0,0
Cyprus,June,2018,0,0
Cyprus,July,2018,1,0
Cyprus,August,2018,0,0
Cyprus,September,2018,1,0
Cyprus,October,2018,0,0
Cyprus,November,2018,0,0
Cyprus,December,2018,0,0
Cyprus,January,2019,0,0
Cyprus,February,2019,0,0
Cyprus,March,2019,0,0
Cyprus,April,2019,1,0
Cyprus,May,2019,2,1
Cyprus,June,2019,0,0
Cyprus,July,2019,2,0
Cyprus,August,2019,1,0
Cyprus,September,2019,2,0
Cyprus,October,2019,0,0
Cyprus,November,2019,0,0
Cyprus,December,2019,0,0
Cyprus,January,2020,1,0
Cyprus,February,2020,0,0
Cyprus,March,2020,2,0
Cyprus,April,2020,0,0
Cyprus,May,2020,0,0
Cyprus,June,2020,0,0
Cyprus,July,2020,1,0
Cyprus,August,2020,0,0
Cyprus,September,2020,1,0
Cyprus,October,2020,0,0
Cyprus,November,2020,0,0
Cyprus,December,2020,0,0
Cyprus,January,2021,0,0
Cyprus,February,2021,0,0
Cyprus,March,2021,0,0
Cyprus,April,2021,0,0
Cyprus,May,2021,0,0
Cyprus,June,2021,0,0
Cyprus,July,2021,0,0
Cyprus,August,2021,2,0
Cyprus,September,2021,1,0
Cyprus,October,2021,0,0
Cyprus,November,2021,1,0
Cyprus,December,2021,1,0
Cyprus,January,2022,0,0
Cyprus,February,2022,2,0
Cyprus,March,2022,1,0
Cyprus,April,2022,0,0
Cyprus,May,2022,1,0
Cyprus,June,2022,0,0
Cyprus,July,2022,3,0
Cyprus,August,2022,0,0
Cyprus,September,2022,1,0
Cyprus,October,2022,4,1
Cyprus,November,2022,1,0
Cyprus,December,2022,2,0
Cyprus,January,2023,0,0
Cyprus,February,2023,2,0
Cyprus,March,2023,3,0
Cyprus,April,2023,0,0
Cyprus,May,2023,3,0
Cyprus,June,2023,4,0
Cyprus,July,2023,0,0
Cyprus,August,2023,3,0
Cyprus,September,2023,5,0
Cyprus,October,2023,2,0
Cyprus,November,2023,0,0
Cyprus,December,2023,2,0
Cyprus,January,2024,1,0
Cyprus,February,2024,2,0
Cyprus,March,2024,2,0
Cyprus,April,2024,1,0
Cyprus,May,2024,2,0
Cyprus,June,2024,0,0
Cyprus,July,2024,2,0
Cyprus,August,2024,0,0
Cyprus,September,2024,1,0
Cyprus,October,2024,8,0
Cyprus,November,2024,2,0
Cyprus,December,2024,5,0
Cyprus,January,2025,5,1
Cyprus,February,2025,4,0
Cyprus,March,2025,1,0
Cyprus,April,2025,2,0
Cyprus,May,2025,3,0
Cyprus,June,2025,2,0
Cyprus,July,2025,0,0
Cyprus,August,2025,3,0
Cyprus,September,2025,1,0
Cyprus,October,2025,0,0
Cyprus,November,2025,1,0
Cyprus,December,2025,2,0
Cyprus,January,2026,0,0
Cyprus,February,2026,0,0
Cyprus,March,2026,1,0
Cyprus,April,2026,2,0
