Country,Month,Year,Events,Fatalities
Czech Republic,January,2020,0,0
Czech Republic,February,2020,0,0
Czech Republic,March,2020,1,0
Czech Republic,April,2020,0,0
Czech Republic,May,2020,1,0
Czech Republic,June,2020,1,0
Czech Republic,July,2020,0,0
Czech Republic,August,2020,0,0
Czech Republic,September,2020,0,0
Czech Republic,October,2020,0,0
Czech Republic,November,2020,0,0
Czech Republic,December,2020,0,0
Czech Republic,January,2021,0,0
Czech Republic,February,2021,0,0
Czech Republic,March,2021,1,0
Czech Republic,April,2021,0,0
Czech Republic,May,2021,1,0
Czech Republic,June,2021,1,1
Czech Republic,July,2021,0,0
Czech Republic,August,2021,0,0
Czech Republic,September,2021,0,0
Czech Republic,October,2021,0,0
Czech Republic,November,2021,0,0
Czech Republic,December,2021,0,0
Czech Republic,January,2022,0,0
Czech Republic,February,2022,0,0
Czech Republic,March,2022,0,0
Czech Republic,April,2022,0,0
Czech Republic,May,2022,0,0
Czech Republic,June,2022,0,0
Czech Republic,July,2022,0,0
Czech Republic,August,2022,0,0
Czech Republic,September,2022,0,0
Czech Republic,October,2022,0,0
Czech Republic,November,2022,0,0
Czech Republic,December,2022,0,0
Czech Republic,January,2023,1,0
Czech Republic,February,2023,1,0
Czech Republic,March,2023,0,0
Czech Republic,April,2023,0,0
Czech Republic,May,2023,1,0
Czech Republic,June,2023,2,0
Czech Republic,July,2023,0,0
Czech Republic,August,2023,2,0
Czech Republic,September,2023,0,0
Czech Republic,October,2023,1,0
Czech Republic,November,2023,0,0
Czech Republic,December,2023,1,0
Czech Republic,January,2024,0,0
Czech Republic,February,2024,1,0
Czech Republic,March,2024,0,0
Czech Republic,April,2024,0,0
Czech Republic,May,2024,0,0
Czech Republic,June,2024,1,0
Czech Republic,July,2024,0,0
Czech Republic,August,2024,0,0
Czech Republic,September,2024,0,0
Czech Republic,October,2024,0,0
Czech Republic,November,2024,0,0
Czech Republic,December,2024,0,0
Czech Republic,January,2025,0,0
Czech Republic,February,2025,0,0
Czech Republic,March,2025,0,0
Czech Republic,April,2025,0,0
Czech Republic,May,2025,1,0
Czech Republic,June,2025,0,0
Czech Republic,July,2025,0,0
Czech Republic,August,2025,3,1
Czech Republic,September,2025,1,0
Czech Republic,October,2025,0,0
Czech Republic,November,2025,0,0
Czech Republic,December,2025,0,0
Czech Republic,January,2026,1,0
Czech Republic,February,2026,0,0
Czech Republic,March,2026,0,0
Czech Republic,April,2026,0,0
