Country,Month,Year,Events,Fatalities
Dominica,January,2018,0,0
Dominica,February,2018,0,0
Dominica,March,2018,0,0
Dominica,April,2018,0,0
Dominica,May,2018,0,0
Dominica,June,2018,0,0
Dominica,July,2018,0,0
Dominica,August,2018,0,0
Dominica,September,2018,0,0
Dominica,October,2018,0,0
Dominica,November,2018,0,0
Dominica,December,2018,0,0
Dominica,January,2019,0,0
Dominica,February,2019,1,1
Dominica,March,2019,0,0
Dominica,April,2019,0,0
Dominica,May,2019,0,0
Dominica,June,2019,0,0
Dominica,July,2019,0,0
Dominica,August,2019,0,0
Dominica,September,2019,0,0
Dominica,October,2019,0,0
Dominica,November,2019,0,0
Dominica,December,2019,0,0
Dominica,January,2020,0,0
Dominica,February,2020,0,0
Dominica,March,2020,0,0
Dominica,April,2020,0,0
Dominica,May,2020,0,0
Dominica,June,2020,0,0
Dominica,July,2020,0,0
Dominica,August,2020,0,0
Dominica,September,2020,0,0
Dominica,October,2020,0,0
Dominica,November,2020,0,0
Dominica,December,2020,0,0
Dominica,January,2021,0,0
Dominica,February,2021,0,0
Dominica,March,2021,0,0
Dominica,April,2021,0,0
Dominica,May,2021,1,0
Dominica,June,2021,0,0
Dominica,July,2021,0,0
Dominica,August,2021,0,0
Dominica,September,2021,0,0
Dominica,October,2021,0,0
Dominica,November,2021,0,0
Dominica,December,2021,0,0
Dominica,January,2022,0,0
Dominica,February,2022,0,0
Dominica,March,2022,0,0
Dominica,April,2022,0,0
Dominica,May,2022,0,0
Dominica,June,2022,0,0
Dominica,July,2022,0,0
Dominica,August,2022,0,0
Dominica,September,2022,0,0
Dominica,October,2022,0,0
Dominica,November,2022,0,0
Dominica,December,2022,0,0
Dominica,January,2023,0,0
Dominica,February,2023,0,0
Dominica,March,2023,0,0
Dominica,April,2023,0,0
Dominica,May,2023,0,0
Dominica,June,2023,0,0
Dominica,July,2023,0,0
Dominica,August,2023,0,0
Dominica,September,2023,0,0
Dominica,October,2023,0,0
Dominica,November,2023,0,0
Dominica,December,2023,0,0
Dominica,January,2024,0,0
Dominica,February,2024,0,0
Dominica,March,2024,0,0
Dominica,April,2024,0,0
Dominica,May,2024,0,0
Dominica,June,2024,0,0
Dominica,July,2024,0,0
Dominica,August,2024,0,0
Dominica,September,2024,0,0
Dominica,October,2024,0,0
Dominica,November,2024,0,0
Dominica,December,2024,0,0
Dominica,January,2025,0,0
Dominica,February,2025,0,0
Dominica,March,2025,0,0
Dominica,April,2025,0,0
Dominica,May,2025,0,0
Dominica,June,2025,0,0
Dominica,July,2025,0,0
Dominica,August,2025,0,0
Dominica,September,2025,0,0
Dominica,October,2025,0,0
Dominica,November,2025,0,0
Dominica,December,2025,0,0
Dominica,January,2026,0,0
Dominica,February,2026,0,0
Dominica,March,2026,0,0
Dominica,April,2026,0,0
