Country,Month,Year,Events,Fatalities
Dominican Republic,January,2018,3,3
Dominican Republic,February,2018,2,3
Dominican Republic,March,2018,3,3
Dominican Republic,April,2018,1,1
Dominican Republic,May,2018,0,0
Dominican Republic,June,2018,1,0
Dominican Republic,July,2018,2,0
Dominican Republic,August,2018,2,2
Dominican Republic,September,2018,0,0
Dominican Republic,October,2018,8,6
Dominican Republic,November,2018,1,0
Dominican Republic,December,2018,1,0
Dominican Republic,January,2019,0,0
Dominican Republic,February,2019,3,3
Dominican Republic,March,2019,0,0
Dominican Republic,April,2019,1,1
Dominican Republic,May,2019,1,1
Dominican Republic,June,2019,1,2
Dominican Republic,July,2019,1,1
Dominican Republic,August,2019,2,1
Dominican Republic,September,2019,2,1
Dominican Republic,October,2019,0,0
Dominican Republic,November,2019,2,2
Dominican Republic,December,2019,2,2
Dominican Republic,January,2020,1,2
Dominican Republic,February,2020,1,0
Dominican Republic,March,2020,1,1
Dominican Republic,April,2020,1,0
Dominican Republic,May,2020,0,0
Dominican Republic,June,2020,1,2
Dominican Republic,July,2020,1,1
Dominican Republic,August,2020,1,0
Dominican Republic,September,2020,1,1
Dominican Republic,October,2020,1,0
Dominican Republic,November,2020,0,0
Dominican Republic,December,2020,0,0
Dominican Republic,January,2021,0,0
Dominican Republic,February,2021,0,0
Dominican Republic,March,2021,1,2
Dominican Republic,April,2021,1,0
Dominican Republic,May,2021,0,0
Dominican Republic,June,2021,0,0
Dominican Republic,July,2021,0,0
Dominican Republic,August,2021,0,0
Dominican Republic,September,2021,1,1
Dominican Republic,October,2021,0,0
Dominican Republic,November,2021,0,0
Dominican Republic,December,2021,0,0
Dominican Republic,January,2022,2,0
Dominican Republic,February,2022,3,1
Dominican Republic,March,2022,2,2
Dominican Republic,April,2022,3,1
Dominican Republic,May,2022,4,1
Dominican Republic,June,2022,3,3
Dominican Republic,July,2022,3,0
Dominican Republic,August,2022,1,1
Dominican Republic,September,2022,1,1
Dominican Republic,October,2022,3,1
Dominican Republic,November,2022,2,2
Dominican Republic,December,2022,2,1
Dominican Republic,January,2023,0,0
Dominican Republic,February,2023,4,4
Dominican Republic,March,2023,1,0
Dominican Republic,April,2023,2,0
Dominican Republic,May,2023,0,0
Dominican Republic,June,2023,3,1
Dominican Republic,July,2023,0,0
Dominican Republic,August,2023,3,2
Dominican Republic,September,2023,1,0
Dominican Republic,October,2023,3,2
Dominican Republic,November,2023,2,1
Dominican Republic,December,2023,1,0
Dominican Republic,January,2024,2,2
Dominican Republic,February,2024,2,1
Dominican Republic,March,2024,2,0
Dominican Republic,April,2024,3,1
Dominican Republic,May,2024,2,1
Dominican Republic,June,2024,0,0
Dominican Republic,July,2024,1,1
Dominican Republic,August,2024,1,0
Dominican Republic,September,2024,1,1
Dominican Republic,October,2024,4,0
Dominican Republic,November,2024,3,0
Dominican Republic,December,2024,4,3
Dominican Republic,January,2025,1,0
Dominican Republic,February,2025,1,2
Dominican Republic,March,2025,1,0
Dominican Republic,April,2025,1,0
Dominican Republic,May,2025,1,3
Dominican Republic,June,2025,1,1
Dominican Republic,July,2025,2,1
Dominican Republic,August,2025,3,3
Dominican Republic,September,2025,0,0
Dominican Republic,October,2025,0,0
Dominican Republic,November,2025,2,1
Dominican Republic,December,2025,4,4
Dominican Republic,January,2026,4,4
Dominican Republic,February,2026,2,0
Dominican Republic,March,2026,4,2
Dominican Republic,April,2026,1,0
