Country,Month,Year,Events,Fatalities
East Timor,January,2020,0,0
East Timor,February,2020,0,0
East Timor,March,2020,0,0
East Timor,April,2020,0,0
East Timor,May,2020,0,0
East Timor,June,2020,1,0
East Timor,July,2020,0,0
East Timor,August,2020,0,0
East Timor,September,2020,0,0
East Timor,October,2020,0,0
East Timor,November,2020,0,0
East Timor,December,2020,1,0
East Timor,January,2021,0,0
East Timor,February,2021,0,0
East Timor,March,2021,0,0
East Timor,April,2021,0,0
East Timor,May,2021,1,0
East Timor,June,2021,1,2
East Timor,July,2021,0,0
East Timor,August,2021,0,0
East Timor,September,2021,0,0
East Timor,October,2021,0,0
East Timor,November,2021,0,0
East Timor,December,2021,0,0
East Timor,January,2022,2,2
East Timor,February,2022,0,0
East Timor,March,2022,0,0
East Timor,April,2022,0,0
East Timor,May,2022,0,0
East Timor,June,2022,0,0
East Timor,July,2022,0,0
East Timor,August,2022,0,0
East Timor,September,2022,0,0
East Timor,October,2022,0,0
East Timor,November,2022,0,0
East Timor,December,2022,0,0
East Timor,January,2023,0,0
East Timor,February,2023,0,0
East Timor,March,2023,0,0
East Timor,April,2023,2,0
East Timor,May,2023,1,0
East Timor,June,2023,0,0
East Timor,July,2023,0,0
East Timor,August,2023,0,0
East Timor,September,2023,0,0
East Timor,October,2023,0,0
East Timor,November,2023,0,0
East Timor,December,2023,0,0
East Timor,January,2024,0,0
East Timor,February,2024,0,0
East Timor,March,2024,0,0
East Timor,April,2024,0,0
East Timor,May,2024,0,0
East Timor,June,2024,0,0
East Timor,July,2024,0,0
East Timor,August,2024,0,0
East Timor,September,2024,0,0
East Timor,October,2024,1,0
East Timor,November,2024,0,0
East Timor,December,2024,0,0
East Timor,January,2025,1,0
East Timor,February,2025,0,0
East Timor,March,2025,0,0
East Timor,April,2025,0,0
East Timor,May,2025,0,0
East Timor,June,2025,0,0
East Timor,July,2025,0,0
East Timor,August,2025,0,0
East Timor,September,2025,0,0
East Timor,October,2025,0,0
East Timor,November,2025,0,0
East Timor,December,2025,0,0
East Timor,January,2026,0,0
East Timor,February,2026,0,0
East Timor,March,2026,0,0
East Timor,April,2026,0,0
