Country,Month,Year,Events,Fatalities
Ecuador,January,2018,1,0
Ecuador,February,2018,0,0
Ecuador,March,2018,2,4
Ecuador,April,2018,1,0
Ecuador,May,2018,1,0
Ecuador,June,2018,0,0
Ecuador,July,2018,0,0
Ecuador,August,2018,0,0
Ecuador,September,2018,0,0
Ecuador,October,2018,1,3
Ecuador,November,2018,1,0
Ecuador,December,2018,0,0
Ecuador,January,2019,0,0
Ecuador,February,2019,1,1
Ecuador,March,2019,0,0
Ecuador,April,2019,1,0
Ecuador,May,2019,1,1
Ecuador,June,2019,3,1
Ecuador,July,2019,3,1
Ecuador,August,2019,2,0
Ecuador,September,2019,2,1
Ecuador,October,2019,0,0
Ecuador,November,2019,0,0
Ecuador,December,2019,0,0
Ecuador,January,2020,2,0
Ecuador,February,2020,1,1
Ecuador,March,2020,1,0
Ecuador,April,2020,0,0
Ecuador,May,2020,0,0
Ecuador,June,2020,2,0
Ecuador,July,2020,3,0
Ecuador,August,2020,1,0
Ecuador,September,2020,0,0
Ecuador,October,2020,4,1
Ecuador,November,2020,2,0
Ecuador,December,2020,4,2
Ecuador,January,2021,3,1
Ecuador,February,2021,1,0
Ecuador,March,2021,1,1
Ecuador,April,2021,1,0
Ecuador,May,2021,1,0
Ecuador,June,2021,4,1
Ecuador,July,2021,0,0
Ecuador,August,2021,3,0
Ecuador,September,2021,3,0
Ecuador,October,2021,2,0
Ecuador,November,2021,0,0
Ecuador,December,2021,0,0
Ecuador,January,2022,57,59
Ecuador,February,2022,71,87
Ecuador,March,2022,110,125
Ecuador,April,2022,80,88
Ecuador,May,2022,97,98
Ecuador,June,2022,78,88
Ecuador,July,2022,87,89
Ecuador,August,2022,69,79
Ecuador,September,2022,157,174
Ecuador,October,2022,98,91
Ecuador,November,2022,53,50
Ecuador,December,2022,93,92
Ecuador,January,2023,136,155
Ecuador,February,2023,170,176
Ecuador,March,2023,105,107
Ecuador,April,2023,187,201
Ecuador,May,2023,180,202
Ecuador,June,2023,156,178
Ecuador,July,2023,140,173
Ecuador,August,2023,160,177
Ecuador,September,2023,235,239
Ecuador,October,2023,144,165
Ecuador,November,2023,169,189
Ecuador,December,2023,166,201
Ecuador,January,2024,118,102
Ecuador,February,2024,112,99
Ecuador,March,2024,135,154
Ecuador,April,2024,122,145
Ecuador,May,2024,195,223
Ecuador,June,2024,183,218
Ecuador,July,2024,184,211
Ecuador,August,2024,190,229
Ecuador,September,2024,187,222
Ecuador,October,2024,182,232
Ecuador,November,2024,176,222
Ecuador,December,2024,173,206
Ecuador,January,2025,254,318
Ecuador,February,2025,186,229
Ecuador,March,2025,251,264
Ecuador,April,2025,198,217
Ecuador,May,2025,240,282
Ecuador,June,2025,188,198
Ecuador,July,2025,193,271
Ecuador,August,2025,227,298
Ecuador,September,2025,204,275
Ecuador,October,2025,215,267
Ecuador,November,2025,220,273
Ecuador,December,2025,226,272
Ecuador,January,2026,206,286
Ecuador,February,2026,209,257
Ecuador,March,2026,211,256
Ecuador,April,2026,143,179
