Country,Month,Year,Events,Fatalities
Finland,January,2020,0,0
Finland,February,2020,0,0
Finland,March,2020,1,0
Finland,April,2020,1,1
Finland,May,2020,0,0
Finland,June,2020,1,0
Finland,July,2020,1,0
Finland,August,2020,0,0
Finland,September,2020,0,0
Finland,October,2020,0,0
Finland,November,2020,0,0
Finland,December,2020,0,0
Finland,January,2021,0,0
Finland,February,2021,0,0
Finland,March,2021,0,0
Finland,April,2021,0,0
Finland,May,2021,0,0
Finland,June,2021,0,0
Finland,July,2021,2,1
Finland,August,2021,0,0
Finland,September,2021,0,0
Finland,October,2021,0,0
Finland,November,2021,0,0
Finland,December,2021,0,0
Finland,January,2022,0,0
Finland,February,2022,0,0
Finland,March,2022,0,0
Finland,April,2022,0,0
Finland,May,2022,0,0
Finland,June,2022,0,0
Finland,July,2022,0,0
Finland,August,2022,0,0
Finland,September,2022,0,0
Finland,October,2022,0,0
Finland,November,2022,0,0
Finland,December,2022,0,0
Finland,January,2023,0,0
Finland,February,2023,0,0
Finland,March,2023,0,0
Finland,April,2023,0,0
Finland,May,2023,0,0
Finland,June,2023,1,0
Finland,July,2023,0,0
Finland,August,2023,0,0
Finland,September,2023,0,0
Finland,October,2023,0,0
Finland,November,2023,0,0
Finland,December,2023,0,0
Finland,January,2024,0,0
Finland,February,2024,0,0
Finland,March,2024,0,0
Finland,April,2024,0,0
Finland,May,2024,0,0
Finland,June,2024,3,0
Finland,July,2024,0,0
Finland,August,2024,0,0
Finland,September,2024,0,0
Finland,October,2024,0,0
Finland,November,2024,0,0
Finland,December,2024,0,0
Finland,January,2025,0,0
Finland,February,2025,0,0
Finland,March,2025,0,0
Finland,April,2025,0,0
Finland,May,2025,0,0
Finland,June,2025,0,0
Finland,July,2025,0,0
Finland,August,2025,0,0
Finland,September,2025,0,0
Finland,October,2025,0,0
Finland,November,2025,0,0
Finland,December,2025,0,0
Finland,January,2026,0,0
Finland,February,2026,0,0
Finland,March,2026,0,0
Finland,April,2026,0,0
