Country,Month,Year,Events,Fatalities
French Guiana,January,2018,0,0
French Guiana,February,2018,0,0
French Guiana,March,2018,0,0
French Guiana,April,2018,0,0
French Guiana,May,2018,1,0
French Guiana,June,2018,0,0
French Guiana,July,2018,0,0
French Guiana,August,2018,0,0
French Guiana,September,2018,1,0
French Guiana,October,2018,0,0
French Guiana,November,2018,0,0
French Guiana,December,2018,1,0
French Guiana,January,2019,0,0
French Guiana,February,2019,0,0
French Guiana,March,2019,0,0
French Guiana,April,2019,0,0
French Guiana,May,2019,0,0
French Guiana,June,2019,0,0
French Guiana,July,2019,0,0
French Guiana,August,2019,0,0
French Guiana,September,2019,0,0
French Guiana,October,2019,0,0
French Guiana,November,2019,0,0
French Guiana,December,2019,0,0
French Guiana,January,2020,0,0
French Guiana,February,2020,0,0
French Guiana,March,2020,0,0
French Guiana,April,2020,0,0
French Guiana,May,2020,0,0
French Guiana,June,2020,0,0
French Guiana,July,2020,0,0
French Guiana,August,2020,0,0
French Guiana,September,2020,0,0
French Guiana,October,2020,0,0
French Guiana,November,2020,0,0
French Guiana,December,2020,0,0
French Guiana,January,2021,0,0
French Guiana,February,2021,0,0
French Guiana,March,2021,0,0
French Guiana,April,2021,0,0
French Guiana,May,2021,0,0
French Guiana,June,2021,0,0
French Guiana,July,2021,0,0
French Guiana,August,2021,0,0
French Guiana,September,2021,0,0
French Guiana,October,2021,0,0
French Guiana,November,2021,0,0
French Guiana,December,2021,0,0
French Guiana,January,2022,0,0
French Guiana,February,2022,0,0
French Guiana,March,2022,0,0
French Guiana,April,2022,0,0
French Guiana,May,2022,0,0
French Guiana,June,2022,0,0
French Guiana,July,2022,0,0
French Guiana,August,2022,0,0
French Guiana,September,2022,0,0
French Guiana,October,2022,0,0
French Guiana,November,2022,0,0
French Guiana,December,2022,0,0
French Guiana,January,2023,0,0
French Guiana,February,2023,0,0
French Guiana,March,2023,0,0
French Guiana,April,2023,0,0
French Guiana,May,2023,1,1
French Guiana,June,2023,0,0
French Guiana,July,2023,0,0
French Guiana,August,2023,0,0
French Guiana,September,2023,0,0
French Guiana,October,2023,0,0
French Guiana,November,2023,0,0
French Guiana,December,2023,0,0
French Guiana,January,2024,0,0
French Guiana,February,2024,0,0
French Guiana,March,2024,0,0
French Guiana,April,2024,1,1
French Guiana,May,2024,0,0
French Guiana,June,2024,0,0
French Guiana,July,2024,0,0
French Guiana,August,2024,0,0
French Guiana,September,2024,0,0
French Guiana,October,2024,0,0
French Guiana,November,2024,0,0
French Guiana,December,2024,0,0
French Guiana,January,2025,0,0
French Guiana,February,2025,0,0
French Guiana,March,2025,0,0
French Guiana,April,2025,0,0
French Guiana,May,2025,0,0
French Guiana,June,2025,0,0
French Guiana,July,2025,0,0
French Guiana,August,2025,0,0
French Guiana,September,2025,0,0
French Guiana,October,2025,0,0
French Guiana,November,2025,0,0
French Guiana,December,2025,0,0
French Guiana,January,2026,0,0
French Guiana,February,2026,0,0
French Guiana,March,2026,0,0
French Guiana,April,2026,0,0
