Country,Month,Year,Events,Fatalities
French Polynesia,January,2021,0,0
French Polynesia,February,2021,0,0
French Polynesia,March,2021,0,0
French Polynesia,April,2021,0,0
French Polynesia,May,2021,0,0
French Polynesia,June,2021,0,0
French Polynesia,July,2021,0,0
French Polynesia,August,2021,0,0
French Polynesia,September,2021,0,0
French Polynesia,October,2021,0,0
French Polynesia,November,2021,0,0
French Polynesia,December,2021,0,0
French Polynesia,January,2022,0,0
French Polynesia,February,2022,0,0
French Polynesia,March,2022,0,0
French Polynesia,April,2022,0,0
French Polynesia,May,2022,0,0
French Polynesia,June,2022,0,0
French Polynesia,July,2022,0,0
French Polynesia,August,2022,0,0
French Polynesia,September,2022,0,0
French Polynesia,October,2022,0,0
French Polynesia,November,2022,0,0
French Polynesia,December,2022,0,0
French Polynesia,January,2023,0,0
French Polynesia,February,2023,0,0
French Polynesia,March,2023,0,0
French Polynesia,April,2023,0,0
French Polynesia,May,2023,0,0
French Polynesia,June,2023,0,0
French Polynesia,July,2023,0,0
French Polynesia,August,2023,0,0
French Polynesia,September,2023,0,0
French Polynesia,October,2023,0,0
French Polynesia,November,2023,0,0
French Polynesia,December,2023,0,0
French Polynesia,January,2024,0,0
French Polynesia,February,2024,0,0
French Polynesia,March,2024,0,0
French Polynesia,April,2024,0,0
French Polynesia,May,2024,0,0
French Polynesia,June,2024,0,0
French Polynesia,July,2024,0,0
French Polynesia,August,2024,0,0
French Polynesia,September,2024,1,0
French Polynesia,October,2024,0,0
French Polynesia,November,2024,0,0
French Polynesia,December,2024,0,0
French Polynesia,January,2025,0,0
French Polynesia,February,2025,0,0
French Polynesia,March,2025,0,0
French Polynesia,April,2025,0,0
French Polynesia,May,2025,0,0
French Polynesia,June,2025,0,0
French Polynesia,July,2025,0,0
French Polynesia,August,2025,0,0
French Polynesia,September,2025,0,0
French Polynesia,October,2025,0,0
French Polynesia,November,2025,0,0
French Polynesia,December,2025,0,0
French Polynesia,January,2026,0,0
French Polynesia,February,2026,0,0
French Polynesia,March,2026,0,0
French Polynesia,April,2026,0,0
