Country,Month,Year,Events,Fatalities
Gambia,January,1997,0,0
Gambia,February,1997,0,0
Gambia,March,1997,0,0
Gambia,April,1997,0,0
Gambia,May,1997,0,0
Gambia,June,1997,1,0
Gambia,July,1997,0,0
Gambia,August,1997,0,0
Gambia,September,1997,0,0
Gambia,October,1997,0,0
Gambia,November,1997,0,0
Gambia,December,1997,0,0
Gambia,January,1998,0,0
Gambia,February,1998,0,0
Gambia,March,1998,0,0
Gambia,April,1998,0,0
Gambia,May,1998,0,0
Gambia,June,1998,0,0
Gambia,July,1998,0,0
Gambia,August,1998,0,0
Gambia,September,1998,0,0
Gambia,October,1998,0,0
Gambia,November,1998,0,0
Gambia,December,1998,0,0
Gambia,January,1999,0,0
Gambia,February,1999,0,0
Gambia,March,1999,0,0
Gambia,April,1999,0,0
Gambia,May,1999,0,0
Gambia,June,1999,0,0
Gambia,July,1999,0,0
Gambia,August,1999,0,0
Gambia,September,1999,0,0
Gambia,October,1999,0,0
Gambia,November,1999,0,0
Gambia,December,1999,0,0
Gambia,January,2000,0,0
Gambia,February,2000,0,0
Gambia,March,2000,1,1
Gambia,April,2000,1,0
Gambia,May,2000,0,0
Gambia,June,2000,0,0
Gambia,July,2000,0,0
Gambia,August,2000,1,0
Gambia,September,2000,0,0
Gambia,October,2000,0,0
Gambia,November,2000,1,0
Gambia,December,2000,0,0
Gambia,January,2001,0,0
Gambia,February,2001,1,1
Gambia,March,2001,0,0
Gambia,April,2001,0,0
Gambia,May,2001,0,0
Gambia,June,2001,0,0
Gambia,July,2001,1,0
Gambia,August,2001,0,0
Gambia,September,2001,1,0
Gambia,October,2001,6,3
Gambia,November,2001,0,0
Gambia,December,2001,0,0
Gambia,January,2002,2,1
Gambia,February,2002,3,0
Gambia,March,2002,0,0
Gambia,April,2002,0,0
Gambia,May,2002,0,0
Gambia,June,2002,0,0
Gambia,July,2002,1,0
Gambia,August,2002,2,0
Gambia,September,2002,0,0
Gambia,October,2002,0,0
Gambia,November,2002,1,0
Gambia,December,2002,0,0
Gambia,January,2003,0,0
Gambia,February,2003,0,0
Gambia,March,2003,0,0
Gambia,April,2003,0,0
Gambia,May,2003,0,0
Gambia,June,2003,6,0
Gambia,July,2003,0,0
Gambia,August,2003,0,0
Gambia,September,2003,0,0
Gambia,October,2003,2,0
Gambia,November,2003,0,0
Gambia,December,2003,0,0
Gambia,January,2004,0,0
Gambia,February,2004,0,0
Gambia,March,2004,0,0
Gambia,April,2004,1,0
Gambia,May,2004,0,0
Gambia,June,2004,0,0
Gambia,July,2004,0,0
Gambia,August,2004,1,0
Gambia,September,2004,0,0
Gambia,October,2004,0,0
Gambia,November,2004,0,0
Gambia,December,2004,1,1
Gambia,January,2005,0,0
Gambia,February,2005,0,0
Gambia,March,2005,0,0
Gambia,April,2005,0,0
Gambia,May,2005,0,0
Gambia,June,2005,0,0
Gambia,July,2005,2,57
Gambia,August,2005,0,0
Gambia,September,2005,0,0
Gambia,October,2005,0,0
Gambia,November,2005,0,0
Gambia,December,2005,1,0
Gambia,January,2006,0,0
Gambia,February,2006,0,0
Gambia,March,2006,0,0
Gambia,April,2006,0,0
Gambia,May,2006,0,0
Gambia,June,2006,1,0
Gambia,July,2006,1,0
Gambia,August,2006,0,0
Gambia,September,2006,0,0
Gambia,October,2006,0,0
Gambia,November,2006,0,0
Gambia,December,2006,1,0
Gambia,January,2007,0,0
Gambia,February,2007,0,0
Gambia,March,2007,0,0
Gambia,April,2007,0,0
Gambia,May,2007,0,0
Gambia,June,2007,0,0
Gambia,July,2007,0,0
Gambia,August,2007,0,0
Gambia,September,2007,0,0
Gambia,October,2007,1,15
Gambia,November,2007,0,0
Gambia,December,2007,0,0
Gambia,January,2008,0,0
Gambia,February,2008,0,0
Gambia,March,2008,1,0
Gambia,April,2008,0,0
Gambia,May,2008,0,0
Gambia,June,2008,0,0
Gambia,July,2008,1,0
Gambia,August,2008,0,0
Gambia,September,2008,0,0
Gambia,October,2008,0,0
Gambia,November,2008,0,0
Gambia,December,2008,0,0
Gambia,January,2009,1,18
Gambia,February,2009,1,0
Gambia,March,2009,1,0
Gambia,April,2009,0,0
Gambia,May,2009,0,0
Gambia,June,2009,0,0
Gambia,July,2009,0,0
Gambia,August,2009,0,0
Gambia,September,2009,0,0
Gambia,October,2009,0,0
Gambia,November,2009,0,0
Gambia,December,2009,0,0
Gambia,January,2010,0,0
Gambia,February,2010,0,0
Gambia,March,2010,0,0
Gambia,April,2010,0,0
Gambia,May,2010,0,0
Gambia,June,2010,1,0
Gambia,July,2010,0,0
Gambia,August,2010,0,0
Gambia,September,2010,0,0
Gambia,October,2010,0,0
Gambia,November,2010,0,0
Gambia,December,2010,0,0
Gambia,January,2011,0,0
Gambia,February,2011,0,0
Gambia,March,2011,0,0
Gambia,April,2011,0,0
Gambia,May,2011,0,0
Gambia,June,2011,1,0
Gambia,July,2011,0,0
Gambia,August,2011,0,0
Gambia,September,2011,0,0
Gambia,October,2011,0,0
Gambia,November,2011,0,0
Gambia,December,2011,0,0
Gambia,January,2012,0,0
Gambia,February,2012,0,0
Gambia,March,2012,0,0
Gambia,April,2012,0,0
Gambia,May,2012,2,0
Gambia,June,2012,1,4
Gambia,July,2012,0,0
Gambia,August,2012,0,0
Gambia,September,2012,0,0
Gambia,October,2012,0,0
Gambia,November,2012,0,0
Gambia,December,2012,2,4
Gambia,January,2013,0,0
Gambia,February,2013,0,0
Gambia,March,2013,0,0
Gambia,April,2013,0,0
Gambia,May,2013,0,0
Gambia,June,2013,0,0
Gambia,July,2013,0,0
Gambia,August,2013,0,0
Gambia,September,2013,0,0
Gambia,October,2013,0,0
Gambia,November,2013,0,0
Gambia,December,2013,0,0
Gambia,January,2014,0,0
Gambia,February,2014,0,0
Gambia,March,2014,1,0
Gambia,April,2014,0,0
Gambia,May,2014,0,0
Gambia,June,2014,0,0
Gambia,July,2014,0,0
Gambia,August,2014,0,0
Gambia,September,2014,0,0
Gambia,October,2014,0,0
Gambia,November,2014,2,0
Gambia,December,2014,1,3
Gambia,January,2015,3,0
Gambia,February,2015,0,0
Gambia,March,2015,0,0
Gambia,April,2015,0,0
Gambia,May,2015,0,0
Gambia,June,2015,0,0
Gambia,July,2015,2,0
Gambia,August,2015,0,0
Gambia,September,2015,0,0
Gambia,October,2015,0,0
Gambia,November,2015,0,0
Gambia,December,2015,0,0
Gambia,January,2016,0,0
Gambia,February,2016,0,0
Gambia,March,2016,0,0
Gambia,April,2016,2,4
Gambia,May,2016,1,0
Gambia,June,2016,1,0
Gambia,July,2016,0,0
Gambia,August,2016,0,0
Gambia,September,2016,0,0
Gambia,October,2016,0,0
Gambia,November,2016,0,0
Gambia,December,2016,0,0
Gambia,January,2017,0,0
Gambia,February,2017,0,0
Gambia,March,2017,2,3
Gambia,April,2017,1,0
Gambia,May,2017,0,0
Gambia,June,2017,0,0
Gambia,July,2017,1,1
Gambia,August,2017,0,0
Gambia,September,2017,0,0
Gambia,October,2017,0,0
Gambia,November,2017,0,0
Gambia,December,2017,0,0
Gambia,January,2018,1,0
Gambia,February,2018,0,0
Gambia,March,2018,0,0
Gambia,April,2018,0,0
Gambia,May,2018,0,0
Gambia,June,2018,0,0
Gambia,July,2018,0,0
Gambia,August,2018,0,0
Gambia,September,2018,0,0
Gambia,October,2018,0,0
Gambia,November,2018,0,0
Gambia,December,2018,0,0
Gambia,January,2019,0,0
Gambia,February,2019,0,0
Gambia,March,2019,0,0
Gambia,April,2019,0,0
Gambia,May,2019,0,0
Gambia,June,2019,0,0
Gambia,July,2019,2,1
Gambia,August,2019,0,0
Gambia,September,2019,0,0
Gambia,October,2019,0,0
Gambia,November,2019,0,0
Gambia,December,2019,1,0
Gambia,January,2020,1,0
Gambia,February,2020,0,0
Gambia,March,2020,1,0
Gambia,April,2020,2,0
Gambia,May,2020,1,0
Gambia,June,2020,2,0
Gambia,July,2020,1,0
Gambia,August,2020,1,0
Gambia,September,2020,0,0
Gambia,October,2020,0,0
Gambia,November,2020,0,0
Gambia,December,2020,0,0
Gambia,January,2021,0,0
Gambia,February,2021,1,0
Gambia,March,2021,1,0
Gambia,April,2021,0,0
Gambia,May,2021,0,0
Gambia,June,2021,0,0
Gambia,July,2021,1,0
Gambia,August,2021,2,1
Gambia,September,2021,1,0
Gambia,October,2021,0,0
Gambia,November,2021,0,0
Gambia,December,2021,1,0
Gambia,January,2022,0,0
Gambia,February,2022,0,0
Gambia,March,2022,0,0
Gambia,April,2022,0,0
Gambia,May,2022,1,0
Gambia,June,2022,0,0
Gambia,July,2022,0,0
Gambia,August,2022,1,1
Gambia,September,2022,0,0
Gambia,October,2022,1,0
Gambia,November,2022,0,0
Gambia,December,2022,0,0
Gambia,January,2023,0,0
Gambia,February,2023,0,0
Gambia,March,2023,1,0
Gambia,April,2023,1,0
Gambia,May,2023,1,2
Gambia,June,2023,0,0
Gambia,July,2023,0,0
Gambia,August,2023,0,0
Gambia,September,2023,0,0
Gambia,October,2023,0,0
Gambia,November,2023,0,0
Gambia,December,2023,0,0
Gambia,January,2024,0,0
Gambia,February,2024,1,1
Gambia,March,2024,1,0
Gambia,April,2024,0,0
Gambia,May,2024,0,0
Gambia,June,2024,1,0
Gambia,July,2024,1,0
Gambia,August,2024,0,0
Gambia,September,2024,0,0
Gambia,October,2024,0,0
Gambia,November,2024,0,0
Gambia,December,2024,0,0
Gambia,January,2025,0,0
Gambia,February,2025,0,0
Gambia,March,2025,0,0
Gambia,April,2025,0,0
Gambia,May,2025,0,0
Gambia,June,2025,0,0
Gambia,July,2025,1,0
Gambia,August,2025,2,0
Gambia,September,2025,0,0
Gambia,October,2025,0,0
Gambia,November,2025,0,0
Gambia,December,2025,0,0
Gambia,January,2026,1,0
Gambia,February,2026,0,0
Gambia,March,2026,0,0
Gambia,April,2026,0,0
