Country,Month,Year,Events,Fatalities
Georgia,January,2018,1,0
Georgia,February,2018,2,1
Georgia,March,2018,3,0
Georgia,April,2018,2,0
Georgia,May,2018,2,0
Georgia,June,2018,2,0
Georgia,July,2018,1,0
Georgia,August,2018,1,0
Georgia,September,2018,4,2
Georgia,October,2018,4,0
Georgia,November,2018,9,0
Georgia,December,2018,2,0
Georgia,January,2019,0,0
Georgia,February,2019,0,0
Georgia,March,2019,1,1
Georgia,April,2019,1,0
Georgia,May,2019,5,0
Georgia,June,2019,1,0
Georgia,July,2019,1,1
Georgia,August,2019,1,0
Georgia,September,2019,0,0
Georgia,October,2019,2,0
Georgia,November,2019,2,0
Georgia,December,2019,2,0
Georgia,January,2020,1,0
Georgia,February,2020,1,0
Georgia,March,2020,0,0
Georgia,April,2020,1,0
Georgia,May,2020,1,0
Georgia,June,2020,1,0
Georgia,July,2020,3,0
Georgia,August,2020,4,0
Georgia,September,2020,4,0
Georgia,October,2020,9,0
Georgia,November,2020,2,0
Georgia,December,2020,0,0
Georgia,January,2021,1,0
Georgia,February,2021,2,0
Georgia,March,2021,1,0
Georgia,April,2021,1,0
Georgia,May,2021,1,0
Georgia,June,2021,0,0
Georgia,July,2021,1,0
Georgia,August,2021,0,0
Georgia,September,2021,4,0
Georgia,October,2021,2,0
Georgia,November,2021,0,0
Georgia,December,2021,2,0
Georgia,January,2022,0,0
Georgia,February,2022,0,0
Georgia,March,2022,3,0
Georgia,April,2022,0,0
Georgia,May,2022,1,0
Georgia,June,2022,6,0
Georgia,July,2022,0,0
Georgia,August,2022,1,0
Georgia,September,2022,0,0
Georgia,October,2022,1,0
Georgia,November,2022,0,0
Georgia,December,2022,0,0
Georgia,January,2023,0,0
Georgia,February,2023,0,0
Georgia,March,2023,0,0
Georgia,April,2023,0,0
Georgia,May,2023,0,0
Georgia,June,2023,1,0
Georgia,July,2023,2,0
Georgia,August,2023,0,0
Georgia,September,2023,2,0
Georgia,October,2023,0,0
Georgia,November,2023,3,1
Georgia,December,2023,1,1
Georgia,January,2024,1,0
Georgia,February,2024,0,0
Georgia,March,2024,1,0
Georgia,April,2024,0,0
Georgia,May,2024,7,0
Georgia,June,2024,6,0
Georgia,July,2024,0,0
Georgia,August,2024,1,0
Georgia,September,2024,1,0
Georgia,October,2024,1,0
Georgia,November,2024,0,0
Georgia,December,2024,7,1
Georgia,January,2025,3,0
Georgia,February,2025,1,0
Georgia,March,2025,3,0
Georgia,April,2025,1,0
Georgia,May,2025,4,0
Georgia,June,2025,1,0
Georgia,July,2025,3,0
Georgia,August,2025,0,0
Georgia,September,2025,0,0
Georgia,October,2025,2,0
Georgia,November,2025,3,0
Georgia,December,2025,0,0
Georgia,January,2026,0,0
Georgia,February,2026,1,0
Georgia,March,2026,0,0
Georgia,April,2026,0,0
