Country,Month,Year,Events,Fatalities
Ghana,January,1997,0,0
Ghana,February,1997,0,0
Ghana,March,1997,1,2
Ghana,April,1997,0,0
Ghana,May,1997,0,0
Ghana,June,1997,0,0
Ghana,July,1997,0,0
Ghana,August,1997,0,0
Ghana,September,1997,0,0
Ghana,October,1997,0,0
Ghana,November,1997,0,0
Ghana,December,1997,0,0
Ghana,January,1998,0,0
Ghana,February,1998,0,0
Ghana,March,1998,0,0
Ghana,April,1998,0,0
Ghana,May,1998,0,0
Ghana,June,1998,0,0
Ghana,July,1998,0,0
Ghana,August,1998,0,0
Ghana,September,1998,0,0
Ghana,October,1998,0,0
Ghana,November,1998,0,0
Ghana,December,1998,0,0
Ghana,January,1999,0,0
Ghana,February,1999,0,0
Ghana,March,1999,0,0
Ghana,April,1999,0,0
Ghana,May,1999,0,0
Ghana,June,1999,0,0
Ghana,July,1999,0,0
Ghana,August,1999,0,0
Ghana,September,1999,0,0
Ghana,October,1999,0,0
Ghana,November,1999,0,0
Ghana,December,1999,0,0
Ghana,January,2000,0,0
Ghana,February,2000,0,0
Ghana,March,2000,0,0
Ghana,April,2000,0,0
Ghana,May,2000,0,0
Ghana,June,2000,0,0
Ghana,July,2000,0,0
Ghana,August,2000,0,0
Ghana,September,2000,0,0
Ghana,October,2000,0,0
Ghana,November,2000,1,1
Ghana,December,2000,2,1
Ghana,January,2001,0,0
Ghana,February,2001,0,0
Ghana,March,2001,0,0
Ghana,April,2001,1,0
Ghana,May,2001,2,126
Ghana,June,2001,0,0
Ghana,July,2001,0,0
Ghana,August,2001,0,0
Ghana,September,2001,0,0
Ghana,October,2001,2,0
Ghana,November,2001,0,0
Ghana,December,2001,0,0
Ghana,January,2002,1,0
Ghana,February,2002,0,0
Ghana,March,2002,0,0
Ghana,April,2002,0,0
Ghana,May,2002,0,0
Ghana,June,2002,0,0
Ghana,July,2002,0,0
Ghana,August,2002,0,0
Ghana,September,2002,0,0
Ghana,October,2002,0,0
Ghana,November,2002,0,0
Ghana,December,2002,0,0
Ghana,January,2003,3,1
Ghana,February,2003,2,2
Ghana,March,2003,0,0
Ghana,April,2003,1,0
Ghana,May,2003,0,0
Ghana,June,2003,0,0
Ghana,July,2003,0,0
Ghana,August,2003,0,0
Ghana,September,2003,1,0
Ghana,October,2003,0,0
Ghana,November,2003,1,0
Ghana,December,2003,0,0
Ghana,January,2004,0,0
Ghana,February,2004,0,0
Ghana,March,2004,0,0
Ghana,April,2004,0,0
Ghana,May,2004,0,0
Ghana,June,2004,0,0
Ghana,July,2004,1,0
Ghana,August,2004,0,0
Ghana,September,2004,0,0
Ghana,October,2004,1,1
Ghana,November,2004,2,1
Ghana,December,2004,1,0
Ghana,January,2005,0,0
Ghana,February,2005,1,2
Ghana,March,2005,1,0
Ghana,April,2005,0,0
Ghana,May,2005,0,0
Ghana,June,2005,0,0
Ghana,July,2005,0,0
Ghana,August,2005,0,0
Ghana,September,2005,0,0
Ghana,October,2005,0,0
Ghana,November,2005,0,0
Ghana,December,2005,0,0
Ghana,January,2006,0,0
Ghana,February,2006,0,0
Ghana,March,2006,0,0
Ghana,April,2006,0,0
Ghana,May,2006,0,0
Ghana,June,2006,0,0
Ghana,July,2006,0,0
Ghana,August,2006,0,0
Ghana,September,2006,0,0
Ghana,October,2006,0,0
Ghana,November,2006,2,0
Ghana,December,2006,0,0
Ghana,January,2007,0,0
Ghana,February,2007,0,0
Ghana,March,2007,0,0
Ghana,April,2007,0,0
Ghana,May,2007,0,0
Ghana,June,2007,0,0
Ghana,July,2007,0,0
Ghana,August,2007,0,0
Ghana,September,2007,0,0
Ghana,October,2007,1,5
Ghana,November,2007,0,0
Ghana,December,2007,0,0
Ghana,January,2008,1,1
Ghana,February,2008,0,0
Ghana,March,2008,1,2
Ghana,April,2008,0,0
Ghana,May,2008,0,0
Ghana,June,2008,1,5
Ghana,July,2008,1,0
Ghana,August,2008,0,0
Ghana,September,2008,0,0
Ghana,October,2008,0,0
Ghana,November,2008,0,0
Ghana,December,2008,1,0
Ghana,January,2009,0,0
Ghana,February,2009,0,0
Ghana,March,2009,1,5
Ghana,April,2009,0,0
Ghana,May,2009,0,0
Ghana,June,2009,1,0
Ghana,July,2009,1,0
Ghana,August,2009,1,0
Ghana,September,2009,4,0
Ghana,October,2009,1,0
Ghana,November,2009,1,3
Ghana,December,2009,2,0
Ghana,January,2010,1,0
Ghana,February,2010,0,0
Ghana,March,2010,0,0
Ghana,April,2010,2,2
Ghana,May,2010,0,0
Ghana,June,2010,0,0
Ghana,July,2010,0,0
Ghana,August,2010,0,0
Ghana,September,2010,0,0
Ghana,October,2010,0,0
Ghana,November,2010,1,1
Ghana,December,2010,0,0
Ghana,January,2011,0,0
Ghana,February,2011,1,1
Ghana,March,2011,0,0
Ghana,April,2011,0,0
Ghana,May,2011,0,0
Ghana,June,2011,0,0
Ghana,July,2011,1,0
Ghana,August,2011,0,0
Ghana,September,2011,0,0
Ghana,October,2011,0,0
Ghana,November,2011,0,0
Ghana,December,2011,0,0
Ghana,January,2012,1,0
Ghana,February,2012,0,0
Ghana,March,2012,1,0
Ghana,April,2012,1,0
Ghana,May,2012,0,0
Ghana,June,2012,4,3
Ghana,July,2012,2,1
Ghana,August,2012,1,1
Ghana,September,2012,0,0
Ghana,October,2012,0,0
Ghana,November,2012,2,0
Ghana,December,2012,3,1
Ghana,January,2013,1,1
Ghana,February,2013,0,0
Ghana,March,2013,3,0
Ghana,April,2013,1,3
Ghana,May,2013,4,6
Ghana,June,2013,4,3
Ghana,July,2013,0,0
Ghana,August,2013,0,0
Ghana,September,2013,0,0
Ghana,October,2013,2,1
Ghana,November,2013,4,1
Ghana,December,2013,1,0
Ghana,January,2014,1,0
Ghana,February,2014,3,0
Ghana,March,2014,3,4
Ghana,April,2014,0,0
Ghana,May,2014,1,0
Ghana,June,2014,0,0
Ghana,July,2014,1,0
Ghana,August,2014,0,0
Ghana,September,2014,2,0
Ghana,October,2014,0,0
Ghana,November,2014,0,0
Ghana,December,2014,2,1
Ghana,January,2015,1,1
Ghana,February,2015,1,1
Ghana,March,2015,1,0
Ghana,April,2015,0,0
Ghana,May,2015,2,0
Ghana,June,2015,1,0
Ghana,July,2015,2,1
Ghana,August,2015,4,1
Ghana,September,2015,0,0
Ghana,October,2015,2,3
Ghana,November,2015,5,3
Ghana,December,2015,3,0
Ghana,January,2016,1,1
Ghana,February,2016,2,2
Ghana,March,2016,0,0
Ghana,April,2016,0,0
Ghana,May,2016,3,1
Ghana,June,2016,1,0
Ghana,July,2016,3,0
Ghana,August,2016,2,1
Ghana,September,2016,1,3
Ghana,October,2016,0,0
Ghana,November,2016,3,1
Ghana,December,2016,4,0
Ghana,January,2017,0,0
