Country,Month,Year,Events,Fatalities
Gibraltar,January,2020,0,0
Gibraltar,February,2020,0,0
Gibraltar,March,2020,0,0
Gibraltar,April,2020,0,0
Gibraltar,May,2020,0,0
Gibraltar,June,2020,0,0
Gibraltar,July,2020,0,0
Gibraltar,August,2020,0,0
Gibraltar,September,2020,0,0
Gibraltar,October,2020,0,0
Gibraltar,November,2020,0,0
Gibraltar,December,2020,0,0
Gibraltar,January,2021,0,0
Gibraltar,February,2021,0,0
Gibraltar,March,2021,0,0
Gibraltar,April,2021,0,0
Gibraltar,May,2021,0,0
Gibraltar,June,2021,0,0
Gibraltar,July,2021,0,0
Gibraltar,August,2021,0,0
Gibraltar,September,2021,0,0
Gibraltar,October,2021,0,0
Gibraltar,November,2021,0,0
Gibraltar,December,2021,0,0
Gibraltar,January,2022,0,0
Gibraltar,February,2022,0,0
Gibraltar,March,2022,0,0
Gibraltar,April,2022,0,0
Gibraltar,May,2022,0,0
Gibraltar,June,2022,0,0
Gibraltar,July,2022,0,0
Gibraltar,August,2022,0,0
Gibraltar,September,2022,0,0
Gibraltar,October,2022,0,0
Gibraltar,November,2022,0,0
Gibraltar,December,2022,0,0
Gibraltar,January,2023,0,0
Gibraltar,February,2023,0,0
Gibraltar,March,2023,0,0
Gibraltar,April,2023,0,0
Gibraltar,May,2023,0,0
Gibraltar,June,2023,0,0
Gibraltar,July,2023,0,0
Gibraltar,August,2023,0,0
Gibraltar,September,2023,0,0
Gibraltar,October,2023,0,0
Gibraltar,November,2023,0,0
Gibraltar,December,2023,0,0
Gibraltar,January,2024,0,0
Gibraltar,February,2024,0,0
Gibraltar,March,2024,0,0
Gibraltar,April,2024,0,0
Gibraltar,May,2024,0,0
Gibraltar,June,2024,0,0
Gibraltar,July,2024,0,0
Gibraltar,August,2024,0,0
Gibraltar,September,2024,0,0
Gibraltar,October,2024,0,0
Gibraltar,November,2024,0,0
Gibraltar,December,2024,0,0
Gibraltar,January,2025,0,0
Gibraltar,February,2025,0,0
Gibraltar,March,2025,0,0
Gibraltar,April,2025,0,0
Gibraltar,May,2025,0,0
Gibraltar,June,2025,0,0
Gibraltar,July,2025,0,0
Gibraltar,August,2025,0,0
Gibraltar,September,2025,0,0
Gibraltar,October,2025,0,0
Gibraltar,November,2025,0,0
Gibraltar,December,2025,0,0
Gibraltar,January,2026,0,0
Gibraltar,February,2026,0,0
Gibraltar,March,2026,0,0
Gibraltar,April,2026,0,0
