Country,Month,Year,Events,Fatalities
Greece,January,2018,1,0
Greece,February,2018,2,2
Greece,March,2018,0,0
Greece,April,2018,1,0
Greece,May,2018,4,0
Greece,June,2018,2,0
Greece,July,2018,2,0
Greece,August,2018,2,0
Greece,September,2018,4,2
Greece,October,2018,1,3
Greece,November,2018,4,1
Greece,December,2018,5,0
Greece,January,2019,4,0
Greece,February,2019,6,1
Greece,March,2019,7,1
Greece,April,2019,6,0
Greece,May,2019,8,0
Greece,June,2019,8,0
Greece,July,2019,4,0
Greece,August,2019,6,1
Greece,September,2019,3,0
Greece,October,2019,4,0
Greece,November,2019,6,0
Greece,December,2019,2,1
Greece,January,2020,2,1
Greece,February,2020,6,0
Greece,March,2020,11,2
Greece,April,2020,3,0
Greece,May,2020,3,0
Greece,June,2020,1,0
Greece,July,2020,1,0
Greece,August,2020,1,0
Greece,September,2020,1,0
Greece,October,2020,2,0
Greece,November,2020,0,0
Greece,December,2020,2,0
Greece,January,2021,2,0
Greece,February,2021,1,0
Greece,March,2021,3,3
Greece,April,2021,4,1
Greece,May,2021,2,0
Greece,June,2021,4,0
Greece,July,2021,2,0
Greece,August,2021,2,0
Greece,September,2021,7,2
Greece,October,2021,9,0
Greece,November,2021,2,0
Greece,December,2021,4,0
Greece,January,2022,7,0
Greece,February,2022,1,0
Greece,March,2022,0,0
Greece,April,2022,3,0
Greece,May,2022,5,0
Greece,June,2022,4,0
Greece,July,2022,3,0
Greece,August,2022,2,0
Greece,September,2022,4,8
Greece,October,2022,6,0
Greece,November,2022,6,0
Greece,December,2022,6,1
Greece,January,2023,3,0
Greece,February,2023,1,0
Greece,March,2023,5,0
Greece,April,2023,5,0
Greece,May,2023,5,0
Greece,June,2023,9,0
Greece,July,2023,6,2
Greece,August,2023,7,1
Greece,September,2023,4,1
Greece,October,2023,5,0
Greece,November,2023,9,2
Greece,December,2023,1,0
Greece,January,2024,2,0
Greece,February,2024,5,0
Greece,March,2024,4,0
Greece,April,2024,9,0
Greece,May,2024,3,0
Greece,June,2024,2,0
Greece,July,2024,7,1
Greece,August,2024,0,0
Greece,September,2024,3,1
Greece,October,2024,3,0
Greece,November,2024,1,0
Greece,December,2024,7,0
Greece,January,2025,1,0
Greece,February,2025,5,2
Greece,March,2025,2,0
Greece,April,2025,6,0
Greece,May,2025,10,0
Greece,June,2025,2,0
Greece,July,2025,7,1
Greece,August,2025,3,0
Greece,September,2025,5,0
Greece,October,2025,8,1
Greece,November,2025,5,1
Greece,December,2025,4,0
Greece,January,2026,2,0
Greece,February,2026,1,0
Greece,March,2026,2,0
Greece,April,2026,2,0
