Country,Month,Year,Events,Fatalities
Grenada,January,2018,0,0
Grenada,February,2018,0,0
Grenada,March,2018,0,0
Grenada,April,2018,0,0
Grenada,May,2018,0,0
Grenada,June,2018,0,0
Grenada,July,2018,0,0
Grenada,August,2018,0,0
Grenada,September,2018,0,0
Grenada,October,2018,0,0
Grenada,November,2018,0,0
Grenada,December,2018,0,0
Grenada,January,2019,0,0
Grenada,February,2019,0,0
Grenada,March,2019,0,0
Grenada,April,2019,0,0
Grenada,May,2019,0,0
Grenada,June,2019,0,0
Grenada,July,2019,0,0
Grenada,August,2019,0,0
Grenada,September,2019,0,0
Grenada,October,2019,0,0
Grenada,November,2019,0,0
Grenada,December,2019,0,0
Grenada,January,2020,0,0
Grenada,February,2020,0,0
Grenada,March,2020,0,0
Grenada,April,2020,0,0
Grenada,May,2020,0,0
Grenada,June,2020,0,0
Grenada,July,2020,0,0
Grenada,August,2020,0,0
Grenada,September,2020,0,0
Grenada,October,2020,0,0
Grenada,November,2020,0,0
Grenada,December,2020,0,0
Grenada,January,2021,0,0
Grenada,February,2021,0,0
Grenada,March,2021,0,0
Grenada,April,2021,0,0
Grenada,May,2021,0,0
Grenada,June,2021,0,0
Grenada,July,2021,0,0
Grenada,August,2021,0,0
Grenada,September,2021,0,0
Grenada,October,2021,0,0
Grenada,November,2021,0,0
Grenada,December,2021,0,0
Grenada,January,2022,0,0
Grenada,February,2022,0,0
Grenada,March,2022,0,0
Grenada,April,2022,0,0
Grenada,May,2022,0,0
Grenada,June,2022,0,0
Grenada,July,2022,0,0
Grenada,August,2022,0,0
Grenada,September,2022,0,0
Grenada,October,2022,0,0
Grenada,November,2022,0,0
Grenada,December,2022,0,0
Grenada,January,2023,0,0
Grenada,February,2023,0,0
Grenada,March,2023,0,0
Grenada,April,2023,0,0
Grenada,May,2023,0,0
Grenada,June,2023,0,0
Grenada,July,2023,0,0
Grenada,August,2023,0,0
Grenada,September,2023,0,0
Grenada,October,2023,0,0
Grenada,November,2023,0,0
Grenada,December,2023,0,0
Grenada,January,2024,0,0
Grenada,February,2024,0,0
Grenada,March,2024,0,0
Grenada,April,2024,0,0
Grenada,May,2024,0,0
Grenada,June,2024,0,0
Grenada,July,2024,0,0
Grenada,August,2024,0,0
Grenada,September,2024,0,0
Grenada,October,2024,0,0
Grenada,November,2024,0,0
Grenada,December,2024,0,0
Grenada,January,2025,0,0
Grenada,February,2025,0,0
Grenada,March,2025,0,0
Grenada,April,2025,0,0
Grenada,May,2025,0,0
Grenada,June,2025,0,0
Grenada,July,2025,0,0
Grenada,August,2025,0,0
Grenada,September,2025,0,0
Grenada,October,2025,0,0
Grenada,November,2025,0,0
Grenada,December,2025,0,0
Grenada,January,2026,0,0
Grenada,February,2026,0,0
Grenada,March,2026,0,0
Grenada,April,2026,0,0
