Country,Month,Year,Events,Fatalities
Guinea-Bissau,January,1997,0,0
Guinea-Bissau,February,1997,0,0
Guinea-Bissau,March,1997,0,0
Guinea-Bissau,April,1997,0,0
Guinea-Bissau,May,1997,0,0
Guinea-Bissau,June,1997,0,0
Guinea-Bissau,July,1997,0,0
Guinea-Bissau,August,1997,0,0
Guinea-Bissau,September,1997,0,0
Guinea-Bissau,October,1997,0,0
Guinea-Bissau,November,1997,0,0
Guinea-Bissau,December,1997,0,0
Guinea-Bissau,January,1998,0,0
Guinea-Bissau,February,1998,0,0
Guinea-Bissau,March,1998,0,0
Guinea-Bissau,April,1998,0,0
Guinea-Bissau,May,1998,0,0
Guinea-Bissau,June,1998,1,0
Guinea-Bissau,July,1998,0,0
Guinea-Bissau,August,1998,0,0
Guinea-Bissau,September,1998,0,0
Guinea-Bissau,October,1998,0,0
Guinea-Bissau,November,1998,0,0
Guinea-Bissau,December,1998,0,0
Guinea-Bissau,January,1999,0,0
Guinea-Bissau,February,1999,0,0
Guinea-Bissau,March,1999,0,0
Guinea-Bissau,April,1999,0,0
Guinea-Bissau,May,1999,1,0
Guinea-Bissau,June,1999,0,0
Guinea-Bissau,July,1999,0,0
Guinea-Bissau,August,1999,1,1
Guinea-Bissau,September,1999,0,0
Guinea-Bissau,October,1999,0,0
Guinea-Bissau,November,1999,0,0
Guinea-Bissau,December,1999,0,0
Guinea-Bissau,January,2000,0,0
Guinea-Bissau,February,2000,0,0
Guinea-Bissau,March,2000,0,0
Guinea-Bissau,April,2000,2,7
Guinea-Bissau,May,2000,0,0
Guinea-Bissau,June,2000,1,0
Guinea-Bissau,July,2000,0,0
Guinea-Bissau,August,2000,0,0
Guinea-Bissau,September,2000,0,0
Guinea-Bissau,October,2000,0,0
Guinea-Bissau,November,2000,0,0
Guinea-Bissau,December,2000,0,0
Guinea-Bissau,January,2001,0,0
Guinea-Bissau,February,2001,0,0
Guinea-Bissau,March,2001,0,0
Guinea-Bissau,April,2001,0,0
Guinea-Bissau,May,2001,0,0
Guinea-Bissau,June,2001,0,0
Guinea-Bissau,July,2001,0,0
Guinea-Bissau,August,2001,0,0
Guinea-Bissau,September,2001,0,0
Guinea-Bissau,October,2001,0,0
Guinea-Bissau,November,2001,0,0
Guinea-Bissau,December,2001,0,0
Guinea-Bissau,January,2002,0,0
Guinea-Bissau,February,2002,0,0
Guinea-Bissau,March,2002,0,0
Guinea-Bissau,April,2002,0,0
Guinea-Bissau,May,2002,0,0
Guinea-Bissau,June,2002,0,0
Guinea-Bissau,July,2002,1,0
Guinea-Bissau,August,2002,0,0
Guinea-Bissau,September,2002,0,0
Guinea-Bissau,October,2002,0,0
Guinea-Bissau,November,2002,0,0
Guinea-Bissau,December,2002,0,0
Guinea-Bissau,January,2003,0,0
Guinea-Bissau,February,2003,0,0
Guinea-Bissau,March,2003,1,1
Guinea-Bissau,April,2003,0,0
Guinea-Bissau,May,2003,0,0
Guinea-Bissau,June,2003,0,0
Guinea-Bissau,July,2003,0,0
Guinea-Bissau,August,2003,0,0
Guinea-Bissau,September,2003,0,0
Guinea-Bissau,October,2003,0,0
Guinea-Bissau,November,2003,0,0
Guinea-Bissau,December,2003,0,0
Guinea-Bissau,January,2004,0,0
Guinea-Bissau,February,2004,0,0
Guinea-Bissau,March,2004,0,0
Guinea-Bissau,April,2004,0,0
Guinea-Bissau,May,2004,0,0
Guinea-Bissau,June,2004,0,0
Guinea-Bissau,July,2004,0,0
Guinea-Bissau,August,2004,0,0
Guinea-Bissau,September,2004,0,0
Guinea-Bissau,October,2004,0,0
Guinea-Bissau,November,2004,0,0
Guinea-Bissau,December,2004,0,0
Guinea-Bissau,January,2005,0,0
Guinea-Bissau,February,2005,0,0
Guinea-Bissau,March,2005,0,0
Guinea-Bissau,April,2005,0,0
Guinea-Bissau,May,2005,0,0
Guinea-Bissau,June,2005,0,0
Guinea-Bissau,July,2005,0,0
Guinea-Bissau,August,2005,0,0
Guinea-Bissau,September,2005,0,0
Guinea-Bissau,October,2005,0,0
Guinea-Bissau,November,2005,0,0
Guinea-Bissau,December,2005,0,0
Guinea-Bissau,January,2006,0,0
Guinea-Bissau,February,2006,0,0
Guinea-Bissau,March,2006,2,11
Guinea-Bissau,April,2006,0,0
Guinea-Bissau,May,2006,0,0
Guinea-Bissau,June,2006,0,0
Guinea-Bissau,July,2006,0,0
Guinea-Bissau,August,2006,0,0
Guinea-Bissau,September,2006,0,0
Guinea-Bissau,October,2006,0,0
Guinea-Bissau,November,2006,0,0
Guinea-Bissau,December,2006,0,0
Guinea-Bissau,January,2007,0,0
Guinea-Bissau,February,2007,0,0
Guinea-Bissau,March,2007,0,0
Guinea-Bissau,April,2007,0,0
Guinea-Bissau,May,2007,0,0
Guinea-Bissau,June,2007,0,0
Guinea-Bissau,July,2007,0,0
Guinea-Bissau,August,2007,0,0
Guinea-Bissau,September,2007,0,0
Guinea-Bissau,October,2007,0,0
Guinea-Bissau,November,2007,0,0
Guinea-Bissau,December,2007,0,0
Guinea-Bissau,January,2008,0,0
Guinea-Bissau,February,2008,0,0
Guinea-Bissau,March,2008,0,0
Guinea-Bissau,April,2008,0,0
Guinea-Bissau,May,2008,0,0
Guinea-Bissau,June,2008,0,0
Guinea-Bissau,July,2008,0,0
Guinea-Bissau,August,2008,0,0
Guinea-Bissau,September,2008,0,0
Guinea-Bissau,October,2008,0,0
Guinea-Bissau,November,2008,0,0
Guinea-Bissau,December,2008,0,0
Guinea-Bissau,January,2009,1,0
Guinea-Bissau,February,2009,0,0
Guinea-Bissau,March,2009,2,1
Guinea-Bissau,April,2009,1,0
Guinea-Bissau,May,2009,1,0
Guinea-Bissau,June,2009,2,4
Guinea-Bissau,July,2009,0,0
Guinea-Bissau,August,2009,0,0
Guinea-Bissau,September,2009,0,0
Guinea-Bissau,October,2009,0,0
Guinea-Bissau,November,2009,0,0
Guinea-Bissau,December,2009,0,0
Guinea-Bissau,January,2010,0,0
Guinea-Bissau,February,2010,0,0
Guinea-Bissau,March,2010,0,0
Guinea-Bissau,April,2010,1,0
Guinea-Bissau,May,2010,1,0
Guinea-Bissau,June,2010,0,0
Guinea-Bissau,July,2010,0,0
Guinea-Bissau,August,2010,0,0
Guinea-Bissau,September,2010,0,0
Guinea-Bissau,October,2010,0,0
Guinea-Bissau,November,2010,0,0
Guinea-Bissau,December,2010,0,0
Guinea-Bissau,January,2011,0,0
Guinea-Bissau,February,2011,0,0
Guinea-Bissau,March,2011,0,0
Guinea-Bissau,April,2011,0,0
Guinea-Bissau,May,2011,0,0
Guinea-Bissau,June,2011,0,0
Guinea-Bissau,July,2011,0,0
Guinea-Bissau,August,2011,0,0
Guinea-Bissau,September,2011,0,0
Guinea-Bissau,October,2011,0,0
Guinea-Bissau,November,2011,0,0
Guinea-Bissau,December,2011,0,0
Guinea-Bissau,January,2012,0,0
Guinea-Bissau,February,2012,0,0
Guinea-Bissau,March,2012,1,1
Guinea-Bissau,April,2012,1,0
Guinea-Bissau,May,2012,0,0
Guinea-Bissau,June,2012,0,0
Guinea-Bissau,July,2012,0,0
Guinea-Bissau,August,2012,0,0
Guinea-Bissau,September,2012,0,0
Guinea-Bissau,October,2012,2,0
Guinea-Bissau,November,2012,1,1
Guinea-Bissau,December,2012,0,0
Guinea-Bissau,January,2013,0,0
Guinea-Bissau,February,2013,0,0
Guinea-Bissau,March,2013,0,0
Guinea-Bissau,April,2013,0,0
Guinea-Bissau,May,2013,0,0
Guinea-Bissau,June,2013,0,0
Guinea-Bissau,July,2013,0,0
Guinea-Bissau,August,2013,0,0
Guinea-Bissau,September,2013,0,0
Guinea-Bissau,October,2013,1,3
Guinea-Bissau,November,2013,1,0
Guinea-Bissau,December,2013,0,0
Guinea-Bissau,January,2014,0,0
Guinea-Bissau,February,2014,0,0
Guinea-Bissau,March,2014,0,0
Guinea-Bissau,April,2014,0,0
Guinea-Bissau,May,2014,2,0
Guinea-Bissau,June,2014,0,0
Guinea-Bissau,July,2014,0,0
Guinea-Bissau,August,2014,0,0
Guinea-Bissau,September,2014,1,22
Guinea-Bissau,October,2014,0,0
Guinea-Bissau,November,2014,0,0
Guinea-Bissau,December,2014,0,0
Guinea-Bissau,January,2015,0,0
Guinea-Bissau,February,2015,0,0
Guinea-Bissau,March,2015,0,0
Guinea-Bissau,April,2015,0,0
Guinea-Bissau,May,2015,0,0
Guinea-Bissau,June,2015,0,0
Guinea-Bissau,July,2015,1,1
Guinea-Bissau,August,2015,0,0
Guinea-Bissau,September,2015,0,0
Guinea-Bissau,October,2015,0,0
Guinea-Bissau,November,2015,0,0
Guinea-Bissau,December,2015,0,0
Guinea-Bissau,January,2016,0,0
Guinea-Bissau,February,2016,0,0
Guinea-Bissau,March,2016,0,0
Guinea-Bissau,April,2016,0,0
Guinea-Bissau,May,2016,0,0
Guinea-Bissau,June,2016,0,0
Guinea-Bissau,July,2016,0,0
Guinea-Bissau,August,2016,0,0
Guinea-Bissau,September,2016,0,0
Guinea-Bissau,October,2016,0,0
Guinea-Bissau,November,2016,0,0
Guinea-Bissau,December,2016,0,0
Guinea-Bissau,January,2017,0,0
Guinea-Bissau,February,2017,0,0
Guinea-Bissau,March,2017,0,0
Guinea-Bissau,April,2017,2,0
Guinea-Bissau,May,2017,0,0
Guinea-Bissau,June,2017,0,0
Guinea-Bissau,July,2017,0,0
Guinea-Bissau,August,2017,0,0
Guinea-Bissau,September,2017,0,0
Guinea-Bissau,October,2017,0,0
Guinea-Bissau,November,2017,1,0
Guinea-Bissau,December,2017,0,0
Guinea-Bissau,January,2018,0,0
Guinea-Bissau,February,2018,0,0
Guinea-Bissau,March,2018,0,0
Guinea-Bissau,April,2018,0,0
Guinea-Bissau,May,2018,0,0
Guinea-Bissau,June,2018,0,0
Guinea-Bissau,July,2018,0,0
Guinea-Bissau,August,2018,0,0
Guinea-Bissau,September,2018,0,0
Guinea-Bissau,October,2018,0,0
Guinea-Bissau,November,2018,0,0
Guinea-Bissau,December,2018,0,0
Guinea-Bissau,January,2019,0,0
Guinea-Bissau,February,2019,0,0
Guinea-Bissau,March,2019,0,0
