Country,Month,Year,Events,Fatalities
Guyana,January,2018,1,0
Guyana,February,2018,0,0
Guyana,March,2018,0,0
Guyana,April,2018,1,1
Guyana,May,2018,0,0
Guyana,June,2018,0,0
Guyana,July,2018,0,0
Guyana,August,2018,0,0
Guyana,September,2018,0,0
Guyana,October,2018,1,0
Guyana,November,2018,1,0
Guyana,December,2018,0,0
Guyana,January,2019,1,1
Guyana,February,2019,0,0
Guyana,March,2019,0,0
Guyana,April,2019,0,0
Guyana,May,2019,0,0
Guyana,June,2019,0,0
Guyana,July,2019,1,1
Guyana,August,2019,0,0
Guyana,September,2019,0,0
Guyana,October,2019,0,0
Guyana,November,2019,0,0
Guyana,December,2019,1,0
Guyana,January,2020,1,0
Guyana,February,2020,0,0
Guyana,March,2020,5,1
Guyana,April,2020,0,0
Guyana,May,2020,1,0
Guyana,June,2020,0,0
Guyana,July,2020,1,1
Guyana,August,2020,3,0
Guyana,September,2020,1,1
Guyana,October,2020,0,0
Guyana,November,2020,0,0
Guyana,December,2020,1,0
Guyana,January,2021,1,0
Guyana,February,2021,0,0
Guyana,March,2021,0,0
Guyana,April,2021,1,0
Guyana,May,2021,0,0
Guyana,June,2021,0,0
Guyana,July,2021,0,0
Guyana,August,2021,0,0
Guyana,September,2021,2,1
Guyana,October,2021,0,0
Guyana,November,2021,0,0
Guyana,December,2021,1,0
Guyana,January,2022,1,0
Guyana,February,2022,0,0
Guyana,March,2022,0,0
Guyana,April,2022,0,0
Guyana,May,2022,0,0
Guyana,June,2022,1,0
Guyana,July,2022,1,0
Guyana,August,2022,0,0
Guyana,September,2022,0,0
Guyana,October,2022,0,0
Guyana,November,2022,1,0
Guyana,December,2022,2,0
Guyana,January,2023,0,0
Guyana,February,2023,3,1
Guyana,March,2023,0,0
Guyana,April,2023,0,0
Guyana,May,2023,1,0
Guyana,June,2023,1,0
Guyana,July,2023,0,0
Guyana,August,2023,0,0
Guyana,September,2023,0,0
Guyana,October,2023,0,0
Guyana,November,2023,1,0
Guyana,December,2023,2,0
Guyana,January,2024,1,0
Guyana,February,2024,0,0
Guyana,March,2024,0,0
Guyana,April,2024,2,0
Guyana,May,2024,0,0
Guyana,June,2024,0,0
Guyana,July,2024,0,0
Guyana,August,2024,1,1
Guyana,September,2024,0,0
Guyana,October,2024,2,1
Guyana,November,2024,0,0
Guyana,December,2024,0,0
Guyana,January,2025,0,0
Guyana,February,2025,0,0
Guyana,March,2025,1,1
Guyana,April,2025,1,1
Guyana,May,2025,0,0
Guyana,June,2025,1,1
Guyana,July,2025,0,0
Guyana,August,2025,1,0
Guyana,September,2025,0,0
Guyana,October,2025,1,1
Guyana,November,2025,0,0
Guyana,December,2025,0,0
Guyana,January,2026,0,0
Guyana,February,2026,0,0
Guyana,March,2026,1,0
Guyana,April,2026,0,0
