Country,Month,Year,Events,Fatalities
Hungary,January,2020,0,0
Hungary,February,2020,1,0
Hungary,March,2020,0,0
Hungary,April,2020,0,0
Hungary,May,2020,0,0
Hungary,June,2020,0,0
Hungary,July,2020,0,0
Hungary,August,2020,0,0
Hungary,September,2020,0,0
Hungary,October,2020,0,0
Hungary,November,2020,0,0
Hungary,December,2020,1,0
Hungary,January,2021,0,0
Hungary,February,2021,1,0
Hungary,March,2021,0,0
Hungary,April,2021,0,0
Hungary,May,2021,0,0
Hungary,June,2021,2,0
Hungary,July,2021,0,0
Hungary,August,2021,1,0
Hungary,September,2021,4,0
Hungary,October,2021,1,0
Hungary,November,2021,0,0
Hungary,December,2021,0,0
Hungary,January,2022,0,0
Hungary,February,2022,0,0
Hungary,March,2022,2,0
Hungary,April,2022,0,0
Hungary,May,2022,0,0
Hungary,June,2022,0,0
Hungary,July,2022,0,0
Hungary,August,2022,0,0
Hungary,September,2022,0,0
Hungary,October,2022,0,0
Hungary,November,2022,0,0
Hungary,December,2022,0,0
Hungary,January,2023,1,0
Hungary,February,2023,8,0
Hungary,March,2023,1,0
Hungary,April,2023,1,0
Hungary,May,2023,0,0
Hungary,June,2023,0,0
Hungary,July,2023,0,0
Hungary,August,2023,1,0
Hungary,September,2023,0,0
Hungary,October,2023,0,0
Hungary,November,2023,0,0
Hungary,December,2023,0,0
Hungary,January,2024,0,0
Hungary,February,2024,0,0
Hungary,March,2024,1,0
Hungary,April,2024,0,0
Hungary,May,2024,0,0
Hungary,June,2024,1,0
Hungary,July,2024,0,0
Hungary,August,2024,0,0
Hungary,September,2024,0,0
Hungary,October,2024,0,0
Hungary,November,2024,0,0
Hungary,December,2024,0,0
Hungary,January,2025,0,0
Hungary,February,2025,0,0
Hungary,March,2025,3,1
Hungary,April,2025,1,0
Hungary,May,2025,0,0
Hungary,June,2025,1,0
Hungary,July,2025,0,0
Hungary,August,2025,1,0
Hungary,September,2025,1,0
Hungary,October,2025,0,0
Hungary,November,2025,1,0
Hungary,December,2025,0,0
Hungary,January,2026,2,0
Hungary,February,2026,3,0
Hungary,March,2026,3,0
Hungary,April,2026,1,0
