Country,Month,Year,Events,Fatalities
Iceland,January,2020,0,0
Iceland,February,2020,0,0
Iceland,March,2020,0,0
Iceland,April,2020,0,0
Iceland,May,2020,0,0
Iceland,June,2020,1,3
Iceland,July,2020,0,0
Iceland,August,2020,0,0
Iceland,September,2020,0,0
Iceland,October,2020,0,0
Iceland,November,2020,0,0
Iceland,December,2020,0,0
Iceland,January,2021,0,0
Iceland,February,2021,0,0
Iceland,March,2021,0,0
Iceland,April,2021,0,0
Iceland,May,2021,0,0
Iceland,June,2021,0,0
Iceland,July,2021,1,0
Iceland,August,2021,1,0
Iceland,September,2021,0,0
Iceland,October,2021,0,0
Iceland,November,2021,0,0
Iceland,December,2021,0,0
Iceland,January,2022,0,0
Iceland,February,2022,0,0
Iceland,March,2022,0,0
Iceland,April,2022,0,0
Iceland,May,2022,0,0
Iceland,June,2022,0,0
Iceland,July,2022,0,0
Iceland,August,2022,0,0
Iceland,September,2022,0,0
Iceland,October,2022,0,0
Iceland,November,2022,0,0
Iceland,December,2022,0,0
Iceland,January,2023,0,0
Iceland,February,2023,0,0
Iceland,March,2023,0,0
Iceland,April,2023,0,0
Iceland,May,2023,0,0
Iceland,June,2023,0,0
Iceland,July,2023,0,0
Iceland,August,2023,0,0
Iceland,September,2023,1,0
Iceland,October,2023,0,0
Iceland,November,2023,0,0
Iceland,December,2023,0,0
Iceland,January,2024,0,0
Iceland,February,2024,0,0
Iceland,March,2024,0,0
Iceland,April,2024,0,0
Iceland,May,2024,0,0
Iceland,June,2024,0,0
Iceland,July,2024,0,0
Iceland,August,2024,0,0
Iceland,September,2024,0,0
Iceland,October,2024,1,0
Iceland,November,2024,0,0
Iceland,December,2024,0,0
Iceland,January,2025,0,0
Iceland,February,2025,0,0
Iceland,March,2025,0,0
Iceland,April,2025,0,0
Iceland,May,2025,0,0
Iceland,June,2025,0,0
Iceland,July,2025,0,0
Iceland,August,2025,0,0
Iceland,September,2025,0,0
Iceland,October,2025,0,0
Iceland,November,2025,0,0
Iceland,December,2025,0,0
Iceland,January,2026,0,0
Iceland,February,2026,0,0
Iceland,March,2026,0,0
Iceland,April,2026,0,0
