Country,Month,Year,Events,Fatalities
India,January,2016,51,20
India,February,2016,71,29
India,March,2016,53,44
India,April,2016,110,38
India,May,2016,102,43
India,June,2016,78,32
India,July,2016,112,82
India,August,2016,118,44
India,September,2016,97,34
India,October,2016,76,34
India,November,2016,64,22
India,December,2016,75,14
India,January,2017,84,42
India,February,2017,110,33
India,March,2017,115,47
India,April,2017,103,42
India,May,2017,90,35
India,June,2017,71,39
India,July,2017,87,22
India,August,2017,106,23
India,September,2017,58,19
India,October,2017,121,34
India,November,2017,59,25
India,December,2017,90,30
India,January,2018,90,40
India,February,2018,91,34
India,March,2018,91,55
India,April,2018,128,48
India,May,2018,141,81
India,June,2018,119,55
India,July,2018,108,51
India,August,2018,195,88
India,September,2018,173,68
India,October,2018,179,57
India,November,2018,173,64
India,December,2018,203,63
India,January,2019,167,58
India,February,2019,174,58
India,March,2019,198,53
India,April,2019,364,61
India,May,2019,373,78
India,June,2019,257,99
India,July,2019,251,88
India,August,2019,281,77
India,September,2019,172,54
India,October,2019,157,83
India,November,2019,82,24
India,December,2019,63,28
India,January,2020,71,28
India,February,2020,97,30
India,March,2020,129,30
India,April,2020,167,31
India,May,2020,108,48
India,June,2020,128,46
India,July,2020,119,47
India,August,2020,115,38
India,September,2020,104,61
India,October,2020,90,46
India,November,2020,87,35
India,December,2020,74,27
India,January,2021,76,41
India,February,2021,56,18
India,March,2021,102,45
India,April,2021,175,50
India,May,2021,148,57
India,June,2021,96,43
India,July,2021,76,33
India,August,2021,77,48
India,September,2021,56,22
India,October,2021,53,25
India,November,2021,64,35
India,December,2021,60,28
India,January,2022,87,42
India,February,2022,170,43
India,March,2022,157,77
India,April,2022,118,43
India,May,2022,109,59
India,June,2022,73,39
India,July,2022,88,24
India,August,2022,100,37
India,September,2022,131,32
India,October,2022,89,32
India,November,2022,66,28
India,December,2022,70,19
India,January,2023,91,33
India,February,2023,127,47
India,March,2023,120,35
India,April,2023,92,37
India,May,2023,162,99
India,June,2023,208,66
India,July,2023,252,87
India,August,2023,187,68
India,September,2023,186,49
India,October,2023,149,49
India,November,2023,191,59
India,December,2023,165,44
India,January,2024,167,67
India,February,2024,144,45
India,March,2024,168,45
India,April,2024,188,48
India,May,2024,243,60
India,June,2024,237,80
India,July,2024,189,55
India,August,2024,167,43
India,September,2024,149,41
India,October,2024,175,57
India,November,2024,153,36
India,December,2024,138,51
India,January,2025,105,29
India,February,2025,120,35
India,March,2025,142,45
India,April,2025,162,67
India,May,2025,138,50
India,June,2025,162,49
India,July,2025,185,50
India,August,2025,143,40
India,September,2025,127,28
India,October,2025,147,36
India,November,2025,99,43
India,December,2025,173,36
India,January,2026,133,38
India,February,2026,138,25
India,March,2026,141,31
India,April,2026,83,18
