Country,Month,Year,Events,Fatalities
Iran,January,2016,1,1
Iran,February,2016,2,0
Iran,March,2016,4,2
Iran,April,2016,3,1
Iran,May,2016,4,3
Iran,June,2016,4,4
Iran,July,2016,5,7
Iran,August,2016,1,1
Iran,September,2016,1,0
Iran,October,2016,1,1
Iran,November,2016,1,0
Iran,December,2016,3,2
Iran,January,2017,1,0
Iran,February,2017,2,1
Iran,March,2017,1,3
Iran,April,2017,4,3
Iran,May,2017,9,6
Iran,June,2017,5,4
Iran,July,2017,3,2
Iran,August,2017,3,4
Iran,September,2017,4,1
Iran,October,2017,5,6
Iran,November,2017,1,1
Iran,December,2017,6,3
Iran,January,2018,4,4
Iran,February,2018,2,2
Iran,March,2018,5,1
Iran,April,2018,9,16
Iran,May,2018,12,11
Iran,June,2018,4,3
Iran,July,2018,7,5
Iran,August,2018,10,9
Iran,September,2018,3,3
Iran,October,2018,9,9
Iran,November,2018,8,9
Iran,December,2018,2,3
Iran,January,2019,0,0
Iran,February,2019,1,0
Iran,March,2019,0,0
Iran,April,2019,2,1
Iran,May,2019,1,0
Iran,June,2019,3,1
Iran,July,2019,3,0
Iran,August,2019,7,3
Iran,September,2019,7,3
Iran,October,2019,3,0
Iran,November,2019,1,0
Iran,December,2019,8,3
Iran,January,2020,10,181
Iran,February,2020,4,4
Iran,March,2020,6,2
Iran,April,2020,3,4
Iran,May,2020,9,13
Iran,June,2020,10,8
Iran,July,2020,13,15
Iran,August,2020,21,22
Iran,September,2020,12,13
Iran,October,2020,16,9
Iran,November,2020,15,11
Iran,December,2020,10,8
Iran,January,2021,5,3
Iran,February,2021,8,9
Iran,March,2021,7,5
Iran,April,2021,5,5
Iran,May,2021,18,12
Iran,June,2021,13,11
Iran,July,2021,14,13
Iran,August,2021,13,7
Iran,September,2021,12,8
Iran,October,2021,10,4
Iran,November,2021,12,11
Iran,December,2021,6,5
Iran,January,2022,15,12
Iran,February,2022,8,8
Iran,March,2022,17,11
Iran,April,2022,11,5
Iran,May,2022,12,15
Iran,June,2022,9,4
Iran,July,2022,16,10
Iran,August,2022,7,7
Iran,September,2022,32,23
Iran,October,2022,50,54
Iran,November,2022,52,56
Iran,December,2022,23,21
Iran,January,2023,11,8
Iran,February,2023,13,6
Iran,March,2023,16,23
Iran,April,2023,10,8
Iran,May,2023,14,9
Iran,June,2023,13,13
Iran,July,2023,11,12
Iran,August,2023,2,5
Iran,September,2023,6,2
Iran,October,2023,4,0
Iran,November,2023,6,5
Iran,December,2023,5,5
Iran,January,2024,12,121
Iran,February,2024,5,5
Iran,March,2024,4,5
Iran,April,2024,10,5
Iran,May,2024,4,2
Iran,June,2024,4,2
Iran,July,2024,3,5
Iran,August,2024,1,1
Iran,September,2024,6,6
Iran,October,2024,5,13
Iran,November,2024,2,1
Iran,December,2024,7,14
Iran,January,2025,3,5
Iran,February,2025,4,2
Iran,March,2025,3,1
Iran,April,2025,2,11
Iran,May,2025,2,1
Iran,June,2025,55,247
Iran,July,2025,19,17
Iran,August,2025,11,6
Iran,September,2025,7,14
Iran,October,2025,19,8
Iran,November,2025,19,13
Iran,December,2025,3,5
Iran,January,2026,198,4966
Iran,February,2026,13,190
Iran,March,2026,54,185
Iran,April,2026,44,139
