Country,Month,Year,Events,Fatalities
Ireland,January,2020,1,0
Ireland,February,2020,1,0
Ireland,March,2020,0,0
Ireland,April,2020,0,0
Ireland,May,2020,0,0
Ireland,June,2020,1,0
Ireland,July,2020,0,0
Ireland,August,2020,3,0
Ireland,September,2020,3,0
Ireland,October,2020,1,0
Ireland,November,2020,0,0
Ireland,December,2020,1,0
Ireland,January,2021,0,0
Ireland,February,2021,0,0
Ireland,March,2021,0,0
Ireland,April,2021,0,0
Ireland,May,2021,0,0
Ireland,June,2021,0,0
Ireland,July,2021,0,0
Ireland,August,2021,1,0
Ireland,September,2021,0,0
Ireland,October,2021,0,0
Ireland,November,2021,0,0
Ireland,December,2021,0,0
Ireland,January,2022,0,0
Ireland,February,2022,0,0
Ireland,March,2022,0,0
Ireland,April,2022,1,0
Ireland,May,2022,0,0
Ireland,June,2022,0,0
Ireland,July,2022,0,0
Ireland,August,2022,1,0
Ireland,September,2022,0,0
Ireland,October,2022,0,0
Ireland,November,2022,0,0
Ireland,December,2022,0,0
Ireland,January,2023,1,0
Ireland,February,2023,0,0
Ireland,March,2023,1,0
Ireland,April,2023,0,0
Ireland,May,2023,1,0
Ireland,June,2023,0,0
Ireland,July,2023,0,0
Ireland,August,2023,0,0
Ireland,September,2023,0,0
Ireland,October,2023,0,0
Ireland,November,2023,0,0
Ireland,December,2023,0,0
Ireland,January,2024,0,0
Ireland,February,2024,0,0
Ireland,March,2024,0,0
Ireland,April,2024,0,0
Ireland,May,2024,0,0
Ireland,June,2024,0,0
Ireland,July,2024,1,0
Ireland,August,2024,0,0
Ireland,September,2024,1,0
Ireland,October,2024,0,0
Ireland,November,2024,0,0
Ireland,December,2024,1,0
Ireland,January,2025,0,0
Ireland,February,2025,0,0
Ireland,March,2025,0,0
Ireland,April,2025,0,0
Ireland,May,2025,0,0
Ireland,June,2025,0,0
Ireland,July,2025,1,0
Ireland,August,2025,0,0
Ireland,September,2025,0,0
Ireland,October,2025,1,0
Ireland,November,2025,0,0
Ireland,December,2025,0,0
Ireland,January,2026,0,0
Ireland,February,2026,0,0
Ireland,March,2026,0,0
Ireland,April,2026,0,0
