Country,Month,Year,Events,Fatalities
Japan,January,2018,0,0
Japan,February,2018,0,0
Japan,March,2018,0,0
Japan,April,2018,0,0
Japan,May,2018,0,0
Japan,June,2018,0,0
Japan,July,2018,0,0
Japan,August,2018,0,0
Japan,September,2018,0,0
Japan,October,2018,0,0
Japan,November,2018,0,0
Japan,December,2018,0,0
Japan,January,2019,1,0
Japan,February,2019,0,0
Japan,March,2019,0,0
Japan,April,2019,0,0
Japan,May,2019,0,0
Japan,June,2019,0,0
Japan,July,2019,0,0
Japan,August,2019,0,0
Japan,September,2019,0,0
Japan,October,2019,0,0
Japan,November,2019,0,0
Japan,December,2019,0,0
Japan,January,2020,0,0
Japan,February,2020,0,0
Japan,March,2020,0,0
Japan,April,2020,0,0
Japan,May,2020,0,0
Japan,June,2020,0,0
Japan,July,2020,0,0
Japan,August,2020,0,0
Japan,September,2020,0,0
Japan,October,2020,0,0
Japan,November,2020,0,0
Japan,December,2020,0,0
Japan,January,2021,0,0
Japan,February,2021,0,0
Japan,March,2021,0,0
Japan,April,2021,0,0
Japan,May,2021,0,0
Japan,June,2021,0,0
Japan,July,2021,0,0
Japan,August,2021,0,0
Japan,September,2021,0,0
Japan,October,2021,0,0
Japan,November,2021,0,0
Japan,December,2021,0,0
Japan,January,2022,0,0
Japan,February,2022,0,0
Japan,March,2022,0,0
Japan,April,2022,0,0
Japan,May,2022,0,0
Japan,June,2022,0,0
Japan,July,2022,1,1
Japan,August,2022,0,0
Japan,September,2022,0,0
Japan,October,2022,0,0
Japan,November,2022,0,0
Japan,December,2022,0,0
Japan,January,2023,0,0
Japan,February,2023,0,0
Japan,March,2023,0,0
Japan,April,2023,1,0
Japan,May,2023,0,0
Japan,June,2023,0,0
Japan,July,2023,0,0
Japan,August,2023,0,0
Japan,September,2023,0,0
Japan,October,2023,0,0
Japan,November,2023,0,0
Japan,December,2023,0,0
Japan,January,2024,0,0
Japan,February,2024,0,0
Japan,March,2024,0,0
Japan,April,2024,0,0
Japan,May,2024,0,0
Japan,June,2024,0,0
Japan,July,2024,0,0
Japan,August,2024,0,0
Japan,September,2024,0,0
Japan,October,2024,0,0
Japan,November,2024,0,0
Japan,December,2024,0,0
Japan,January,2025,0,0
Japan,February,2025,0,0
Japan,March,2025,0,0
Japan,April,2025,0,0
Japan,May,2025,0,0
Japan,June,2025,0,0
Japan,July,2025,0,0
Japan,August,2025,0,0
Japan,September,2025,0,0
Japan,October,2025,0,0
Japan,November,2025,0,0
Japan,December,2025,0,0
Japan,January,2026,0,0
Japan,February,2026,0,0
Japan,March,2026,0,0
Japan,April,2026,0,0
