Country,Month,Year,Events,Fatalities
Kosovo,January,2018,1,1
Kosovo,February,2018,0,0
Kosovo,March,2018,6,2
Kosovo,April,2018,1,0
Kosovo,May,2018,1,0
Kosovo,June,2018,2,0
Kosovo,July,2018,1,0
Kosovo,August,2018,1,0
Kosovo,September,2018,2,0
Kosovo,October,2018,3,1
Kosovo,November,2018,0,0
Kosovo,December,2018,0,0
Kosovo,January,2019,1,0
Kosovo,February,2019,1,0
Kosovo,March,2019,3,0
Kosovo,April,2019,0,0
Kosovo,May,2019,2,0
Kosovo,June,2019,1,0
Kosovo,July,2019,1,0
Kosovo,August,2019,2,0
Kosovo,September,2019,1,0
Kosovo,October,2019,2,0
Kosovo,November,2019,0,0
Kosovo,December,2019,1,0
Kosovo,January,2020,1,0
Kosovo,February,2020,0,0
Kosovo,March,2020,1,0
Kosovo,April,2020,0,0
Kosovo,May,2020,0,0
Kosovo,June,2020,0,0
Kosovo,July,2020,1,0
Kosovo,August,2020,1,0
Kosovo,September,2020,0,0
Kosovo,October,2020,1,0
Kosovo,November,2020,0,0
Kosovo,December,2020,1,0
Kosovo,January,2021,0,0
Kosovo,February,2021,2,0
Kosovo,March,2021,0,0
Kosovo,April,2021,1,0
Kosovo,May,2021,0,0
Kosovo,June,2021,0,0
Kosovo,July,2021,2,0
Kosovo,August,2021,3,0
Kosovo,September,2021,2,0
Kosovo,October,2021,0,0
Kosovo,November,2021,1,0
Kosovo,December,2021,0,0
Kosovo,January,2022,1,0
Kosovo,February,2022,0,0
Kosovo,March,2022,0,0
Kosovo,April,2022,1,0
Kosovo,May,2022,1,0
Kosovo,June,2022,0,0
Kosovo,July,2022,0,0
Kosovo,August,2022,2,0
Kosovo,September,2022,1,0
Kosovo,October,2022,0,0
Kosovo,November,2022,1,0
Kosovo,December,2022,11,0
Kosovo,January,2023,4,0
Kosovo,February,2023,1,0
Kosovo,March,2023,1,0
Kosovo,April,2023,2,0
Kosovo,May,2023,4,0
Kosovo,June,2023,4,0
Kosovo,July,2023,0,0
Kosovo,August,2023,1,0
Kosovo,September,2023,3,0
Kosovo,October,2023,0,0
Kosovo,November,2023,1,0
Kosovo,December,2023,0,0
Kosovo,January,2024,2,0
Kosovo,February,2024,2,0
Kosovo,March,2024,0,0
Kosovo,April,2024,0,0
Kosovo,May,2024,0,0
Kosovo,June,2024,1,0
Kosovo,July,2024,0,0
Kosovo,August,2024,2,0
Kosovo,September,2024,4,0
Kosovo,October,2024,4,0
Kosovo,November,2024,2,0
Kosovo,December,2024,1,0
Kosovo,January,2025,1,0
Kosovo,February,2025,2,0
Kosovo,March,2025,0,0
Kosovo,April,2025,1,0
Kosovo,May,2025,2,0
Kosovo,June,2025,0,0
Kosovo,July,2025,1,1
Kosovo,August,2025,0,0
Kosovo,September,2025,1,0
Kosovo,October,2025,0,0
Kosovo,November,2025,1,0
Kosovo,December,2025,1,0
Kosovo,January,2026,0,0
Kosovo,February,2026,0,0
Kosovo,March,2026,1,0
Kosovo,April,2026,0,0
