Country,Month,Year,Events,Fatalities
Kuwait,January,2016,0,0
Kuwait,February,2016,1,0
Kuwait,March,2016,0,0
Kuwait,April,2016,0,0
Kuwait,May,2016,0,0
Kuwait,June,2016,0,0
Kuwait,July,2016,0,0
Kuwait,August,2016,0,0
Kuwait,September,2016,0,0
Kuwait,October,2016,0,0
Kuwait,November,2016,0,0
Kuwait,December,2016,0,0
Kuwait,January,2017,0,0
Kuwait,February,2017,0,0
Kuwait,March,2017,0,0
Kuwait,April,2017,0,0
Kuwait,May,2017,0,0
Kuwait,June,2017,0,0
Kuwait,July,2017,0,0
Kuwait,August,2017,0,0
Kuwait,September,2017,0,0
Kuwait,October,2017,0,0
Kuwait,November,2017,0,0
Kuwait,December,2017,0,0
Kuwait,January,2018,0,0
Kuwait,February,2018,0,0
Kuwait,March,2018,0,0
Kuwait,April,2018,0,0
Kuwait,May,2018,0,0
Kuwait,June,2018,0,0
Kuwait,July,2018,0,0
Kuwait,August,2018,0,0
Kuwait,September,2018,0,0
Kuwait,October,2018,0,0
Kuwait,November,2018,0,0
Kuwait,December,2018,0,0
Kuwait,January,2019,0,0
Kuwait,February,2019,0,0
Kuwait,March,2019,0,0
Kuwait,April,2019,0,0
Kuwait,May,2019,0,0
Kuwait,June,2019,0,0
Kuwait,July,2019,0,0
Kuwait,August,2019,0,0
Kuwait,September,2019,0,0
Kuwait,October,2019,0,0
Kuwait,November,2019,0,0
Kuwait,December,2019,0,0
Kuwait,January,2020,0,0
Kuwait,February,2020,0,0
Kuwait,March,2020,0,0
Kuwait,April,2020,0,0
Kuwait,May,2020,0,0
Kuwait,June,2020,0,0
Kuwait,July,2020,0,0
Kuwait,August,2020,0,0
Kuwait,September,2020,0,0
Kuwait,October,2020,0,0
Kuwait,November,2020,0,0
Kuwait,December,2020,0,0
Kuwait,January,2021,0,0
Kuwait,February,2021,0,0
Kuwait,March,2021,0,0
Kuwait,April,2021,0,0
Kuwait,May,2021,0,0
Kuwait,June,2021,0,0
Kuwait,July,2021,0,0
Kuwait,August,2021,0,0
Kuwait,September,2021,0,0
Kuwait,October,2021,0,0
Kuwait,November,2021,0,0
Kuwait,December,2021,0,0
Kuwait,January,2022,0,0
Kuwait,February,2022,0,0
Kuwait,March,2022,0,0
Kuwait,April,2022,0,0
Kuwait,May,2022,0,0
Kuwait,June,2022,0,0
Kuwait,July,2022,0,0
Kuwait,August,2022,0,0
Kuwait,September,2022,0,0
Kuwait,October,2022,0,0
Kuwait,November,2022,0,0
Kuwait,December,2022,0,0
Kuwait,January,2023,0,0
Kuwait,February,2023,0,0
Kuwait,March,2023,0,0
Kuwait,April,2023,0,0
Kuwait,May,2023,0,0
Kuwait,June,2023,0,0
Kuwait,July,2023,0,0
Kuwait,August,2023,0,0
Kuwait,September,2023,0,0
Kuwait,October,2023,0,0
Kuwait,November,2023,0,0
Kuwait,December,2023,0,0
Kuwait,January,2024,0,0
Kuwait,February,2024,0,0
Kuwait,March,2024,0,0
Kuwait,April,2024,0,0
Kuwait,May,2024,0,0
Kuwait,June,2024,0,0
Kuwait,July,2024,0,0
Kuwait,August,2024,0,0
Kuwait,September,2024,0,0
Kuwait,October,2024,0,0
Kuwait,November,2024,0,0
Kuwait,December,2024,0,0
Kuwait,January,2025,0,0
Kuwait,February,2025,0,0
Kuwait,March,2025,0,0
Kuwait,April,2025,0,0
Kuwait,May,2025,0,0
Kuwait,June,2025,0,0
Kuwait,July,2025,0,0
Kuwait,August,2025,0,0
Kuwait,September,2025,0,0
Kuwait,October,2025,0,0
Kuwait,November,2025,0,0
Kuwait,December,2025,0,0
Kuwait,January,2026,0,0
Kuwait,February,2026,2,1
Kuwait,March,2026,6,1
Kuwait,April,2026,1,0
