Country,Month,Year,Events,Fatalities
Laos,January,2010,0,0
Laos,February,2010,0,0
Laos,March,2010,0,0
Laos,April,2010,0,0
Laos,May,2010,0,0
Laos,June,2010,0,0
Laos,July,2010,0,0
Laos,August,2010,0,0
Laos,September,2010,0,0
Laos,October,2010,0,0
Laos,November,2010,0,0
Laos,December,2010,0,0
Laos,January,2011,1,0
Laos,February,2011,0,0
Laos,March,2011,0,0
Laos,April,2011,1,4
Laos,May,2011,0,0
Laos,June,2011,0,0
Laos,July,2011,0,0
Laos,August,2011,0,0
Laos,September,2011,0,0
Laos,October,2011,0,0
Laos,November,2011,0,0
Laos,December,2011,0,0
Laos,January,2012,0,0
Laos,February,2012,0,0
Laos,March,2012,1,0
Laos,April,2012,0,0
Laos,May,2012,0,0
Laos,June,2012,0,0
Laos,July,2012,0,0
Laos,August,2012,0,0
Laos,September,2012,0,0
Laos,October,2012,0,0
Laos,November,2012,0,0
Laos,December,2012,1,0
Laos,January,2013,1,0
Laos,February,2013,0,0
Laos,March,2013,0,0
Laos,April,2013,0,0
Laos,May,2013,0,0
Laos,June,2013,0,0
Laos,July,2013,0,0
Laos,August,2013,0,0
Laos,September,2013,0,0
Laos,October,2013,0,0
Laos,November,2013,0,0
Laos,December,2013,0,0
Laos,January,2014,0,0
Laos,February,2014,0,0
Laos,March,2014,0,0
Laos,April,2014,0,0
Laos,May,2014,0,0
Laos,June,2014,0,0
Laos,July,2014,0,0
Laos,August,2014,0,0
Laos,September,2014,0,0
Laos,October,2014,0,0
Laos,November,2014,0,0
Laos,December,2014,0,0
Laos,January,2015,0,0
Laos,February,2015,0,0
Laos,March,2015,0,0
Laos,April,2015,0,0
Laos,May,2015,0,0
Laos,June,2015,0,0
Laos,July,2015,0,0
Laos,August,2015,0,0
Laos,September,2015,0,0
Laos,October,2015,0,0
Laos,November,2015,0,0
Laos,December,2015,1,2
Laos,January,2016,2,2
Laos,February,2016,0,0
Laos,March,2016,3,2
Laos,April,2016,0,0
Laos,May,2016,0,0
Laos,June,2016,0,0
Laos,July,2016,0,0
Laos,August,2016,0,0
Laos,September,2016,0,0
Laos,October,2016,0,0
Laos,November,2016,0,0
Laos,December,2016,1,1
Laos,January,2017,0,0
Laos,February,2017,0,0
Laos,March,2017,0,0
Laos,April,2017,0,0
Laos,May,2017,1,1
Laos,June,2017,1,1
Laos,July,2017,2,1
Laos,August,2017,0,0
Laos,September,2017,0,0
Laos,October,2017,0,0
Laos,November,2017,0,0
Laos,December,2017,0,0
Laos,January,2018,0,0
Laos,February,2018,0,0
Laos,March,2018,0,0
Laos,April,2018,0,0
Laos,May,2018,0,0
Laos,June,2018,0,0
Laos,July,2018,0,0
Laos,August,2018,0,0
Laos,September,2018,0,0
Laos,October,2018,0,0
Laos,November,2018,0,0
Laos,December,2018,1,0
Laos,January,2019,0,0
Laos,February,2019,0,0
Laos,March,2019,0,0
Laos,April,2019,1,1
Laos,May,2019,0,0
Laos,June,2019,0,0
Laos,July,2019,0,0
Laos,August,2019,0,0
Laos,September,2019,0,0
Laos,October,2019,0,0
Laos,November,2019,1,0
Laos,December,2019,0,0
Laos,January,2020,0,0
Laos,February,2020,0,0
Laos,March,2020,0,0
Laos,April,2020,0,0
Laos,May,2020,0,0
Laos,June,2020,0,0
Laos,July,2020,0,0
Laos,August,2020,0,0
Laos,September,2020,0,0
Laos,October,2020,0,0
Laos,November,2020,0,0
Laos,December,2020,1,1
Laos,January,2021,0,0
Laos,February,2021,0,0
Laos,March,2021,0,0
Laos,April,2021,0,0
Laos,May,2021,0,0
Laos,June,2021,0,0
Laos,July,2021,0,0
Laos,August,2021,0,0
Laos,September,2021,0,0
Laos,October,2021,0,0
Laos,November,2021,0,0
Laos,December,2021,0,0
Laos,January,2022,0,0
Laos,February,2022,0,0
Laos,March,2022,0,0
Laos,April,2022,0,0
Laos,May,2022,0,0
Laos,June,2022,0,0
Laos,July,2022,0,0
Laos,August,2022,0,0
Laos,September,2022,0,0
Laos,October,2022,0,0
Laos,November,2022,0,0
Laos,December,2022,0,0
Laos,January,2023,0,0
Laos,February,2023,0,0
Laos,March,2023,0,0
Laos,April,2023,1,0
Laos,May,2023,1,0
Laos,June,2023,0,0
Laos,July,2023,0,0
Laos,August,2023,0,0
Laos,September,2023,0,0
Laos,October,2023,0,0
Laos,November,2023,0,0
Laos,December,2023,0,0
Laos,January,2024,0,0
Laos,February,2024,0,0
Laos,March,2024,0,0
Laos,April,2024,0,0
Laos,May,2024,0,0
Laos,June,2024,0,0
Laos,July,2024,0,0
Laos,August,2024,0,0
Laos,September,2024,0,0
Laos,October,2024,0,0
Laos,November,2024,0,0
Laos,December,2024,0,0
Laos,January,2025,0,0
Laos,February,2025,0,0
Laos,March,2025,0,0
Laos,April,2025,0,0
Laos,May,2025,0,0
Laos,June,2025,0,0
Laos,July,2025,0,0
Laos,August,2025,0,0
Laos,September,2025,0,0
Laos,October,2025,0,0
Laos,November,2025,0,0
Laos,December,2025,0,0
Laos,January,2026,0,0
Laos,February,2026,1,1
Laos,March,2026,0,0
Laos,April,2026,0,0
