Country,Month,Year,Events,Fatalities
Lesotho,January,1997,0,0
Lesotho,February,1997,0,0
Lesotho,March,1997,0,0
Lesotho,April,1997,0,0
Lesotho,May,1997,0,0
Lesotho,June,1997,1,1
Lesotho,July,1997,0,0
Lesotho,August,1997,0,0
Lesotho,September,1997,0,0
Lesotho,October,1997,0,0
Lesotho,November,1997,0,0
Lesotho,December,1997,0,0
Lesotho,January,1998,1,11
Lesotho,February,1998,0,0
Lesotho,March,1998,0,0
Lesotho,April,1998,0,0
Lesotho,May,1998,0,0
Lesotho,June,1998,0,0
Lesotho,July,1998,0,0
Lesotho,August,1998,1,1
Lesotho,September,1998,4,36
Lesotho,October,1998,2,2
Lesotho,November,1998,0,0
Lesotho,December,1998,0,0
Lesotho,January,1999,0,0
Lesotho,February,1999,0,0
Lesotho,March,1999,0,0
Lesotho,April,1999,0,0
Lesotho,May,1999,1,16
Lesotho,June,1999,0,0
Lesotho,July,1999,0,0
Lesotho,August,1999,0,0
Lesotho,September,1999,0,0
Lesotho,October,1999,0,0
Lesotho,November,1999,0,0
Lesotho,December,1999,0,0
Lesotho,January,2000,0,0
Lesotho,February,2000,0,0
Lesotho,March,2000,0,0
Lesotho,April,2000,0,0
Lesotho,May,2000,0,0
Lesotho,June,2000,0,0
Lesotho,July,2000,0,0
Lesotho,August,2000,0,0
Lesotho,September,2000,0,0
Lesotho,October,2000,0,0
Lesotho,November,2000,0,0
Lesotho,December,2000,0,0
Lesotho,January,2001,0,0
Lesotho,February,2001,0,0
Lesotho,March,2001,0,0
Lesotho,April,2001,0,0
Lesotho,May,2001,0,0
Lesotho,June,2001,0,0
Lesotho,July,2001,0,0
Lesotho,August,2001,0,0
Lesotho,September,2001,0,0
Lesotho,October,2001,0,0
Lesotho,November,2001,0,0
Lesotho,December,2001,0,0
Lesotho,January,2002,0,0
Lesotho,February,2002,1,8
Lesotho,March,2002,0,0
Lesotho,April,2002,0,0
Lesotho,May,2002,0,0
Lesotho,June,2002,0,0
Lesotho,July,2002,0,0
Lesotho,August,2002,0,0
Lesotho,September,2002,0,0
Lesotho,October,2002,0,0
Lesotho,November,2002,1,1
Lesotho,December,2002,0,0
Lesotho,January,2003,0,0
Lesotho,February,2003,0,0
Lesotho,March,2003,0,0
Lesotho,April,2003,0,0
Lesotho,May,2003,0,0
Lesotho,June,2003,0,0
Lesotho,July,2003,0,0
Lesotho,August,2003,0,0
Lesotho,September,2003,0,0
Lesotho,October,2003,0,0
Lesotho,November,2003,1,1
Lesotho,December,2003,0,0
Lesotho,January,2004,0,0
Lesotho,February,2004,0,0
Lesotho,March,2004,0,0
Lesotho,April,2004,0,0
Lesotho,May,2004,0,0
Lesotho,June,2004,0,0
Lesotho,July,2004,0,0
Lesotho,August,2004,0,0
Lesotho,September,2004,1,0
Lesotho,October,2004,0,0
Lesotho,November,2004,0,0
Lesotho,December,2004,0,0
Lesotho,January,2005,0,0
Lesotho,February,2005,0,0
Lesotho,March,2005,0,0
Lesotho,April,2005,0,0
Lesotho,May,2005,0,0
Lesotho,June,2005,0,0
Lesotho,July,2005,0,0
Lesotho,August,2005,0,0
Lesotho,September,2005,0,0
Lesotho,October,2005,0,0
Lesotho,November,2005,0,0
Lesotho,December,2005,0,0
Lesotho,January,2006,1,0
Lesotho,February,2006,0,0
Lesotho,March,2006,0,0
Lesotho,April,2006,0,0
Lesotho,May,2006,0,0
Lesotho,June,2006,1,1
Lesotho,July,2006,0,0
Lesotho,August,2006,0,0
Lesotho,September,2006,0,0
Lesotho,October,2006,0,0
Lesotho,November,2006,1,1
Lesotho,December,2006,0,0
Lesotho,January,2007,0,0
Lesotho,February,2007,0,0
Lesotho,March,2007,0,0
Lesotho,April,2007,0,0
Lesotho,May,2007,0,0
Lesotho,June,2007,1,0
Lesotho,July,2007,0,0
Lesotho,August,2007,0,0
Lesotho,September,2007,0,0
Lesotho,October,2007,0,0
Lesotho,November,2007,0,0
Lesotho,December,2007,0,0
Lesotho,January,2008,0,0
Lesotho,February,2008,0,0
Lesotho,March,2008,0,0
Lesotho,April,2008,0,0
Lesotho,May,2008,0,0
Lesotho,June,2008,0,0
Lesotho,July,2008,0,0
Lesotho,August,2008,0,0
Lesotho,September,2008,0,0
Lesotho,October,2008,0,0
Lesotho,November,2008,0,0
Lesotho,December,2008,0,0
Lesotho,January,2009,0,0
Lesotho,February,2009,0,0
Lesotho,March,2009,0,0
Lesotho,April,2009,1,0
Lesotho,May,2009,0,0
Lesotho,June,2009,0,0
Lesotho,July,2009,0,0
Lesotho,August,2009,0,0
Lesotho,September,2009,0,0
Lesotho,October,2009,0,0
Lesotho,November,2009,0,0
Lesotho,December,2009,0,0
Lesotho,January,2010,0,0
Lesotho,February,2010,0,0
Lesotho,March,2010,0,0
Lesotho,April,2010,0,0
Lesotho,May,2010,0,0
Lesotho,June,2010,0,0
Lesotho,July,2010,0,0
Lesotho,August,2010,0,0
Lesotho,September,2010,1,1
Lesotho,October,2010,0,0
Lesotho,November,2010,0,0
Lesotho,December,2010,0,0
Lesotho,January,2011,0,0
Lesotho,February,2011,0,0
Lesotho,March,2011,0,0
Lesotho,April,2011,0,0
Lesotho,May,2011,0,0
Lesotho,June,2011,0,0
Lesotho,July,2011,0,0
Lesotho,August,2011,0,0
Lesotho,September,2011,0,0
Lesotho,October,2011,0,0
Lesotho,November,2011,0,0
Lesotho,December,2011,0,0
Lesotho,January,2012,1,0
Lesotho,February,2012,5,2
Lesotho,March,2012,2,1
Lesotho,April,2012,2,3
Lesotho,May,2012,3,0
Lesotho,June,2012,0,0
Lesotho,July,2012,0,0
Lesotho,August,2012,1,0
Lesotho,September,2012,0,0
Lesotho,October,2012,0,0
Lesotho,November,2012,0,0
Lesotho,December,2012,0,0
Lesotho,January,2013,0,0
Lesotho,February,2013,0,0
Lesotho,March,2013,0,0
Lesotho,April,2013,0,0
Lesotho,May,2013,0,0
Lesotho,June,2013,0,0
Lesotho,July,2013,0,0
Lesotho,August,2013,0,0
Lesotho,September,2013,0,0
Lesotho,October,2013,0,0
Lesotho,November,2013,0,0
Lesotho,December,2013,0,0
Lesotho,January,2014,0,0
Lesotho,February,2014,0,0
Lesotho,March,2014,0,0
Lesotho,April,2014,0,0
Lesotho,May,2014,0,0
Lesotho,June,2014,0,0
Lesotho,July,2014,0,0
Lesotho,August,2014,0,0
Lesotho,September,2014,0,0
Lesotho,October,2014,0,0
Lesotho,November,2014,0,0
Lesotho,December,2014,0,0
Lesotho,January,2015,0,0
Lesotho,February,2015,1,0
Lesotho,March,2015,0,0
Lesotho,April,2015,0,0
Lesotho,May,2015,0,0
Lesotho,June,2015,1,1
Lesotho,July,2015,1,1
Lesotho,August,2015,0,0
Lesotho,September,2015,0,0
Lesotho,October,2015,1,1
Lesotho,November,2015,0,0
Lesotho,December,2015,0,0
Lesotho,January,2016,0,0
Lesotho,February,2016,0,0
Lesotho,March,2016,0,0
Lesotho,April,2016,0,0
Lesotho,May,2016,1,0
Lesotho,June,2016,0,0
Lesotho,July,2016,3,0
Lesotho,August,2016,0,0
Lesotho,September,2016,1,4
Lesotho,October,2016,0,0
Lesotho,November,2016,0,0
Lesotho,December,2016,0,0
Lesotho,January,2017,0,0
Lesotho,February,2017,0,0
Lesotho,March,2017,0,0
Lesotho,April,2017,0,0
Lesotho,May,2017,0,0
Lesotho,June,2017,1,1
Lesotho,July,2017,0,0
Lesotho,August,2017,0,0
Lesotho,September,2017,0,0
Lesotho,October,2017,0,0
Lesotho,November,2017,0,0
Lesotho,December,2017,0,0
Lesotho,January,2018,0,0
Lesotho,February,2018,0,0
Lesotho,March,2018,0,0
Lesotho,April,2018,0,0
Lesotho,May,2018,0,0
Lesotho,June,2018,0,0
Lesotho,July,2018,0,0
Lesotho,August,2018,0,0
Lesotho,September,2018,0,0
Lesotho,October,2018,0,0
Lesotho,November,2018,0,0
Lesotho,December,2018,0,0
Lesotho,January,2019,0,0
Lesotho,February,2019,1,2
Lesotho,March,2019,0,0
Lesotho,April,2019,0,0
Lesotho,May,2019,0,0
Lesotho,June,2019,0,0
Lesotho,July,2019,1,0
Lesotho,August,2019,1,1
Lesotho,September,2019,0,0
Lesotho,October,2019,1,1
Lesotho,November,2019,0,0
Lesotho,December,2019,0,0
Lesotho,January,2020,1,1
Lesotho,February,2020,0,0
Lesotho,March,2020,2,3
Lesotho,April,2020,0,0
Lesotho,May,2020,0,0
Lesotho,June,2020,1,0
Lesotho,July,2020,1,0
Lesotho,August,2020,3,1
Lesotho,September,2020,2,1
Lesotho,October,2020,0,0
Lesotho,November,2020,0,0
Lesotho,December,2020,0,0
Lesotho,January,2021,0,0
Lesotho,February,2021,0,0
Lesotho,March,2021,0,0
Lesotho,April,2021,2,1
Lesotho,May,2021,2,1
Lesotho,June,2021,2,2
Lesotho,July,2021,1,0
Lesotho,August,2021,1,1
Lesotho,September,2021,2,2
Lesotho,October,2021,1,1
Lesotho,November,2021,0,0
Lesotho,December,2021,1,1
Lesotho,January,2022,1,0
Lesotho,February,2022,3,2
Lesotho,March,2022,1,1
Lesotho,April,2022,2,2
Lesotho,May,2022,1,0
Lesotho,June,2022,4,6
