Country,Month,Year,Events,Fatalities
Liechtenstein,January,2020,0,0
Liechtenstein,February,2020,0,0
Liechtenstein,March,2020,0,0
Liechtenstein,April,2020,0,0
Liechtenstein,May,2020,0,0
Liechtenstein,June,2020,0,0
Liechtenstein,July,2020,0,0
Liechtenstein,August,2020,0,0
Liechtenstein,September,2020,0,0
Liechtenstein,October,2020,0,0
Liechtenstein,November,2020,0,0
Liechtenstein,December,2020,0,0
Liechtenstein,January,2021,0,0
Liechtenstein,February,2021,0,0
Liechtenstein,March,2021,0,0
Liechtenstein,April,2021,0,0
Liechtenstein,May,2021,0,0
Liechtenstein,June,2021,0,0
Liechtenstein,July,2021,0,0
Liechtenstein,August,2021,0,0
Liechtenstein,September,2021,0,0
Liechtenstein,October,2021,0,0
Liechtenstein,November,2021,0,0
Liechtenstein,December,2021,0,0
Liechtenstein,January,2022,0,0
Liechtenstein,February,2022,0,0
Liechtenstein,March,2022,0,0
Liechtenstein,April,2022,0,0
Liechtenstein,May,2022,0,0
Liechtenstein,June,2022,0,0
Liechtenstein,July,2022,0,0
Liechtenstein,August,2022,0,0
Liechtenstein,September,2022,0,0
Liechtenstein,October,2022,0,0
Liechtenstein,November,2022,0,0
Liechtenstein,December,2022,0,0
Liechtenstein,January,2023,0,0
Liechtenstein,February,2023,0,0
Liechtenstein,March,2023,0,0
Liechtenstein,April,2023,0,0
Liechtenstein,May,2023,0,0
Liechtenstein,June,2023,0,0
Liechtenstein,July,2023,0,0
Liechtenstein,August,2023,0,0
Liechtenstein,September,2023,0,0
Liechtenstein,October,2023,0,0
Liechtenstein,November,2023,0,0
Liechtenstein,December,2023,0,0
Liechtenstein,January,2024,0,0
Liechtenstein,February,2024,0,0
Liechtenstein,March,2024,0,0
Liechtenstein,April,2024,0,0
Liechtenstein,May,2024,0,0
Liechtenstein,June,2024,0,0
Liechtenstein,July,2024,0,0
Liechtenstein,August,2024,0,0
Liechtenstein,September,2024,0,0
Liechtenstein,October,2024,0,0
Liechtenstein,November,2024,0,0
Liechtenstein,December,2024,0,0
Liechtenstein,January,2025,0,0
Liechtenstein,February,2025,0,0
Liechtenstein,March,2025,0,0
Liechtenstein,April,2025,0,0
Liechtenstein,May,2025,0,0
Liechtenstein,June,2025,0,0
Liechtenstein,July,2025,0,0
Liechtenstein,August,2025,0,0
Liechtenstein,September,2025,0,0
Liechtenstein,October,2025,0,0
Liechtenstein,November,2025,0,0
Liechtenstein,December,2025,0,0
Liechtenstein,January,2026,0,0
Liechtenstein,February,2026,0,0
Liechtenstein,March,2026,0,0
Liechtenstein,April,2026,0,0
