Country,Month,Year,Events,Fatalities
Luxembourg,January,2020,0,0
Luxembourg,February,2020,0,0
Luxembourg,March,2020,0,0
Luxembourg,April,2020,0,0
Luxembourg,May,2020,0,0
Luxembourg,June,2020,0,0
Luxembourg,July,2020,0,0
Luxembourg,August,2020,0,0
Luxembourg,September,2020,0,0
Luxembourg,October,2020,0,0
Luxembourg,November,2020,0,0
Luxembourg,December,2020,0,0
Luxembourg,January,2021,0,0
Luxembourg,February,2021,0,0
Luxembourg,March,2021,0,0
Luxembourg,April,2021,0,0
Luxembourg,May,2021,0,0
Luxembourg,June,2021,0,0
Luxembourg,July,2021,0,0
Luxembourg,August,2021,0,0
Luxembourg,September,2021,0,0
Luxembourg,October,2021,0,0
Luxembourg,November,2021,0,0
Luxembourg,December,2021,0,0
Luxembourg,January,2022,0,0
Luxembourg,February,2022,0,0
Luxembourg,March,2022,0,0
Luxembourg,April,2022,0,0
Luxembourg,May,2022,0,0
Luxembourg,June,2022,0,0
Luxembourg,July,2022,0,0
Luxembourg,August,2022,0,0
Luxembourg,September,2022,0,0
Luxembourg,October,2022,0,0
Luxembourg,November,2022,0,0
Luxembourg,December,2022,0,0
Luxembourg,January,2023,0,0
Luxembourg,February,2023,0,0
Luxembourg,March,2023,0,0
Luxembourg,April,2023,0,0
Luxembourg,May,2023,0,0
Luxembourg,June,2023,0,0
Luxembourg,July,2023,0,0
Luxembourg,August,2023,0,0
Luxembourg,September,2023,0,0
Luxembourg,October,2023,0,0
Luxembourg,November,2023,0,0
Luxembourg,December,2023,0,0
Luxembourg,January,2024,0,0
Luxembourg,February,2024,0,0
Luxembourg,March,2024,0,0
Luxembourg,April,2024,0,0
Luxembourg,May,2024,0,0
Luxembourg,June,2024,0,0
Luxembourg,July,2024,0,0
Luxembourg,August,2024,0,0
Luxembourg,September,2024,0,0
Luxembourg,October,2024,0,0
Luxembourg,November,2024,0,0
Luxembourg,December,2024,0,0
Luxembourg,January,2025,0,0
Luxembourg,February,2025,0,0
Luxembourg,March,2025,0,0
Luxembourg,April,2025,0,0
Luxembourg,May,2025,0,0
Luxembourg,June,2025,0,0
Luxembourg,July,2025,0,0
Luxembourg,August,2025,0,0
Luxembourg,September,2025,0,0
Luxembourg,October,2025,0,0
Luxembourg,November,2025,0,0
Luxembourg,December,2025,0,0
Luxembourg,January,2026,0,0
Luxembourg,February,2026,0,0
Luxembourg,March,2026,0,0
Luxembourg,April,2026,0,0
