Country,Month,Year,Events,Fatalities
Maldives,January,2020,1,0
Maldives,February,2020,1,0
Maldives,March,2020,0,0
Maldives,April,2020,0,0
Maldives,May,2020,0,0
Maldives,June,2020,0,0
Maldives,July,2020,0,0
Maldives,August,2020,0,0
Maldives,September,2020,0,0
Maldives,October,2020,0,0
Maldives,November,2020,0,0
Maldives,December,2020,0,0
Maldives,January,2021,0,0
Maldives,February,2021,0,0
Maldives,March,2021,0,0
Maldives,April,2021,0,0
Maldives,May,2021,2,0
Maldives,June,2021,0,0
Maldives,July,2021,0,0
Maldives,August,2021,0,0
Maldives,September,2021,0,0
Maldives,October,2021,0,0
Maldives,November,2021,0,0
Maldives,December,2021,0,0
Maldives,January,2022,0,0
Maldives,February,2022,0,0
Maldives,March,2022,0,0
Maldives,April,2022,0,0
Maldives,May,2022,0,0
Maldives,June,2022,0,0
Maldives,July,2022,0,0
Maldives,August,2022,0,0
Maldives,September,2022,0,0
Maldives,October,2022,0,0
Maldives,November,2022,0,0
Maldives,December,2022,0,0
Maldives,January,2023,0,0
Maldives,February,2023,0,0
Maldives,March,2023,0,0
Maldives,April,2023,0,0
Maldives,May,2023,0,0
Maldives,June,2023,0,0
Maldives,July,2023,0,0
Maldives,August,2023,0,0
Maldives,September,2023,2,0
Maldives,October,2023,0,0
Maldives,November,2023,0,0
Maldives,December,2023,0,0
Maldives,January,2024,1,0
Maldives,February,2024,0,0
Maldives,March,2024,1,0
Maldives,April,2024,0,0
Maldives,May,2024,0,0
Maldives,June,2024,1,1
Maldives,July,2024,0,0
Maldives,August,2024,0,0
Maldives,September,2024,0,0
Maldives,October,2024,0,0
Maldives,November,2024,0,0
Maldives,December,2024,0,0
Maldives,January,2025,0,0
Maldives,February,2025,0,0
Maldives,March,2025,0,0
Maldives,April,2025,0,0
Maldives,May,2025,0,0
Maldives,June,2025,0,0
Maldives,July,2025,0,0
Maldives,August,2025,0,0
Maldives,September,2025,0,0
Maldives,October,2025,0,0
Maldives,November,2025,0,0
Maldives,December,2025,0,0
Maldives,January,2026,0,0
Maldives,February,2026,0,0
Maldives,March,2026,2,0
Maldives,April,2026,0,0
