Country,Month,Year,Events,Fatalities
Marshall Islands,January,2021,0,0
Marshall Islands,February,2021,0,0
Marshall Islands,March,2021,0,0
Marshall Islands,April,2021,0,0
Marshall Islands,May,2021,0,0
Marshall Islands,June,2021,0,0
Marshall Islands,July,2021,0,0
Marshall Islands,August,2021,0,0
Marshall Islands,September,2021,0,0
Marshall Islands,October,2021,0,0
Marshall Islands,November,2021,0,0
Marshall Islands,December,2021,0,0
Marshall Islands,January,2022,0,0
Marshall Islands,February,2022,0,0
Marshall Islands,March,2022,0,0
Marshall Islands,April,2022,0,0
Marshall Islands,May,2022,0,0
Marshall Islands,June,2022,0,0
Marshall Islands,July,2022,0,0
Marshall Islands,August,2022,0,0
Marshall Islands,September,2022,0,0
Marshall Islands,October,2022,0,0
Marshall Islands,November,2022,0,0
Marshall Islands,December,2022,0,0
Marshall Islands,January,2023,0,0
Marshall Islands,February,2023,0,0
Marshall Islands,March,2023,0,0
Marshall Islands,April,2023,0,0
Marshall Islands,May,2023,0,0
Marshall Islands,June,2023,0,0
Marshall Islands,July,2023,0,0
Marshall Islands,August,2023,0,0
Marshall Islands,September,2023,0,0
Marshall Islands,October,2023,0,0
Marshall Islands,November,2023,0,0
Marshall Islands,December,2023,0,0
Marshall Islands,January,2024,0,0
Marshall Islands,February,2024,0,0
Marshall Islands,March,2024,0,0
Marshall Islands,April,2024,0,0
Marshall Islands,May,2024,0,0
Marshall Islands,June,2024,0,0
Marshall Islands,July,2024,0,0
Marshall Islands,August,2024,0,0
Marshall Islands,September,2024,0,0
Marshall Islands,October,2024,0,0
Marshall Islands,November,2024,0,0
Marshall Islands,December,2024,0,0
Marshall Islands,January,2025,0,0
Marshall Islands,February,2025,0,0
Marshall Islands,March,2025,0,0
Marshall Islands,April,2025,0,0
Marshall Islands,May,2025,0,0
Marshall Islands,June,2025,0,0
Marshall Islands,July,2025,0,0
Marshall Islands,August,2025,0,0
Marshall Islands,September,2025,0,0
Marshall Islands,October,2025,0,0
Marshall Islands,November,2025,0,0
Marshall Islands,December,2025,0,0
Marshall Islands,January,2026,0,0
Marshall Islands,February,2026,0,0
Marshall Islands,March,2026,0,0
Marshall Islands,April,2026,0,0
