Country,Month,Year,Events,Fatalities
Martinique,January,2018,0,0
Martinique,February,2018,0,0
Martinique,March,2018,0,0
Martinique,April,2018,0,0
Martinique,May,2018,0,0
Martinique,June,2018,0,0
Martinique,July,2018,0,0
Martinique,August,2018,0,0
Martinique,September,2018,0,0
Martinique,October,2018,0,0
Martinique,November,2018,0,0
Martinique,December,2018,0,0
Martinique,January,2019,0,0
Martinique,February,2019,0,0
Martinique,March,2019,0,0
Martinique,April,2019,0,0
Martinique,May,2019,0,0
Martinique,June,2019,0,0
Martinique,July,2019,0,0
Martinique,August,2019,0,0
Martinique,September,2019,0,0
Martinique,October,2019,0,0
Martinique,November,2019,0,0
Martinique,December,2019,0,0
Martinique,January,2020,0,0
Martinique,February,2020,0,0
Martinique,March,2020,0,0
Martinique,April,2020,0,0
Martinique,May,2020,0,0
Martinique,June,2020,0,0
Martinique,July,2020,0,0
Martinique,August,2020,0,0
Martinique,September,2020,0,0
Martinique,October,2020,0,0
Martinique,November,2020,0,0
Martinique,December,2020,0,0
Martinique,January,2021,0,0
Martinique,February,2021,0,0
Martinique,March,2021,0,0
Martinique,April,2021,0,0
Martinique,May,2021,0,0
Martinique,June,2021,0,0
Martinique,July,2021,0,0
Martinique,August,2021,0,0
Martinique,September,2021,0,0
Martinique,October,2021,0,0
Martinique,November,2021,0,0
Martinique,December,2021,0,0
Martinique,January,2022,0,0
Martinique,February,2022,0,0
Martinique,March,2022,0,0
Martinique,April,2022,0,0
Martinique,May,2022,0,0
Martinique,June,2022,0,0
Martinique,July,2022,0,0
Martinique,August,2022,0,0
Martinique,September,2022,0,0
Martinique,October,2022,0,0
Martinique,November,2022,0,0
Martinique,December,2022,0,0
Martinique,January,2023,0,0
Martinique,February,2023,0,0
Martinique,March,2023,0,0
Martinique,April,2023,0,0
Martinique,May,2023,0,0
Martinique,June,2023,0,0
Martinique,July,2023,0,0
Martinique,August,2023,0,0
Martinique,September,2023,0,0
Martinique,October,2023,1,0
Martinique,November,2023,0,0
Martinique,December,2023,0,0
Martinique,January,2024,0,0
Martinique,February,2024,0,0
Martinique,March,2024,0,0
Martinique,April,2024,0,0
Martinique,May,2024,0,0
Martinique,June,2024,0,0
Martinique,July,2024,0,0
Martinique,August,2024,0,0
Martinique,September,2024,0,0
Martinique,October,2024,0,0
Martinique,November,2024,0,0
Martinique,December,2024,0,0
Martinique,January,2025,0,0
Martinique,February,2025,1,0
Martinique,March,2025,0,0
Martinique,April,2025,0,0
Martinique,May,2025,0,0
Martinique,June,2025,0,0
Martinique,July,2025,0,0
Martinique,August,2025,0,0
Martinique,September,2025,0,0
Martinique,October,2025,0,0
Martinique,November,2025,0,0
Martinique,December,2025,0,0
Martinique,January,2026,0,0
Martinique,February,2026,0,0
Martinique,March,2026,0,0
Martinique,April,2026,0,0
