Country,Month,Year,Events,Fatalities
Mauritania,January,1997,0,0
Mauritania,February,1997,0,0
Mauritania,March,1997,0,0
Mauritania,April,1997,0,0
Mauritania,May,1997,0,0
Mauritania,June,1997,0,0
Mauritania,July,1997,0,0
Mauritania,August,1997,0,0
Mauritania,September,1997,0,0
Mauritania,October,1997,0,0
Mauritania,November,1997,0,0
Mauritania,December,1997,0,0
Mauritania,January,1998,0,0
Mauritania,February,1998,0,0
Mauritania,March,1998,0,0
Mauritania,April,1998,0,0
Mauritania,May,1998,0,0
Mauritania,June,1998,0,0
Mauritania,July,1998,0,0
Mauritania,August,1998,0,0
Mauritania,September,1998,0,0
Mauritania,October,1998,0,0
Mauritania,November,1998,0,0
Mauritania,December,1998,0,0
Mauritania,January,1999,0,0
Mauritania,February,1999,0,0
Mauritania,March,1999,0,0
Mauritania,April,1999,0,0
Mauritania,May,1999,0,0
Mauritania,June,1999,0,0
Mauritania,July,1999,0,0
Mauritania,August,1999,0,0
Mauritania,September,1999,0,0
Mauritania,October,1999,0,0
Mauritania,November,1999,1,0
Mauritania,December,1999,0,0
Mauritania,January,2000,0,0
Mauritania,February,2000,0,0
Mauritania,March,2000,0,0
Mauritania,April,2000,0,0
Mauritania,May,2000,0,0
Mauritania,June,2000,0,0
Mauritania,July,2000,0,0
Mauritania,August,2000,0,0
Mauritania,September,2000,0,0
Mauritania,October,2000,0,0
Mauritania,November,2000,1,1
Mauritania,December,2000,0,0
Mauritania,January,2001,0,0
Mauritania,February,2001,0,0
Mauritania,March,2001,0,0
Mauritania,April,2001,0,0
Mauritania,May,2001,0,0
Mauritania,June,2001,0,0
Mauritania,July,2001,0,0
Mauritania,August,2001,0,0
Mauritania,September,2001,0,0
Mauritania,October,2001,0,0
Mauritania,November,2001,0,0
Mauritania,December,2001,0,0
Mauritania,January,2002,0,0
Mauritania,February,2002,0,0
Mauritania,March,2002,0,0
Mauritania,April,2002,0,0
Mauritania,May,2002,0,0
Mauritania,June,2002,0,0
Mauritania,July,2002,0,0
Mauritania,August,2002,0,0
Mauritania,September,2002,0,0
Mauritania,October,2002,0,0
Mauritania,November,2002,0,0
Mauritania,December,2002,0,0
Mauritania,January,2003,0,0
Mauritania,February,2003,0,0
Mauritania,March,2003,0,0
Mauritania,April,2003,0,0
Mauritania,May,2003,0,0
Mauritania,June,2003,2,7
Mauritania,July,2003,0,0
Mauritania,August,2003,1,1
Mauritania,September,2003,0,0
Mauritania,October,2003,0,0
Mauritania,November,2003,0,0
Mauritania,December,2003,0,0
Mauritania,January,2004,0,0
Mauritania,February,2004,0,0
Mauritania,March,2004,0,0
Mauritania,April,2004,0,0
Mauritania,May,2004,0,0
Mauritania,June,2004,0,0
Mauritania,July,2004,0,0
Mauritania,August,2004,0,0
Mauritania,September,2004,0,0
Mauritania,October,2004,0,0
Mauritania,November,2004,0,0
Mauritania,December,2004,0,0
Mauritania,January,2005,0,0
Mauritania,February,2005,0,0
Mauritania,March,2005,0,0
Mauritania,April,2005,2,0
Mauritania,May,2005,0,0
Mauritania,June,2005,0,0
Mauritania,July,2005,0,0
Mauritania,August,2005,0,0
Mauritania,September,2005,0,0
Mauritania,October,2005,0,0
Mauritania,November,2005,0,0
Mauritania,December,2005,0,0
Mauritania,January,2006,0,0
Mauritania,February,2006,0,0
Mauritania,March,2006,0,0
Mauritania,April,2006,0,0
Mauritania,May,2006,0,0
Mauritania,June,2006,0,0
Mauritania,July,2006,0,0
Mauritania,August,2006,0,0
Mauritania,September,2006,0,0
Mauritania,October,2006,0,0
Mauritania,November,2006,0,0
Mauritania,December,2006,0,0
Mauritania,January,2007,0,0
Mauritania,February,2007,0,0
Mauritania,March,2007,0,0
Mauritania,April,2007,0,0
Mauritania,May,2007,0,0
Mauritania,June,2007,0,0
Mauritania,July,2007,0,0
Mauritania,August,2007,0,0
Mauritania,September,2007,0,0
