Country,Month,Year,Events,Fatalities
Micronesia,January,2021,0,0
Micronesia,February,2021,0,0
Micronesia,March,2021,0,0
Micronesia,April,2021,0,0
Micronesia,May,2021,0,0
Micronesia,June,2021,0,0
Micronesia,July,2021,0,0
Micronesia,August,2021,0,0
Micronesia,September,2021,0,0
Micronesia,October,2021,0,0
Micronesia,November,2021,0,0
Micronesia,December,2021,0,0
Micronesia,January,2022,0,0
Micronesia,February,2022,0,0
Micronesia,March,2022,0,0
Micronesia,April,2022,0,0
Micronesia,May,2022,0,0
Micronesia,June,2022,0,0
Micronesia,July,2022,0,0
Micronesia,August,2022,0,0
Micronesia,September,2022,0,0
Micronesia,October,2022,0,0
Micronesia,November,2022,0,0
Micronesia,December,2022,0,0
Micronesia,January,2023,0,0
Micronesia,February,2023,0,0
Micronesia,March,2023,0,0
Micronesia,April,2023,0,0
Micronesia,May,2023,0,0
Micronesia,June,2023,0,0
Micronesia,July,2023,0,0
Micronesia,August,2023,0,0
Micronesia,September,2023,0,0
Micronesia,October,2023,0,0
Micronesia,November,2023,0,0
Micronesia,December,2023,0,0
Micronesia,January,2024,0,0
Micronesia,February,2024,0,0
Micronesia,March,2024,0,0
Micronesia,April,2024,0,0
Micronesia,May,2024,0,0
Micronesia,June,2024,0,0
Micronesia,July,2024,0,0
Micronesia,August,2024,0,0
Micronesia,September,2024,0,0
Micronesia,October,2024,0,0
Micronesia,November,2024,0,0
Micronesia,December,2024,0,0
Micronesia,January,2025,0,0
Micronesia,February,2025,0,0
Micronesia,March,2025,0,0
Micronesia,April,2025,0,0
Micronesia,May,2025,0,0
Micronesia,June,2025,0,0
Micronesia,July,2025,0,0
Micronesia,August,2025,0,0
Micronesia,September,2025,0,0
Micronesia,October,2025,0,0
Micronesia,November,2025,0,0
Micronesia,December,2025,0,0
Micronesia,January,2026,0,0
Micronesia,February,2026,0,0
Micronesia,March,2026,0,0
Micronesia,April,2026,0,0
