Country,Month,Year,Events,Fatalities
Moldova,January,2018,0,0
Moldova,February,2018,0,0
Moldova,March,2018,1,0
Moldova,April,2018,0,0
Moldova,May,2018,0,0
Moldova,June,2018,1,0
Moldova,July,2018,2,0
Moldova,August,2018,0,0
Moldova,September,2018,0,0
Moldova,October,2018,1,0
Moldova,November,2018,0,0
Moldova,December,2018,0,0
Moldova,January,2019,3,0
Moldova,February,2019,0,0
Moldova,March,2019,2,0
Moldova,April,2019,2,0
Moldova,May,2019,0,0
Moldova,June,2019,0,0
Moldova,July,2019,0,0
Moldova,August,2019,2,0
Moldova,September,2019,1,0
Moldova,October,2019,0,0
Moldova,November,2019,1,0
Moldova,December,2019,0,0
Moldova,January,2020,0,0
Moldova,February,2020,0,0
Moldova,March,2020,0,0
Moldova,April,2020,0,0
Moldova,May,2020,0,0
Moldova,June,2020,0,0
Moldova,July,2020,2,0
Moldova,August,2020,0,0
Moldova,September,2020,1,0
Moldova,October,2020,1,0
Moldova,November,2020,0,0
Moldova,December,2020,0,0
Moldova,January,2021,2,0
Moldova,February,2021,1,0
Moldova,March,2021,0,0
Moldova,April,2021,2,0
Moldova,May,2021,0,0
Moldova,June,2021,1,0
Moldova,July,2021,0,0
Moldova,August,2021,1,0
Moldova,September,2021,0,0
Moldova,October,2021,0,0
Moldova,November,2021,0,0
Moldova,December,2021,0,0
Moldova,January,2022,1,0
Moldova,February,2022,3,0
Moldova,March,2022,0,0
Moldova,April,2022,1,0
Moldova,May,2022,0,0
Moldova,June,2022,0,0
Moldova,July,2022,0,0
Moldova,August,2022,1,0
Moldova,September,2022,0,0
Moldova,October,2022,0,0
Moldova,November,2022,1,0
Moldova,December,2022,0,0
Moldova,January,2023,1,0
Moldova,February,2023,0,0
Moldova,March,2023,0,0
Moldova,April,2023,0,0
Moldova,May,2023,0,0
Moldova,June,2023,0,0
Moldova,July,2023,2,1
Moldova,August,2023,1,0
Moldova,September,2023,2,0
Moldova,October,2023,1,0
Moldova,November,2023,0,0
Moldova,December,2023,0,0
Moldova,January,2024,0,0
Moldova,February,2024,0,0
Moldova,March,2024,0,0
Moldova,April,2024,0,0
Moldova,May,2024,0,0
Moldova,June,2024,0,0
Moldova,July,2024,0,0
Moldova,August,2024,0,0
Moldova,September,2024,0,0
Moldova,October,2024,0,0
Moldova,November,2024,0,0
Moldova,December,2024,1,0
Moldova,January,2025,0,0
Moldova,February,2025,1,0
Moldova,March,2025,0,0
Moldova,April,2025,0,0
Moldova,May,2025,0,0
Moldova,June,2025,1,0
Moldova,July,2025,3,0
Moldova,August,2025,1,0
Moldova,September,2025,0,0
Moldova,October,2025,0,0
Moldova,November,2025,0,0
Moldova,December,2025,0,0
Moldova,January,2026,2,0
Moldova,February,2026,1,1
Moldova,March,2026,0,0
Moldova,April,2026,0,0
