Country,Month,Year,Events,Fatalities
Montenegro,January,2018,0,0
Montenegro,February,2018,2,1
Montenegro,March,2018,1,1
Montenegro,April,2018,0,0
Montenegro,May,2018,2,0
Montenegro,June,2018,2,0
Montenegro,July,2018,1,0
Montenegro,August,2018,0,0
Montenegro,September,2018,0,0
Montenegro,October,2018,1,0
Montenegro,November,2018,0,0
Montenegro,December,2018,0,0
Montenegro,January,2019,0,0
Montenegro,February,2019,1,0
Montenegro,March,2019,2,0
Montenegro,April,2019,2,0
Montenegro,May,2019,1,0
Montenegro,June,2019,0,0
Montenegro,July,2019,0,0
Montenegro,August,2019,2,0
Montenegro,September,2019,0,0
Montenegro,October,2019,0,0
Montenegro,November,2019,1,0
Montenegro,December,2019,0,0
Montenegro,January,2020,0,0
Montenegro,February,2020,0,0
Montenegro,March,2020,0,0
Montenegro,April,2020,0,0
Montenegro,May,2020,0,0
Montenegro,June,2020,0,0
Montenegro,July,2020,0,0
Montenegro,August,2020,1,0
Montenegro,September,2020,0,0
Montenegro,October,2020,0,0
Montenegro,November,2020,0,0
Montenegro,December,2020,0,0
Montenegro,January,2021,0,0
Montenegro,February,2021,1,0
Montenegro,March,2021,2,0
Montenegro,April,2021,0,0
Montenegro,May,2021,0,0
Montenegro,June,2021,0,0
Montenegro,July,2021,1,0
Montenegro,August,2021,1,0
Montenegro,September,2021,0,0
Montenegro,October,2021,0,0
Montenegro,November,2021,1,0
Montenegro,December,2021,1,0
Montenegro,January,2022,0,0
Montenegro,February,2022,0,0
Montenegro,March,2022,0,0
Montenegro,April,2022,0,0
Montenegro,May,2022,0,0
Montenegro,June,2022,0,0
Montenegro,July,2022,0,0
Montenegro,August,2022,0,0
Montenegro,September,2022,0,0
Montenegro,October,2022,0,0
Montenegro,November,2022,1,0
Montenegro,December,2022,1,0
Montenegro,January,2023,0,0
Montenegro,February,2023,0,0
Montenegro,March,2023,1,1
Montenegro,April,2023,0,0
Montenegro,May,2023,0,0
Montenegro,June,2023,0,0
Montenegro,July,2023,0,0
Montenegro,August,2023,0,0
Montenegro,September,2023,0,0
Montenegro,October,2023,0,0
Montenegro,November,2023,0,0
Montenegro,December,2023,0,0
Montenegro,January,2024,0,0
Montenegro,February,2024,0,0
Montenegro,March,2024,0,0
Montenegro,April,2024,0,0
Montenegro,May,2024,0,0
Montenegro,June,2024,0,0
Montenegro,July,2024,0,0
Montenegro,August,2024,0,0
Montenegro,September,2024,1,0
Montenegro,October,2024,0,0
Montenegro,November,2024,1,0
Montenegro,December,2024,0,0
Montenegro,January,2025,1,0
Montenegro,February,2025,0,0
Montenegro,March,2025,0,0
Montenegro,April,2025,0,0
Montenegro,May,2025,0,0
Montenegro,June,2025,0,0
Montenegro,July,2025,1,0
Montenegro,August,2025,1,0
Montenegro,September,2025,0,0
Montenegro,October,2025,2,0
Montenegro,November,2025,3,0
Montenegro,December,2025,0,0
Montenegro,January,2026,0,0
Montenegro,February,2026,0,0
Montenegro,March,2026,0,0
Montenegro,April,2026,0,0
