Country,Month,Year,Events,Fatalities
Morocco,January,1997,0,0
Morocco,February,1997,0,0
Morocco,March,1997,1,2
Morocco,April,1997,0,0
Morocco,May,1997,0,0
Morocco,June,1997,1,1
Morocco,July,1997,0,0
Morocco,August,1997,1,1
Morocco,September,1997,0,0
Morocco,October,1997,1,0
Morocco,November,1997,0,0
Morocco,December,1997,0,0
Morocco,January,1998,0,0
Morocco,February,1998,0,0
Morocco,March,1998,0,0
Morocco,April,1998,2,10
Morocco,May,1998,0,0
Morocco,June,1998,0,0
Morocco,July,1998,0,0
Morocco,August,1998,0,0
Morocco,September,1998,0,0
Morocco,October,1998,1,0
Morocco,November,1998,0,0
Morocco,December,1998,0,0
Morocco,January,1999,0,0
Morocco,February,1999,1,0
Morocco,March,1999,0,0
Morocco,April,1999,0,0
Morocco,May,1999,0,0
Morocco,June,1999,0,0
Morocco,July,1999,0,0
Morocco,August,1999,0,0
Morocco,September,1999,0,0
Morocco,October,1999,0,0
Morocco,November,1999,0,0
Morocco,December,1999,0,0
Morocco,January,2000,0,0
Morocco,February,2000,1,0
Morocco,March,2000,0,0
Morocco,April,2000,0,0
Morocco,May,2000,0,0
Morocco,June,2000,2,0
Morocco,July,2000,0,0
Morocco,August,2000,0,0
Morocco,September,2000,0,0
Morocco,October,2000,0,0
Morocco,November,2000,1,0
Morocco,December,2000,0,0
Morocco,January,2001,0,0
Morocco,February,2001,0,0
Morocco,March,2001,0,0
Morocco,April,2001,0,0
Morocco,May,2001,0,0
Morocco,June,2001,1,0
Morocco,July,2001,0,0
Morocco,August,2001,0,0
Morocco,September,2001,0,0
Morocco,October,2001,0,0
Morocco,November,2001,1,0
Morocco,December,2001,0,0
Morocco,January,2002,0,0
Morocco,February,2002,0,0
Morocco,March,2002,1,0
Morocco,April,2002,0,0
Morocco,May,2002,0,0
Morocco,June,2002,0,0
Morocco,July,2002,0,0
Morocco,August,2002,0,0
Morocco,September,2002,0,0
Morocco,October,2002,0,0
Morocco,November,2002,0,0
Morocco,December,2002,0,0
Morocco,January,2003,0,0
Morocco,February,2003,0,0
Morocco,March,2003,0,0
Morocco,April,2003,0,0
Morocco,May,2003,1,41
Morocco,June,2003,0,0
Morocco,July,2003,1,0
Morocco,August,2003,0,0
Morocco,September,2003,2,2
Morocco,October,2003,0,0
Morocco,November,2003,0,0
Morocco,December,2003,0,0
Morocco,January,2004,1,2
Morocco,February,2004,0,0
Morocco,March,2004,0,0
Morocco,April,2004,0,0
Morocco,May,2004,0,0
Morocco,June,2004,0,0
Morocco,July,2004,0,0
Morocco,August,2004,0,0
Morocco,September,2004,0,0
Morocco,October,2004,0,0
Morocco,November,2004,0,0
Morocco,December,2004,0,0
Morocco,January,2005,0,0
Morocco,February,2005,0,0
Morocco,March,2005,0,0
Morocco,April,2005,0,0
Morocco,May,2005,0,0
Morocco,June,2005,0,0
Morocco,July,2005,0,0
Morocco,August,2005,1,1
Morocco,September,2005,0,0
Morocco,October,2005,1,1
Morocco,November,2005,0,0
Morocco,December,2005,1,1
Morocco,January,2006,0,0
Morocco,February,2006,0,0
Morocco,March,2006,0,0
Morocco,April,2006,0,0
Morocco,May,2006,0,0
Morocco,June,2006,0,0
Morocco,July,2006,0,0
Morocco,August,2006,0,0
Morocco,September,2006,0,0
Morocco,October,2006,1,2
Morocco,November,2006,0,0
Morocco,December,2006,1,0
Morocco,January,2007,0,0
Morocco,February,2007,0,0
Morocco,March,2007,0,0
