Country,Month,Year,Events,Fatalities
Namibia,January,1997,0,0
Namibia,February,1997,0,0
Namibia,March,1997,0,0
Namibia,April,1997,0,0
Namibia,May,1997,0,0
Namibia,June,1997,0,0
Namibia,July,1997,0,0
Namibia,August,1997,0,0
Namibia,September,1997,0,0
Namibia,October,1997,0,0
Namibia,November,1997,0,0
Namibia,December,1997,0,0
Namibia,January,1998,0,0
Namibia,February,1998,0,0
Namibia,March,1998,0,0
Namibia,April,1998,0,0
Namibia,May,1998,0,0
Namibia,June,1998,0,0
Namibia,July,1998,0,0
Namibia,August,1998,0,0
Namibia,September,1998,0,0
Namibia,October,1998,0,0
Namibia,November,1998,0,0
Namibia,December,1998,0,0
Namibia,January,1999,0,0
Namibia,February,1999,0,0
Namibia,March,1999,0,0
Namibia,April,1999,0,0
Namibia,May,1999,0,0
Namibia,June,1999,0,0
Namibia,July,1999,0,0
Namibia,August,1999,2,14
Namibia,September,1999,0,0
Namibia,October,1999,0,0
Namibia,November,1999,0,0
Namibia,December,1999,4,29
Namibia,January,2000,6,16
Namibia,February,2000,11,34
Namibia,March,2000,1,9
Namibia,April,2000,2,14
Namibia,May,2000,2,2
Namibia,June,2000,0,0
Namibia,July,2000,3,0
Namibia,August,2000,8,4
Namibia,September,2000,2,0
Namibia,October,2000,3,1
Namibia,November,2000,1,0
Namibia,December,2000,5,8
Namibia,January,2001,2,3
Namibia,February,2001,1,0
Namibia,March,2001,4,4
Namibia,April,2001,1,0
Namibia,May,2001,3,2
Namibia,June,2001,0,0
Namibia,July,2001,0,0
Namibia,August,2001,0,0
Namibia,September,2001,1,0
Namibia,October,2001,1,0
Namibia,November,2001,1,4
Namibia,December,2001,2,0
Namibia,January,2002,0,0
Namibia,February,2002,2,5
Namibia,March,2002,0,0
Namibia,April,2002,0,0
Namibia,May,2002,0,0
Namibia,June,2002,0,0
Namibia,July,2002,0,0
Namibia,August,2002,0,0
Namibia,September,2002,0,0
Namibia,October,2002,0,0
Namibia,November,2002,0,0
Namibia,December,2002,0,0
Namibia,January,2003,0,0
Namibia,February,2003,0,0
Namibia,March,2003,0,0
Namibia,April,2003,0,0
Namibia,May,2003,0,0
Namibia,June,2003,0,0
Namibia,July,2003,0,0
Namibia,August,2003,1,3
Namibia,September,2003,0,0
Namibia,October,2003,1,1
Namibia,November,2003,0,0
Namibia,December,2003,0,0
Namibia,January,2004,0,0
Namibia,February,2004,0,0
Namibia,March,2004,0,0
Namibia,April,2004,0,0
Namibia,May,2004,0,0
Namibia,June,2004,0,0
Namibia,July,2004,0,0
Namibia,August,2004,0,0
Namibia,September,2004,0,0
Namibia,October,2004,0,0
Namibia,November,2004,0,0
Namibia,December,2004,0,0
Namibia,January,2005,0,0
Namibia,February,2005,0,0
Namibia,March,2005,0,0
Namibia,April,2005,0,0
Namibia,May,2005,0,0
Namibia,June,2005,0,0
Namibia,July,2005,0,0
Namibia,August,2005,0,0
Namibia,September,2005,0,0
Namibia,October,2005,0,0
Namibia,November,2005,0,0
Namibia,December,2005,0,0
Namibia,January,2006,0,0
Namibia,February,2006,0,0
Namibia,March,2006,0,0
Namibia,April,2006,0,0
Namibia,May,2006,0,0
Namibia,June,2006,0,0
Namibia,July,2006,0,0
Namibia,August,2006,0,0
Namibia,September,2006,0,0
Namibia,October,2006,0,0
Namibia,November,2006,0,0
Namibia,December,2006,0,0
Namibia,January,2007,0,0
Namibia,February,2007,0,0
Namibia,March,2007,0,0
Namibia,April,2007,0,0
