Country,Month,Year,Events,Fatalities
New Caledonia,January,2021,0,0
New Caledonia,February,2021,0,0
New Caledonia,March,2021,0,0
New Caledonia,April,2021,0,0
New Caledonia,May,2021,0,0
New Caledonia,June,2021,0,0
New Caledonia,July,2021,0,0
New Caledonia,August,2021,0,0
New Caledonia,September,2021,0,0
New Caledonia,October,2021,0,0
New Caledonia,November,2021,0,0
New Caledonia,December,2021,0,0
New Caledonia,January,2022,0,0
New Caledonia,February,2022,0,0
New Caledonia,March,2022,0,0
New Caledonia,April,2022,0,0
New Caledonia,May,2022,0,0
New Caledonia,June,2022,0,0
New Caledonia,July,2022,0,0
New Caledonia,August,2022,0,0
New Caledonia,September,2022,0,0
New Caledonia,October,2022,0,0
New Caledonia,November,2022,0,0
New Caledonia,December,2022,0,0
New Caledonia,January,2023,0,0
New Caledonia,February,2023,0,0
New Caledonia,March,2023,0,0
New Caledonia,April,2023,0,0
New Caledonia,May,2023,0,0
New Caledonia,June,2023,0,0
New Caledonia,July,2023,0,0
New Caledonia,August,2023,0,0
New Caledonia,September,2023,0,0
New Caledonia,October,2023,0,0
New Caledonia,November,2023,0,0
New Caledonia,December,2023,0,0
New Caledonia,January,2024,0,0
New Caledonia,February,2024,0,0
New Caledonia,March,2024,0,0
New Caledonia,April,2024,0,0
New Caledonia,May,2024,0,0
New Caledonia,June,2024,0,0
New Caledonia,July,2024,0,0
New Caledonia,August,2024,0,0
New Caledonia,September,2024,1,0
New Caledonia,October,2024,0,0
New Caledonia,November,2024,0,0
New Caledonia,December,2024,0,0
New Caledonia,January,2025,0,0
New Caledonia,February,2025,0,0
New Caledonia,March,2025,0,0
New Caledonia,April,2025,0,0
New Caledonia,May,2025,0,0
New Caledonia,June,2025,0,0
New Caledonia,July,2025,0,0
New Caledonia,August,2025,0,0
New Caledonia,September,2025,0,0
New Caledonia,October,2025,0,0
New Caledonia,November,2025,0,0
New Caledonia,December,2025,0,0
New Caledonia,January,2026,0,0
New Caledonia,February,2026,0,0
New Caledonia,March,2026,0,0
New Caledonia,April,2026,0,0
