Country,Month,Year,Events,Fatalities
Palau,January,2021,0,0
Palau,February,2021,0,0
Palau,March,2021,0,0
Palau,April,2021,0,0
Palau,May,2021,0,0
Palau,June,2021,0,0
Palau,July,2021,0,0
Palau,August,2021,0,0
Palau,September,2021,0,0
Palau,October,2021,0,0
Palau,November,2021,0,0
Palau,December,2021,0,0
Palau,January,2022,0,0
Palau,February,2022,0,0
Palau,March,2022,0,0
Palau,April,2022,0,0
Palau,May,2022,0,0
Palau,June,2022,0,0
Palau,July,2022,0,0
Palau,August,2022,0,0
Palau,September,2022,0,0
Palau,October,2022,0,0
Palau,November,2022,0,0
Palau,December,2022,0,0
Palau,January,2023,0,0
Palau,February,2023,0,0
Palau,March,2023,0,0
Palau,April,2023,0,0
Palau,May,2023,0,0
Palau,June,2023,0,0
Palau,July,2023,0,0
Palau,August,2023,0,0
Palau,September,2023,0,0
Palau,October,2023,0,0
Palau,November,2023,0,0
Palau,December,2023,0,0
Palau,January,2024,0,0
Palau,February,2024,0,0
Palau,March,2024,0,0
Palau,April,2024,0,0
Palau,May,2024,0,0
Palau,June,2024,0,0
Palau,July,2024,0,0
Palau,August,2024,0,0
Palau,September,2024,0,0
Palau,October,2024,0,0
Palau,November,2024,0,0
Palau,December,2024,0,0
Palau,January,2025,0,0
Palau,February,2025,0,0
Palau,March,2025,0,0
Palau,April,2025,0,0
Palau,May,2025,0,0
Palau,June,2025,0,0
Palau,July,2025,0,0
Palau,August,2025,0,0
Palau,September,2025,0,0
Palau,October,2025,0,0
Palau,November,2025,0,0
Palau,December,2025,0,0
Palau,January,2026,0,0
Palau,February,2026,0,0
Palau,March,2026,0,0
Palau,April,2026,0,0
