Country,Month,Year,Events,Fatalities
Puerto Rico,January,2018,20,17
Puerto Rico,February,2018,9,6
Puerto Rico,March,2018,10,7
Puerto Rico,April,2018,10,11
Puerto Rico,May,2018,6,7
Puerto Rico,June,2018,10,10
Puerto Rico,July,2018,8,6
Puerto Rico,August,2018,9,6
Puerto Rico,September,2018,5,3
Puerto Rico,October,2018,4,3
Puerto Rico,November,2018,11,6
Puerto Rico,December,2018,15,13
Puerto Rico,January,2019,49,40
Puerto Rico,February,2019,4,4
Puerto Rico,March,2019,8,7
Puerto Rico,April,2019,8,7
Puerto Rico,May,2019,6,5
Puerto Rico,June,2019,8,11
Puerto Rico,July,2019,5,7
Puerto Rico,August,2019,12,11
Puerto Rico,September,2019,7,10
Puerto Rico,October,2019,7,8
Puerto Rico,November,2019,8,4
Puerto Rico,December,2019,7,2
Puerto Rico,January,2020,12,16
Puerto Rico,February,2020,8,3
Puerto Rico,March,2020,11,10
Puerto Rico,April,2020,6,8
Puerto Rico,May,2020,16,15
Puerto Rico,June,2020,6,5
Puerto Rico,July,2020,2,0
Puerto Rico,August,2020,9,6
Puerto Rico,September,2020,10,8
Puerto Rico,October,2020,16,12
Puerto Rico,November,2020,15,7
Puerto Rico,December,2020,6,6
Puerto Rico,January,2021,14,10
Puerto Rico,February,2021,17,8
Puerto Rico,March,2021,14,11
Puerto Rico,April,2021,14,12
Puerto Rico,May,2021,5,3
Puerto Rico,June,2021,9,8
Puerto Rico,July,2021,11,11
Puerto Rico,August,2021,13,10
Puerto Rico,September,2021,16,13
Puerto Rico,October,2021,22,23
Puerto Rico,November,2021,18,18
Puerto Rico,December,2021,15,12
Puerto Rico,January,2022,14,13
Puerto Rico,February,2022,22,16
Puerto Rico,March,2022,14,15
Puerto Rico,April,2022,14,14
Puerto Rico,May,2022,18,17
Puerto Rico,June,2022,15,10
Puerto Rico,July,2022,18,17
Puerto Rico,August,2022,10,4
Puerto Rico,September,2022,16,14
Puerto Rico,October,2022,23,16
Puerto Rico,November,2022,18,20
Puerto Rico,December,2022,11,12
Puerto Rico,January,2023,24,21
Puerto Rico,February,2023,16,18
Puerto Rico,March,2023,13,10
Puerto Rico,April,2023,11,11
Puerto Rico,May,2023,16,15
Puerto Rico,June,2023,15,16
Puerto Rico,July,2023,18,19
Puerto Rico,August,2023,12,9
Puerto Rico,September,2023,12,13
Puerto Rico,October,2023,13,9
Puerto Rico,November,2023,11,7
Puerto Rico,December,2023,13,12
Puerto Rico,January,2024,20,18
Puerto Rico,February,2024,24,20
Puerto Rico,March,2024,11,11
Puerto Rico,April,2024,12,9
Puerto Rico,May,2024,18,15
Puerto Rico,June,2024,17,10
Puerto Rico,July,2024,16,9
Puerto Rico,August,2024,11,10
Puerto Rico,September,2024,8,9
Puerto Rico,October,2024,14,9
Puerto Rico,November,2024,21,15
Puerto Rico,December,2024,18,14
Puerto Rico,January,2025,16,11
Puerto Rico,February,2025,10,9
Puerto Rico,March,2025,14,7
Puerto Rico,April,2025,10,8
Puerto Rico,May,2025,18,13
Puerto Rico,June,2025,18,16
Puerto Rico,July,2025,11,7
Puerto Rico,August,2025,10,5
Puerto Rico,September,2025,6,3
Puerto Rico,October,2025,17,21
Puerto Rico,November,2025,12,10
Puerto Rico,December,2025,13,9
Puerto Rico,January,2026,13,12
Puerto Rico,February,2026,15,11
Puerto Rico,March,2026,9,8
Puerto Rico,April,2026,2,2
