Country,Month,Year,Events,Fatalities
Russia,January,2018,15,2
Russia,February,2018,15,2
Russia,March,2018,23,2
Russia,April,2018,17,1
Russia,May,2018,24,2
Russia,June,2018,10,1
Russia,July,2018,10,2
Russia,August,2018,12,0
Russia,September,2018,17,1
Russia,October,2018,17,0
Russia,November,2018,16,1
Russia,December,2018,7,1
Russia,January,2019,9,2
Russia,February,2019,6,1
Russia,March,2019,7,0
Russia,April,2019,3,1
Russia,May,2019,2,0
Russia,June,2019,1,0
Russia,July,2019,6,1
Russia,August,2019,5,0
Russia,September,2019,1,0
Russia,October,2019,2,0
Russia,November,2019,2,0
Russia,December,2019,4,1
Russia,January,2020,1,0
Russia,February,2020,8,0
Russia,March,2020,1,0
Russia,April,2020,6,0
Russia,May,2020,1,0
Russia,June,2020,3,0
Russia,July,2020,6,1
Russia,August,2020,8,1
Russia,September,2020,5,1
Russia,October,2020,6,1
Russia,November,2020,2,0
Russia,December,2020,2,0
Russia,January,2021,10,0
Russia,February,2021,9,0
Russia,March,2021,9,1
Russia,April,2021,13,1
Russia,May,2021,9,1
Russia,June,2021,9,0
Russia,July,2021,17,2
Russia,August,2021,17,1
Russia,September,2021,17,0
Russia,October,2021,18,1
Russia,November,2021,16,0
Russia,December,2021,6,3
Russia,January,2022,12,1
Russia,February,2022,12,0
Russia,March,2022,19,0
Russia,April,2022,17,0
Russia,May,2022,19,9
Russia,June,2022,10,1
Russia,July,2022,19,7
Russia,August,2022,23,3
Russia,September,2022,23,19
Russia,October,2022,20,8
Russia,November,2022,23,14
Russia,December,2022,16,6
Russia,January,2023,12,2
Russia,February,2023,24,9
Russia,March,2023,23,4
Russia,April,2023,26,11
Russia,May,2023,45,8
Russia,June,2023,36,12
Russia,July,2023,28,4
Russia,August,2023,41,13
Russia,September,2023,40,11
Russia,October,2023,27,8
Russia,November,2023,30,3
Russia,December,2023,20,32
Russia,January,2024,27,4
Russia,February,2024,32,13
Russia,March,2024,77,180
Russia,April,2024,51,13
Russia,May,2024,85,51
Russia,June,2024,91,25
Russia,July,2024,130,31
Russia,August,2024,194,106
Russia,September,2024,117,78
Russia,October,2024,121,75
Russia,November,2024,72,12
Russia,December,2024,61,74
Russia,January,2025,81,13
Russia,February,2025,77,29
Russia,March,2025,115,46
Russia,April,2025,136,38
Russia,May,2025,138,33
Russia,June,2025,144,23
Russia,July,2025,192,41
Russia,August,2025,195,31
Russia,September,2025,179,42
Russia,October,2025,175,35
Russia,November,2025,123,23
Russia,December,2025,117,28
Russia,January,2026,115,29
Russia,February,2026,176,34
Russia,March,2026,186,42
Russia,April,2026,112,26
