Country,Month,Year,Events,Fatalities
Rwanda,January,1997,10,127
Rwanda,February,1997,14,59
Rwanda,March,1997,5,169
Rwanda,April,1997,4,180
Rwanda,May,1997,7,75
Rwanda,June,1997,6,51
Rwanda,July,1997,3,36
Rwanda,August,1997,9,456
Rwanda,September,1997,2,5
Rwanda,October,1997,10,196
Rwanda,November,1997,12,125
Rwanda,December,1997,10,356
Rwanda,January,1998,6,115
Rwanda,February,1998,4,92
Rwanda,March,1998,8,84
Rwanda,April,1998,15,136
Rwanda,May,1998,5,67
Rwanda,June,1998,5,54
Rwanda,July,1998,3,38
Rwanda,August,1998,8,272
Rwanda,September,1998,3,29
Rwanda,October,1998,1,3
Rwanda,November,1998,1,0
Rwanda,December,1998,0,0
Rwanda,January,1999,0,0
Rwanda,February,1999,1,2
Rwanda,March,1999,1,1
Rwanda,April,1999,0,0
Rwanda,May,1999,0,0
Rwanda,June,1999,0,0
Rwanda,July,1999,1,17
Rwanda,August,1999,1,1
Rwanda,September,1999,1,1
Rwanda,October,1999,1,0
Rwanda,November,1999,1,0
Rwanda,December,1999,0,0
Rwanda,January,2000,1,1
Rwanda,February,2000,4,5
Rwanda,March,2000,3,5
Rwanda,April,2000,0,0
Rwanda,May,2000,1,4
Rwanda,June,2000,1,5
Rwanda,July,2000,0,0
Rwanda,August,2000,0,0
Rwanda,September,2000,2,2
Rwanda,October,2000,1,1
Rwanda,November,2000,0,0
Rwanda,December,2000,0,0
Rwanda,January,2001,0,0
Rwanda,February,2001,0,0
Rwanda,March,2001,0,0
Rwanda,April,2001,0,0
Rwanda,May,2001,0,0
Rwanda,June,2001,0,0
Rwanda,July,2001,1,3
Rwanda,August,2001,0,0
Rwanda,September,2001,1,0
Rwanda,October,2001,1,0
Rwanda,November,2001,0,0
Rwanda,December,2001,1,0
Rwanda,January,2002,0,0
Rwanda,February,2002,0,0
Rwanda,March,2002,1,1
Rwanda,April,2002,0,0
Rwanda,May,2002,0,0
Rwanda,June,2002,0,0
Rwanda,July,2002,0,0
Rwanda,August,2002,0,0
Rwanda,September,2002,0,0
Rwanda,October,2002,0,0
Rwanda,November,2002,0,0
Rwanda,December,2002,0,0
Rwanda,January,2003,0,0
Rwanda,February,2003,0,0
Rwanda,March,2003,0,0
Rwanda,April,2003,1,1
Rwanda,May,2003,0,0
Rwanda,June,2003,0,0
Rwanda,July,2003,0,0
Rwanda,August,2003,0,0
Rwanda,September,2003,0,0
Rwanda,October,2003,1,1
Rwanda,November,2003,1,1
Rwanda,December,2003,0,0
Rwanda,January,2004,0,0
Rwanda,February,2004,0,0
Rwanda,March,2004,0,0
Rwanda,April,2004,0,0
Rwanda,May,2004,0,0
Rwanda,June,2004,0,0
Rwanda,July,2004,0,0
Rwanda,August,2004,0,0
Rwanda,September,2004,0,0
Rwanda,October,2004,1,10
Rwanda,November,2004,0,0
Rwanda,December,2004,0,0
Rwanda,January,2005,0,0
Rwanda,February,2005,0,0
Rwanda,March,2005,1,1
Rwanda,April,2005,0,0
Rwanda,May,2005,0,0
Rwanda,June,2005,0,0
Rwanda,July,2005,0,0
Rwanda,August,2005,0,0
Rwanda,September,2005,0,0
Rwanda,October,2005,1,3
Rwanda,November,2005,0,0
Rwanda,December,2005,1,0
Rwanda,January,2006,0,0
Rwanda,February,2006,0,0
Rwanda,March,2006,0,0
Rwanda,April,2006,0,0
Rwanda,May,2006,0,0
Rwanda,June,2006,0,0
Rwanda,July,2006,0,0
Rwanda,August,2006,0,0
Rwanda,September,2006,1,1
Rwanda,October,2006,0,0
Rwanda,November,2006,6,15
Rwanda,December,2006,0,0
Rwanda,January,2007,4,5
Rwanda,February,2007,3,1
Rwanda,March,2007,1,0
Rwanda,April,2007,6,7
Rwanda,May,2007,2,3
Rwanda,June,2007,0,0
Rwanda,July,2007,0,0
Rwanda,August,2007,0,0
Rwanda,September,2007,0,0
Rwanda,October,2007,0,0
Rwanda,November,2007,1,3
Rwanda,December,2007,0,0
Rwanda,January,2008,0,0
Rwanda,February,2008,0,0
Rwanda,March,2008,0,0
Rwanda,April,2008,0,0
Rwanda,May,2008,0,0
