Country,Month,Year,Events,Fatalities
Saint-Barthelemy,January,2018,0,0
Saint-Barthelemy,February,2018,0,0
Saint-Barthelemy,March,2018,0,0
Saint-Barthelemy,April,2018,0,0
Saint-Barthelemy,May,2018,0,0
Saint-Barthelemy,June,2018,0,0
Saint-Barthelemy,July,2018,0,0
Saint-Barthelemy,August,2018,0,0
Saint-Barthelemy,September,2018,0,0
Saint-Barthelemy,October,2018,0,0
Saint-Barthelemy,November,2018,0,0
Saint-Barthelemy,December,2018,0,0
Saint-Barthelemy,January,2019,0,0
Saint-Barthelemy,February,2019,0,0
Saint-Barthelemy,March,2019,0,0
Saint-Barthelemy,April,2019,0,0
Saint-Barthelemy,May,2019,0,0
Saint-Barthelemy,June,2019,0,0
Saint-Barthelemy,July,2019,0,0
Saint-Barthelemy,August,2019,0,0
Saint-Barthelemy,September,2019,0,0
Saint-Barthelemy,October,2019,0,0
Saint-Barthelemy,November,2019,0,0
Saint-Barthelemy,December,2019,0,0
Saint-Barthelemy,January,2020,0,0
Saint-Barthelemy,February,2020,0,0
Saint-Barthelemy,March,2020,0,0
Saint-Barthelemy,April,2020,0,0
Saint-Barthelemy,May,2020,0,0
Saint-Barthelemy,June,2020,0,0
Saint-Barthelemy,July,2020,0,0
Saint-Barthelemy,August,2020,0,0
Saint-Barthelemy,September,2020,0,0
Saint-Barthelemy,October,2020,0,0
Saint-Barthelemy,November,2020,0,0
Saint-Barthelemy,December,2020,0,0
Saint-Barthelemy,January,2021,0,0
Saint-Barthelemy,February,2021,0,0
Saint-Barthelemy,March,2021,0,0
Saint-Barthelemy,April,2021,0,0
Saint-Barthelemy,May,2021,0,0
Saint-Barthelemy,June,2021,0,0
Saint-Barthelemy,July,2021,0,0
Saint-Barthelemy,August,2021,0,0
Saint-Barthelemy,September,2021,0,0
Saint-Barthelemy,October,2021,0,0
Saint-Barthelemy,November,2021,0,0
Saint-Barthelemy,December,2021,0,0
Saint-Barthelemy,January,2022,0,0
Saint-Barthelemy,February,2022,0,0
Saint-Barthelemy,March,2022,0,0
Saint-Barthelemy,April,2022,0,0
Saint-Barthelemy,May,2022,0,0
Saint-Barthelemy,June,2022,0,0
Saint-Barthelemy,July,2022,0,0
Saint-Barthelemy,August,2022,0,0
Saint-Barthelemy,September,2022,0,0
Saint-Barthelemy,October,2022,0,0
Saint-Barthelemy,November,2022,0,0
Saint-Barthelemy,December,2022,0,0
Saint-Barthelemy,January,2023,0,0
Saint-Barthelemy,February,2023,0,0
Saint-Barthelemy,March,2023,0,0
Saint-Barthelemy,April,2023,0,0
Saint-Barthelemy,May,2023,0,0
Saint-Barthelemy,June,2023,0,0
Saint-Barthelemy,July,2023,0,0
Saint-Barthelemy,August,2023,0,0
Saint-Barthelemy,September,2023,0,0
Saint-Barthelemy,October,2023,0,0
Saint-Barthelemy,November,2023,0,0
Saint-Barthelemy,December,2023,0,0
Saint-Barthelemy,January,2024,0,0
Saint-Barthelemy,February,2024,0,0
Saint-Barthelemy,March,2024,0,0
Saint-Barthelemy,April,2024,0,0
Saint-Barthelemy,May,2024,0,0
Saint-Barthelemy,June,2024,0,0
Saint-Barthelemy,July,2024,0,0
Saint-Barthelemy,August,2024,0,0
Saint-Barthelemy,September,2024,0,0
Saint-Barthelemy,October,2024,0,0
Saint-Barthelemy,November,2024,0,0
Saint-Barthelemy,December,2024,0,0
Saint-Barthelemy,January,2025,0,0
Saint-Barthelemy,February,2025,0,0
Saint-Barthelemy,March,2025,0,0
Saint-Barthelemy,April,2025,0,0
Saint-Barthelemy,May,2025,0,0
Saint-Barthelemy,June,2025,0,0
Saint-Barthelemy,July,2025,0,0
Saint-Barthelemy,August,2025,0,0
Saint-Barthelemy,September,2025,0,0
Saint-Barthelemy,October,2025,0,0
Saint-Barthelemy,November,2025,0,0
Saint-Barthelemy,December,2025,0,0
Saint-Barthelemy,January,2026,0,0
Saint-Barthelemy,February,2026,0,0
Saint-Barthelemy,March,2026,0,0
Saint-Barthelemy,April,2026,0,0
