Country,Month,Year,Events,Fatalities
"Saint Helena, Ascension and Tristan da Cunha",January,2020,0,0
"Saint Helena, Ascension and Tristan da Cunha",February,2020,0,0
"Saint Helena, Ascension and Tristan da Cunha",March,2020,0,0
"Saint Helena, Ascension and Tristan da Cunha",April,2020,0,0
"Saint Helena, Ascension and Tristan da Cunha",May,2020,0,0
"Saint Helena, Ascension and Tristan da Cunha",June,2020,0,0
"Saint Helena, Ascension and Tristan da Cunha",July,2020,0,0
"Saint Helena, Ascension and Tristan da Cunha",August,2020,0,0
"Saint Helena, Ascension and Tristan da Cunha",September,2020,0,0
"Saint Helena, Ascension and Tristan da Cunha",October,2020,0,0
"Saint Helena, Ascension and Tristan da Cunha",November,2020,0,0
"Saint Helena, Ascension and Tristan da Cunha",December,2020,0,0
"Saint Helena, Ascension and Tristan da Cunha",January,2021,0,0
"Saint Helena, Ascension and Tristan da Cunha",February,2021,0,0
"Saint Helena, Ascension and Tristan da Cunha",March,2021,0,0
"Saint Helena, Ascension and Tristan da Cunha",April,2021,0,0
"Saint Helena, Ascension and Tristan da Cunha",May,2021,0,0
"Saint Helena, Ascension and Tristan da Cunha",June,2021,0,0
"Saint Helena, Ascension and Tristan da Cunha",July,2021,0,0
"Saint Helena, Ascension and Tristan da Cunha",August,2021,0,0
"Saint Helena, Ascension and Tristan da Cunha",September,2021,0,0
"Saint Helena, Ascension and Tristan da Cunha",October,2021,0,0
"Saint Helena, Ascension and Tristan da Cunha",November,2021,0,0
"Saint Helena, Ascension and Tristan da Cunha",December,2021,0,0
"Saint Helena, Ascension and Tristan da Cunha",January,2022,0,0
"Saint Helena, Ascension and Tristan da Cunha",February,2022,0,0
"Saint Helena, Ascension and Tristan da Cunha",March,2022,0,0
"Saint Helena, Ascension and Tristan da Cunha",April,2022,0,0
"Saint Helena, Ascension and Tristan da Cunha",May,2022,0,0
"Saint Helena, Ascension and Tristan da Cunha",June,2022,0,0
"Saint Helena, Ascension and Tristan da Cunha",July,2022,0,0
"Saint Helena, Ascension and Tristan da Cunha",August,2022,0,0
"Saint Helena, Ascension and Tristan da Cunha",September,2022,0,0
"Saint Helena, Ascension and Tristan da Cunha",October,2022,0,0
"Saint Helena, Ascension and Tristan da Cunha",November,2022,0,0
"Saint Helena, Ascension and Tristan da Cunha",December,2022,0,0
"Saint Helena, Ascension and Tristan da Cunha",January,2023,0,0
"Saint Helena, Ascension and Tristan da Cunha",February,2023,0,0
"Saint Helena, Ascension and Tristan da Cunha",March,2023,0,0
"Saint Helena, Ascension and Tristan da Cunha",April,2023,0,0
"Saint Helena, Ascension and Tristan da Cunha",May,2023,0,0
"Saint Helena, Ascension and Tristan da Cunha",June,2023,0,0
"Saint Helena, Ascension and Tristan da Cunha",July,2023,0,0
"Saint Helena, Ascension and Tristan da Cunha",August,2023,0,0
"Saint Helena, Ascension and Tristan da Cunha",September,2023,0,0
"Saint Helena, Ascension and Tristan da Cunha",October,2023,0,0
"Saint Helena, Ascension and Tristan da Cunha",November,2023,0,0
"Saint Helena, Ascension and Tristan da Cunha",December,2023,0,0
"Saint Helena, Ascension and Tristan da Cunha",January,2024,0,0
"Saint Helena, Ascension and Tristan da Cunha",February,2024,0,0
"Saint Helena, Ascension and Tristan da Cunha",March,2024,0,0
"Saint Helena, Ascension and Tristan da Cunha",April,2024,0,0
"Saint Helena, Ascension and Tristan da Cunha",May,2024,0,0
"Saint Helena, Ascension and Tristan da Cunha",June,2024,0,0
"Saint Helena, Ascension and Tristan da Cunha",July,2024,0,0
"Saint Helena, Ascension and Tristan da Cunha",August,2024,0,0
"Saint Helena, Ascension and Tristan da Cunha",September,2024,0,0
"Saint Helena, Ascension and Tristan da Cunha",October,2024,0,0
"Saint Helena, Ascension and Tristan da Cunha",November,2024,0,0
"Saint Helena, Ascension and Tristan da Cunha",December,2024,0,0
"Saint Helena, Ascension and Tristan da Cunha",January,2025,0,0
"Saint Helena, Ascension and Tristan da Cunha",February,2025,0,0
"Saint Helena, Ascension and Tristan da Cunha",March,2025,0,0
"Saint Helena, Ascension and Tristan da Cunha",April,2025,0,0
"Saint Helena, Ascension and Tristan da Cunha",May,2025,0,0
"Saint Helena, Ascension and Tristan da Cunha",June,2025,0,0
"Saint Helena, Ascension and Tristan da Cunha",July,2025,0,0
"Saint Helena, Ascension and Tristan da Cunha",August,2025,0,0
"Saint Helena, Ascension and Tristan da Cunha",September,2025,0,0
"Saint Helena, Ascension and Tristan da Cunha",October,2025,0,0
"Saint Helena, Ascension and Tristan da Cunha",November,2025,0,0
"Saint Helena, Ascension and Tristan da Cunha",December,2025,0,0
"Saint Helena, Ascension and Tristan da Cunha",January,2026,0,0
"Saint Helena, Ascension and Tristan da Cunha",February,2026,0,0
"Saint Helena, Ascension and Tristan da Cunha",March,2026,0,0
"Saint Helena, Ascension and Tristan da Cunha",April,2026,0,0
