Country,Month,Year,Events,Fatalities
Saint Lucia,January,2018,0,0
Saint Lucia,February,2018,0,0
Saint Lucia,March,2018,0,0
Saint Lucia,April,2018,0,0
Saint Lucia,May,2018,0,0
Saint Lucia,June,2018,0,0
Saint Lucia,July,2018,0,0
Saint Lucia,August,2018,0,0
Saint Lucia,September,2018,0,0
Saint Lucia,October,2018,0,0
Saint Lucia,November,2018,0,0
Saint Lucia,December,2018,0,0
Saint Lucia,January,2019,0,0
Saint Lucia,February,2019,0,0
Saint Lucia,March,2019,0,0
Saint Lucia,April,2019,0,0
Saint Lucia,May,2019,0,0
Saint Lucia,June,2019,0,0
Saint Lucia,July,2019,0,0
Saint Lucia,August,2019,0,0
Saint Lucia,September,2019,0,0
Saint Lucia,October,2019,0,0
Saint Lucia,November,2019,1,0
Saint Lucia,December,2019,0,0
Saint Lucia,January,2020,0,0
Saint Lucia,February,2020,0,0
Saint Lucia,March,2020,0,0
Saint Lucia,April,2020,0,0
Saint Lucia,May,2020,0,0
Saint Lucia,June,2020,0,0
Saint Lucia,July,2020,0,0
Saint Lucia,August,2020,0,0
Saint Lucia,September,2020,0,0
Saint Lucia,October,2020,0,0
Saint Lucia,November,2020,0,0
Saint Lucia,December,2020,0,0
Saint Lucia,January,2021,0,0
Saint Lucia,February,2021,0,0
Saint Lucia,March,2021,0,0
Saint Lucia,April,2021,0,0
Saint Lucia,May,2021,0,0
Saint Lucia,June,2021,0,0
Saint Lucia,July,2021,0,0
Saint Lucia,August,2021,0,0
Saint Lucia,September,2021,0,0
Saint Lucia,October,2021,0,0
Saint Lucia,November,2021,0,0
Saint Lucia,December,2021,0,0
Saint Lucia,January,2022,1,0
Saint Lucia,February,2022,0,0
Saint Lucia,March,2022,0,0
Saint Lucia,April,2022,0,0
Saint Lucia,May,2022,0,0
Saint Lucia,June,2022,0,0
Saint Lucia,July,2022,0,0
Saint Lucia,August,2022,0,0
Saint Lucia,September,2022,0,0
Saint Lucia,October,2022,0,0
Saint Lucia,November,2022,0,0
Saint Lucia,December,2022,0,0
Saint Lucia,January,2023,0,0
Saint Lucia,February,2023,0,0
Saint Lucia,March,2023,0,0
Saint Lucia,April,2023,0,0
Saint Lucia,May,2023,0,0
Saint Lucia,June,2023,1,0
Saint Lucia,July,2023,1,0
Saint Lucia,August,2023,0,0
Saint Lucia,September,2023,0,0
Saint Lucia,October,2023,1,0
Saint Lucia,November,2023,0,0
Saint Lucia,December,2023,0,0
Saint Lucia,January,2024,0,0
Saint Lucia,February,2024,0,0
Saint Lucia,March,2024,0,0
Saint Lucia,April,2024,0,0
Saint Lucia,May,2024,0,0
Saint Lucia,June,2024,0,0
Saint Lucia,July,2024,0,0
Saint Lucia,August,2024,0,0
Saint Lucia,September,2024,0,0
Saint Lucia,October,2024,0,0
Saint Lucia,November,2024,0,0
Saint Lucia,December,2024,0,0
Saint Lucia,January,2025,0,0
Saint Lucia,February,2025,0,0
Saint Lucia,March,2025,0,0
Saint Lucia,April,2025,0,0
Saint Lucia,May,2025,0,0
Saint Lucia,June,2025,0,0
Saint Lucia,July,2025,0,0
Saint Lucia,August,2025,0,0
Saint Lucia,September,2025,0,0
Saint Lucia,October,2025,0,0
Saint Lucia,November,2025,0,0
Saint Lucia,December,2025,0,0
Saint Lucia,January,2026,0,0
Saint Lucia,February,2026,0,0
Saint Lucia,March,2026,0,0
Saint Lucia,April,2026,0,0
