Country,Month,Year,Events,Fatalities
Saint Pierre and Miquelon,January,2021,0,0
Saint Pierre and Miquelon,February,2021,0,0
Saint Pierre and Miquelon,March,2021,0,0
Saint Pierre and Miquelon,April,2021,0,0
Saint Pierre and Miquelon,May,2021,0,0
Saint Pierre and Miquelon,June,2021,0,0
Saint Pierre and Miquelon,July,2021,0,0
Saint Pierre and Miquelon,August,2021,0,0
Saint Pierre and Miquelon,September,2021,0,0
Saint Pierre and Miquelon,October,2021,0,0
Saint Pierre and Miquelon,November,2021,0,0
Saint Pierre and Miquelon,December,2021,0,0
Saint Pierre and Miquelon,January,2022,0,0
Saint Pierre and Miquelon,February,2022,0,0
Saint Pierre and Miquelon,March,2022,0,0
Saint Pierre and Miquelon,April,2022,0,0
Saint Pierre and Miquelon,May,2022,0,0
Saint Pierre and Miquelon,June,2022,0,0
Saint Pierre and Miquelon,July,2022,0,0
Saint Pierre and Miquelon,August,2022,0,0
Saint Pierre and Miquelon,September,2022,0,0
Saint Pierre and Miquelon,October,2022,0,0
Saint Pierre and Miquelon,November,2022,0,0
Saint Pierre and Miquelon,December,2022,0,0
Saint Pierre and Miquelon,January,2023,0,0
Saint Pierre and Miquelon,February,2023,0,0
Saint Pierre and Miquelon,March,2023,0,0
Saint Pierre and Miquelon,April,2023,0,0
Saint Pierre and Miquelon,May,2023,0,0
Saint Pierre and Miquelon,June,2023,0,0
Saint Pierre and Miquelon,July,2023,0,0
Saint Pierre and Miquelon,August,2023,0,0
Saint Pierre and Miquelon,September,2023,0,0
Saint Pierre and Miquelon,October,2023,0,0
Saint Pierre and Miquelon,November,2023,0,0
Saint Pierre and Miquelon,December,2023,0,0
Saint Pierre and Miquelon,January,2024,0,0
Saint Pierre and Miquelon,February,2024,0,0
Saint Pierre and Miquelon,March,2024,0,0
Saint Pierre and Miquelon,April,2024,0,0
Saint Pierre and Miquelon,May,2024,0,0
Saint Pierre and Miquelon,June,2024,0,0
Saint Pierre and Miquelon,July,2024,0,0
Saint Pierre and Miquelon,August,2024,0,0
Saint Pierre and Miquelon,September,2024,0,0
Saint Pierre and Miquelon,October,2024,0,0
Saint Pierre and Miquelon,November,2024,0,0
Saint Pierre and Miquelon,December,2024,0,0
Saint Pierre and Miquelon,January,2025,0,0
Saint Pierre and Miquelon,February,2025,0,0
Saint Pierre and Miquelon,March,2025,0,0
Saint Pierre and Miquelon,April,2025,0,0
Saint Pierre and Miquelon,May,2025,0,0
Saint Pierre and Miquelon,June,2025,0,0
Saint Pierre and Miquelon,July,2025,0,0
Saint Pierre and Miquelon,August,2025,0,0
Saint Pierre and Miquelon,September,2025,0,0
Saint Pierre and Miquelon,October,2025,0,0
Saint Pierre and Miquelon,November,2025,0,0
Saint Pierre and Miquelon,December,2025,0,0
Saint Pierre and Miquelon,January,2026,0,0
Saint Pierre and Miquelon,February,2026,0,0
Saint Pierre and Miquelon,March,2026,0,0
Saint Pierre and Miquelon,April,2026,0,0
